date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,4.3,-2.0,14.0,,,,2.3,,1019.5,
2021-01-02,3.9,-3.0,12.0,0.0,,340.0,3.3,,1024.9,
2021-01-03,2.3,-3.0,11.0,0.0,,350.0,1.6,,1025.5,
2021-01-04,1.9,-3.0,9.2,0.0,,359.0,0.8,,1022.2,
2021-01-05,5.0,-2.0,13.0,0.3,,360.0,5.9,,1019.2,
2021-01-06,6.2,1.0,11.2,5.4,,306.0,6.0,,1024.0,
2021-01-07,4.6,-1.0,10.2,0.0,,337.0,4.8,,1022.3,
2021-01-08,5.7,2.0,10.5,0.0,,357.0,3.9,,1019.5,
2021-01-09,6.6,0.9,16.0,0.0,,342.0,3.2,,1018.1,
2021-01-10,10.7,5.7,16.2,1.4,,311.0,6.9,,1017.5,
2021-01-11,12.9,7.0,18.0,0.2,,102.0,8.3,,1016.9,
2021-01-12,14.8,10.2,22.0,0.0,,204.0,10.0,,1013.4,
2021-01-13,12.0,5.5,19.0,14.1,,124.0,12.5,,1003.0,
2021-01-14,5.8,3.0,9.0,3.7,,343.0,5.0,,1003.1,
2021-01-15,1.3,-0.5,4.0,4.9,,258.0,5.6,,1009.5,
2021-01-16,0.4,-2.0,3.0,0.0,,338.0,3.0,,1010.7,
2021-01-17,1.7,-1.0,4.0,6.0,,103.0,5.9,,1002.1,
2021-01-18,-3.6,-11.0,-1.0,8.0,,329.0,6.9,,1014.1,
2021-01-19,-10.0,-14.0,-4.0,0.0,,329.0,3.6,,1021.8,
2021-01-20,-8.6,-14.0,-2.4,0.0,,334.0,1.9,,1025.4,
2021-01-21,-2.6,-8.6,1.0,0.0,,327.0,2.0,,1030.5,
2021-01-22,-0.7,-6.0,5.7,0.0,,326.0,3.0,,1029.0,
2021-01-23,0.7,-5.0,8.0,0.0,,352.0,2.3,,1024.1,
2021-01-24,2.1,-4.0,9.0,0.0,,10.0,3.6,,1018.8,
2021-01-25,5.9,-1.0,11.0,0.0,,276.0,7.6,,1016.0,
2021-01-26,9.4,4.4,15.0,0.0,,280.0,8.0,,1015.3,
2021-01-27,10.1,6.8,14.6,0.0,,164.0,16.2,,1005.4,
2021-01-28,5.8,0.0,10.4,3.3,,244.0,18.4,,1005.8,
2021-01-29,0.1,-4.2,6.0,0.2,,273.0,7.1,,1011.4,
2021-01-30,3.0,-5.0,9.1,0.6,,178.0,11.6,,1008.6,
2021-01-31,5.6,4.0,9.0,2.2,,242.0,6.5,,1011.3,
2021-02-01,7.2,1.0,15.0,0.0,,194.0,9.9,,1017.7,
2021-02-02,7.8,1.0,16.5,0.0,,114.0,6.8,,1019.9,
