date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,8.3,3.9,12.6,0.0,,,,,,
2021-01-02,7.5,3.2,10.9,0.0,,150.0,5.0,,1027.8,
2021-01-03,7.7,3.5,11.3,0.0,,148.0,6.1,,1029.1,
2021-01-04,11.0,4.3,13.5,0.0,,146.0,8.6,,1028.4,
2021-01-05,10.5,5.2,13.2,0.0,,144.0,8.6,,1026.1,
2021-01-06,8.2,4.0,11.1,0.0,,133.0,5.1,,1027.3,
2021-01-07,8.5,3.0,12.8,0.0,,143.0,7.1,,1025.9,
2021-01-08,8.7,3.6,10.7,0.0,,144.0,7.3,,1023.5,
2021-01-09,10.1,5.0,13.2,0.0,,141.0,6.9,,1022.0,
2021-01-10,10.9,5.0,14.7,0.0,,127.0,6.1,,1021.4,
2021-01-11,8.3,7.4,11.0,1.3,,109.0,4.4,,1021.1,
2021-01-12,10.8,7.5,13.6,7.1,,118.0,5.3,,1021.2,
2021-01-13,12.1,10.8,15.1,0.8,,129.0,7.0,,1011.4,
2021-01-14,9.7,7.1,15.1,0.0,,90.0,5.0,,1004.0,
2021-01-15,4.6,2.5,11.7,15.2,,37.0,5.6,,1009.0,
2021-01-16,5.4,1.3,9.8,2.5,,98.0,4.6,,1014.3,
2021-01-17,11.9,5.7,14.2,0.0,,126.0,5.3,,1004.0,
2021-01-18,1.7,0.8,6.1,12.7,10.0,7.0,5.6,,1013.6,
2021-01-19,-0.6,-1.6,2.9,1.8,20.0,26.0,5.4,,1021.8,
2021-01-20,-0.4,-4.2,2.4,0.3,,48.0,3.8,,1025.2,
2021-01-21,-0.1,-2.4,4.1,8.9,140.0,73.0,3.0,,1032.9,
2021-01-22,1.8,-2.9,6.9,0.5,61.0,156.0,6.5,,1034.7,
2021-01-23,1.9,-3.1,9.8,0.0,41.0,157.0,7.0,,1029.7,
2021-01-24,3.9,-1.5,12.0,0.0,,153.0,7.5,,1024.5,
2021-01-25,6.6,0.8,13.5,0.0,,147.0,7.4,,1022.3,
2021-01-26,8.5,2.6,14.4,0.0,,146.0,7.0,,1022.4,
2021-01-27,11.1,4.8,13.3,0.0,,140.0,7.7,,1016.8,
2021-01-28,9.1,6.6,15.6,0.0,,100.0,5.5,,1009.9,
2021-01-29,4.3,5.2,6.5,5.1,,15.0,4.4,,1012.5,
2021-01-30,7.4,2.1,10.8,0.8,,105.0,4.9,,1012.5,
2021-01-31,7.8,5.7,9.8,0.0,,130.0,5.9,,1015.9,
2021-02-01,12.2,5.6,14.4,0.0,,141.0,7.7,,1022.4,
2021-02-02,10.4,5.2,15.6,0.0,,141.0,7.0,,1024.2,
2021-02-03,11.2,4.8,16.4,0.0,,146.0,6.8,,1021.4,
2021-02-04,11.5,4.9,17.3,0.0,,142.0,5.9,,1018.8,
2021-02-05,5.9,6.0,11.0,0.3,,21.0,4.4,,1019.7,
2021-02-06,9.3,3.3,14.2,15.5,,77.0,3.0,,1021.4,
2021-02-07,10.0,5.5,15.5,0.0,,91.0,3.2,,1018.4,
2021-02-08,13.8,5.9,20.0,0.0,,135.0,5.0,,1018.3,
2021-02-09,14.6,10.7,17.6,1.1,,123.0,5.5,,1019.9,
2021-02-10,11.5,6.0,18.6,0.0,,140.0,5.6,,1018.7,
2021-02-11,14.4,10.2,18.6,0.0,,142.0,4.4,,1018.5,
2021-02-12,13.0,7.2,19.4,0.2,,121.0,6.2,,1013.9,
2021-02-13,4.1,5.1,8.1,0.0,,350.0,5.5,,1022.8,
2021-02-14,7.0,1.6,14.8,0.9,,80.0,3.9,,1020.6,
2021-02-15,5.2,2.9,16.3,1.2,,53.0,6.9,,1015.5,
2021-02-16,2.3,0.9,6.2,0.5,,340.0,7.3,,1015.0,
2021-02-17,-0.8,-1.9,0.4,7.6,79.0,356.0,6.9,,1013.9,
2021-02-18,0.3,-2.6,4.4,0.5,71.0,41.0,3.9,,1020.7,
2021-02-19,1.4,-2.5,6.7,0.0,20.0,80.0,4.9,,1024.9,
2021-02-20,2.1,0.2,3.7,3.0,,326.0,5.3,,1031.8,
2021-02-21,4.6,1.0,8.7,0.0,,165.0,3.5,,1033.3,
2021-02-22,4.3,-1.9,10.7,0.0,,41.0,4.4,,1031.9,
2021-02-23,5.7,1.2,8.6,1.9,,1.0,4.2,,1030.9,
2021-02-24,3.6,2.4,8.6,0.5,,356.0,4.5,,1030.6,
2021-02-25,3.4,1.7,8.3,1.3,,332.0,4.6,,1033.1,
2021-02-26,6.1,0.8,10.6,0.0,,4.0,3.3,,1030.9,
2021-02-27,9.1,0.0,14.7,0.0,,144.0,3.5,,1022.2,
2021-02-28,7.1,2.6,14.9,2.9,,66.0,6.4,,1018.9,
2021-03-01,3.3,0.8,8.6,2.8,,359.0,5.1,,1026.0,
2021-03-02,4.9,-1.0,10.4,0.0,,56.0,3.8,,1028.7,
2021-03-03,3.4,-1.3,9.7,0.0,,26.0,4.8,,1026.0,
2021-03-04,4.6,0.3,10.1,3.3,,15.0,2.9,,1026.1,
2021-03-05,9.4,0.4,14.4,0.0,,140.0,3.0,,1021.4,
2021-03-06,13.3,2.7,18.3,0.0,,118.0,5.3,,1020.6,
2021-03-07,3.8,4.5,9.5,0.5,,353.0,6.1,,1022.7,
2021-03-08,2.4,-0.3,4.3,1.8,10.0,344.0,3.8,,1020.7,
2021-03-09,6.6,-1.1,12.9,0.5,,66.0,5.8,,1019.8,
2021-03-10,9.6,0.7,14.8,0.0,,89.0,4.6,,1019.1,
2021-03-11,10.4,5.7,15.7,7.3,,68.0,4.8,,1007.0,
2021-03-12,-0.2,0.9,5.9,6.6,10.0,10.0,7.8,,1018.1,
2021-03-13,6.3,-2.6,11.7,1.0,,106.0,4.1,,1022.6,
2021-03-14,12.6,3.8,18.1,0.0,,107.0,4.2,,1017.3,
2021-03-15,13.0,6.6,16.9,0.0,,142.0,6.2,,1012.5,
2021-03-16,17.2,9.9,20.2,0.0,,130.0,7.2,,1006.7,
2021-03-17,16.1,5.4,21.6,5.1,,115.0,6.1,,1004.5,
2021-03-18,9.6,6.2,16.7,17.8,,43.0,4.3,,1009.7,
2021-03-19,4.7,2.9,8.8,1.8,,75.0,3.2,,1017.5,
2021-03-20,4.6,2.7,8.8,4.8,,73.0,4.2,,1019.8,
2021-03-21,7.4,5.7,9.1,7.6,,43.0,3.7,,1015.8,
2021-03-22,8.4,0.4,19.3,23.1,,108.0,4.7,,1009.5,
2021-03-23,13.4,7.8,21.8,5.1,,119.0,6.8,,1002.6,
2021-03-24,2.4,1.4,14.9,21.1,,340.0,7.1,,1003.7,
2021-03-25,2.9,0.9,8.7,10.4,,352.0,5.8,,1012.2,
2021-03-26,4.8,0.4,9.4,4.3,,353.0,5.6,,1018.5,
2021-03-27,1.8,0.6,5.8,11.2,,340.0,5.4,,1025.0,
2021-03-28,7.7,0.9,9.9,2.0,,36.0,3.3,,1031.7,
2021-03-29,10.1,1.1,15.4,0.0,,63.0,4.1,,1027.9,
2021-03-30,12.1,2.8,18.3,0.0,,134.0,4.8,,1023.5,
2021-03-31,13.0,4.1,20.7,0.0,,131.0,4.9,,1019.4,
2021-04-01,13.0,5.1,21.6,1.3,,133.0,6.0,,1012.6,
2021-04-02,8.4,4.7,15.5,0.0,,339.0,5.4,,1014.2,
2021-04-03,11.2,4.7,16.0,2.8,,26.0,3.2,,1016.4,
2021-04-04,16.1,6.1,20.6,1.8,,119.0,3.6,,1017.8,
2021-04-05,15.3,10.0,21.8,0.0,,127.0,5.6,,1014.4,
2021-04-06,11.7,5.2,21.5,6.1,,92.0,5.6,,1018.4,
2021-04-07,19.3,10.1,25.3,0.0,,131.0,5.7,,1014.1,
2021-04-08,24.1,13.1,28.6,0.0,,144.0,5.6,,1011.1,
2021-04-09,11.1,6.4,16.6,1.8,,325.0,8.5,,1016.1,
2021-04-10,4.8,3.9,10.7,0.0,,318.0,6.7,,1019.6,
2021-04-11,4.9,2.9,17.9,10.9,,339.0,4.7,,1016.3,
2021-04-12,8.3,3.5,15.4,5.6,,328.0,4.6,,1021.1,
2021-04-13,7.1,4.4,13.7,0.5,,347.0,4.4,,1022.4,
2021-04-14,14.6,4.9,19.4,0.3,,91.0,4.4,,1019.6,
2021-04-15,18.4,7.3,23.1,0.0,,152.0,5.0,,1018.0,
2021-04-16,20.8,10.9,24.3,0.0,,142.0,5.0,,1017.9,
2021-04-17,15.7,8.6,26.1,0.3,,147.0,3.9,,1018.7,
