date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,6.6,-0.6,12.1,,,,,,,
2021-01-02,7.1,-0.9,12.5,0.0,,348.0,4.8,,1026.0,
2021-01-03,6.4,-3.6,9.6,0.0,,317.0,5.0,,1026.5,
2021-01-04,5.4,-3.1,10.5,0.0,,337.0,5.8,,1024.0,
2021-01-05,3.8,-3.3,7.8,0.6,,6.0,5.9,,1021.8,
2021-01-06,5.8,4.0,6.9,0.0,,347.0,5.3,,1026.4,
2021-01-07,6.3,4.7,6.9,0.2,,357.0,5.6,,1024.9,
2021-01-08,6.4,4.6,7.4,0.0,,21.0,5.7,,1021.8,
2021-01-09,6.6,4.0,9.1,0.0,,14.0,5.5,,1019.7,
2021-01-10,9.8,5.4,13.2,0.3,,102.0,5.8,,1019.1,
2021-01-11,9.6,7.7,12.3,1.5,,105.0,5.3,,1018.1,
2021-01-12,12.2,6.0,17.6,0.0,,85.0,7.1,,1015.1,
2021-01-13,6.8,3.2,14.1,15.7,,136.0,9.4,,1004.5,
2021-01-14,2.9,0.6,5.0,0.7,,282.0,7.0,,1006.7,
2021-01-15,0.6,-0.7,1.5,1.9,,251.0,8.6,,1012.3,
2021-01-16,-0.3,-6.0,1.4,0.0,,13.0,5.3,,1013.0,
2021-01-17,1.7,-2.9,4.4,6.6,51.0,324.0,11.0,,1005.1,
2021-01-18,-3.1,-7.7,-0.3,0.3,30.0,316.0,9.5,,1017.9,
2021-01-19,-5.5,-13.6,-1.6,0.0,20.0,332.0,5.3,,1023.8,
2021-01-20,-2.8,-12.5,1.1,0.0,20.0,313.0,5.8,,1027.0,
2021-01-21,-0.7,-3.7,0.8,0.0,10.0,38.0,3.8,,1033.1,
2021-01-22,0.1,-8.0,4.5,0.0,10.0,24.0,5.2,,1031.5,
2021-01-23,1.2,-6.6,6.6,0.0,,5.0,5.9,,1026.5,
2021-01-24,2.4,-5.0,6.3,0.0,,13.0,5.3,,1020.9,
2021-01-25,3.3,-2.0,6.0,0.3,,87.0,6.7,,1017.9,
2021-01-26,8.1,1.8,10.5,0.8,,118.0,8.1,,1016.1,
2021-01-27,8.6,6.5,10.3,0.3,,137.0,12.0,,1005.8,
2021-01-28,2.3,-2.8,3.9,5.1,,244.0,7.1,,1008.1,
2021-01-29,1.5,-4.9,5.0,0.3,,270.0,5.6,,1014.8,
2021-01-30,1.9,-1.4,4.1,0.0,,104.0,7.0,,1011.3,
2021-01-31,4.5,0.0,7.4,2.5,,297.0,4.4,,1012.6,
2021-02-01,6.8,1.0,10.5,0.0,,85.0,6.8,,1018.5,
2021-02-02,7.1,-0.5,13.0,0.0,,88.0,6.3,,1020.9,
2021-02-03,9.7,0.5,15.2,0.0,,338.0,5.7,,1019.5,
2021-02-04,10.3,0.2,15.7,0.0,,309.0,6.2,,1017.6,
2021-02-05,11.3,1.7,15.7,0.0,,307.0,6.3,,1019.5,
2021-02-06,11.1,-0.6,17.4,0.0,,280.0,6.6,,1018.9,
2021-02-07,10.9,-1.0,18.2,0.0,,294.0,5.9,,1017.2,
2021-02-08,9.5,3.2,13.0,0.0,,75.0,6.7,,1016.1,
2021-02-09,14.4,3.0,18.4,0.0,,194.0,9.3,,1015.4,
2021-02-10,7.9,0.4,13.6,0.0,,293.0,7.2,,1015.8,
2021-02-11,7.3,1.4,15.1,0.0,,8.0,6.5,,1016.2,
2021-02-12,5.1,-1.9,12.4,0.5,,3.0,9.9,,1013.4,
2021-02-13,5.6,-3.2,8.5,0.0,,276.0,6.3,,1022.8,
2021-02-14,5.2,0.2,8.0,0.1,,36.0,5.8,,1019.2,
2021-02-15,-0.4,-3.7,0.9,1.5,,338.0,13.0,,1017.6,
2021-02-16,-1.2,-4.2,1.2,11.9,,331.0,10.4,,1018.3,
2021-02-17,-2.3,-8.7,0.3,70.1,,305.0,10.0,,1019.2,
2021-02-18,-4.3,-12.6,-1.8,0.0,41.0,353.0,5.2,,1022.9,
2021-02-19,0.0,-4.2,-1.2,0.5,,277.0,8.4,,1026.5,
2021-02-20,-8.3,-15.8,-0.4,0.0,,325.0,7.9,,1032.9,
2021-02-21,-2.9,-7.6,4.0,0.0,,326.0,4.7,,1033.2,
2021-02-22,1.7,-7.7,6.0,0.0,,277.0,4.0,,1032.2,
2021-02-23,4.9,-5.9,10.1,0.0,,313.0,5.9,,1030.5,
2021-02-24,7.4,-4.7,12.6,0.0,,325.0,10.0,,1028.7,
2021-02-25,6.8,0.0,10.8,0.0,,326.0,7.9,,1031.6,
2021-02-26,7.0,-3.7,12.1,0.0,,300.0,5.6,,1029.2,
2021-02-27,8.3,-4.5,13.9,0.0,,309.0,5.6,,1021.1,
2021-02-28,6.4,-2.4,9.3,0.0,,323.0,14.3,,1020.9,
2021-03-01,4.8,-0.8,7.5,0.0,,346.0,5.1,,1026.0,
2021-03-02,5.9,-3.1,9.3,0.1,,341.0,5.7,,1026.7,
2021-03-03,7.1,-4.8,12.8,0.0,,325.0,13.9,,1026.0,
2021-03-04,5.9,-5.7,11.6,0.0,,318.0,5.2,,1024.9,
2021-03-05,9.1,-6.2,15.6,0.0,,287.0,6.4,,1020.4,
2021-03-06,9.7,-3.3,14.0,0.0,,304.0,7.4,,1019.7,
2021-03-07,3.9,1.0,5.7,0.3,,335.0,8.2,,1022.0,
2021-03-08,4.8,-1.0,9.0,2.3,,271.0,6.6,,1018.2,
2021-03-09,7.6,-6.3,13.0,0.0,,311.0,5.9,,1017.5,
2021-03-10,8.9,-5.3,13.2,0.0,,330.0,5.9,,1015.4,
2021-03-11,6.3,2.8,8.4,3.3,,345.0,11.8,,1008.3,
2021-03-12,4.6,-2.9,8.3,0.0,,22.0,9.2,,1020.7,
2021-03-13,8.2,-5.4,13.5,0.0,,9.0,5.5,,1019.2,
2021-03-14,12.1,-0.8,15.4,0.0,,263.0,5.9,,1014.5,
2021-03-15,13.3,2.1,16.7,0.9,,178.0,6.6,,1007.8,
2021-03-16,8.4,4.3,13.1,2.3,,177.0,12.5,,1002.4,
2021-03-17,4.6,0.9,7.2,3.3,,157.0,8.1,,1004.5,
2021-03-18,7.1,1.6,9.0,2.3,,252.0,11.3,,1009.7,
2021-03-19,5.6,-2.1,8.8,0.0,,264.0,7.2,,1015.7,
2021-03-20,8.3,1.6,11.0,0.5,,155.0,4.4,,1017.3,
2021-03-21,5.8,3.5,7.0,7.9,10.0,60.0,4.5,,1013.2,
2021-03-22,8.6,4.0,11.1,1.8,,343.0,6.0,,1004.1,
2021-03-23,6.3,2.1,11.6,14.3,,339.0,12.0,,1001.6,
2021-03-24,1.9,0.0,4.3,10.2,,357.0,9.1,,1005.6,
2021-03-25,1.3,-1.9,3.8,8.6,,325.0,12.0,,1014.3,
2021-03-26,2.7,-2.1,4.5,0.3,,303.0,9.9,,1020.6,
2021-03-27,6.3,1.1,9.5,0.0,,298.0,11.4,,1026.3,
2021-03-28,9.1,-3.9,13.4,0.0,,290.0,5.2,,1029.8,
2021-03-29,9.0,-2.1,14.1,0.6,,309.0,10.6,,1026.8,
2021-03-30,5.6,0.5,8.5,1.5,,7.0,8.3,,1024.1,
2021-03-31,7.9,0.0,10.8,0.0,,338.0,6.9,,1019.2,
2021-04-01,7.6,4.4,8.7,3.0,,346.0,7.6,,1014.0,
2021-04-02,11.1,4.8,13.6,0.0,,303.0,7.9,,1013.9,
2021-04-03,10.9,-0.2,15.0,1.0,,289.0,6.2,,1014.8,
2021-04-04,14.1,2.8,18.3,0.2,,236.0,10.0,,1014.9,
2021-04-05,13.8,9.6,17.5,4.3,,100.0,7.8,,1012.4,
2021-04-06,15.7,8.4,20.1,0.5,,107.0,7.1,,1012.1,
2021-04-07,20.6,7.8,24.0,0.0,,201.0,10.4,,1007.5,
2021-04-08,16.9,5.9,19.9,0.5,,288.0,11.7,,1009.2,
2021-04-09,3.4,0.5,6.0,11.4,,336.0,18.0,,1019.8,
2021-04-10,5.7,-0.2,8.6,1.8,,335.0,20.5,,1022.4,
2021-04-11,4.7,1.8,5.4,0.0,,321.0,17.2,,1020.7,
2021-04-12,7.5,-1.5,8.9,0.0,,305.0,6.3,,1021.4,
2021-04-13,11.6,3.7,14.5,0.0,,207.0,6.3,,1020.7,
2021-04-14,13.1,3.6,17.7,0.5,,102.0,6.7,,1017.4,
2021-04-15,17.0,5.6,21.0,0.3,,276.0,7.7,,1015.3,
2021-04-16,16.6,6.0,20.9,0.0,,286.0,8.0,,1014.8,
2021-04-17,16.4,10.1,19.1,0.0,,78.0,7.6,,1016.8,
2021-04-18,17.4,7.8,19.9,0.3,,228.0,6.9,,1016.0,
2021-04-19,15.3,11.8,20.2,0.8,,207.0,6.3,,1014.0,
2021-04-20,18.5,10.0,21.4,1.5,,281.0,11.8,,1009.3,
2021-04-21,17.8,7.5,21.3,0.0,,311.0,9.2,,1016.2,
2021-04-22,16.4,4.7,20.1,0.2,,314.0,8.2,,1020.9,
2021-04-23,12.8,3.7,21.8,0.0,,271.0,8.0,,1020.9,
2021-04-24,19.2,11.7,22.0,0.0,,336.0,8.9,,1018.0,
2021-04-25,13.9,8.4,17.1,3.4,,111.0,5.9,,1013.7,
2021-04-26,14.4,9.8,15.5,2.8,,325.0,14.4,,1012.3,
2021-04-27,16.7,7.4,21.7,0.0,,181.0,6.2,,1016.6,
2021-04-28,16.8,8.5,25.6,0.0,,303.0,7.3,,1014.1,
2021-04-29,19.0,11.9,27.5,0.1,,308.0,9.4,,1014.3,
2021-04-30,23.3,13.4,26.3,0.1,,317.0,9.3,,1015.8,
2021-05-01,18.5,9.5,26.5,0.0,,320.0,8.1,,1017.5,
2021-05-02,22.7,8.5,27.2,0.0,,349.0,4.4,,1015.1,
2021-05-03,26.7,10.4,32.6,0.0,,296.0,9.2,,1011.6,
2021-05-04,16.9,13.1,20.7,1.3,,339.0,14.3,,1014.5,
2021-05-05,19.5,8.9,23.7,0.3,,155.0,5.6,,1013.6,
2021-05-06,19.7,8.7,22.7,0.0,,319.0,8.3,,1012.2,
2021-05-07,22.1,5.6,26.0,0.0,,225.0,6.7,,1015.9,
2021-05-08,21.6,9.9,25.3,5.0,,319.0,10.1,,1013.1,
2021-05-09,14.1,10.3,17.1,0.5,,331.0,20.1,,1019.5,
2021-05-10,15.2,0.0,19.3,0.0,,139.0,6.0,,1023.1,
2021-05-11,13.2,5.6,21.6,0.0,,251.0,6.7,,1016.0,
2021-05-12,16.9,6.9,27.0,0.0,,299.0,7.6,,1010.0,
2021-05-13,21.5,11.0,30.2,0.0,,195.0,9.8,,1007.6,
2021-05-14,22.5,12.1,30.7,0.0,,243.0,10.4,,1009.8,
2021-05-15,27.2,12.4,31.4,0.0,,169.0,9.4,,1010.7,
2021-05-16,22.9,12.1,27.7,3.3,,313.0,8.2,,1005.5,
2021-05-17,20.7,12.4,23.2,0.1,,311.0,9.9,,1008.4,
2021-05-18,25.3,13.0,28.3,0.0,,278.0,11.5,,1008.5,
2021-05-19,23.6,8.2,27.3,0.0,,285.0,7.3,,1013.4,
2021-05-20,22.4,12.9,33.3,0.0,,265.0,11.9,,1007.7,
2021-05-21,26.9,12.9,32.3,0.0,,305.0,17.7,,1005.8,
2021-05-22,16.3,12.1,16.9,0.5,,326.0,20.5,,1013.4,
2021-05-23,20.2,11.6,24.6,0.0,,330.0,18.5,,1016.7,
2021-05-24,25.5,9.4,29.8,0.0,,338.0,10.0,,1018.5,
2021-05-25,20.8,11.1,29.2,0.0,,323.0,10.7,,1017.7,
2021-05-26,22.1,11.9,31.4,0.0,,334.0,6.9,,1013.9,
2021-05-27,22.7,14.8,31.2,0.0,,250.0,7.3,,1010.8,
2021-05-28,26.8,16.8,31.9,0.4,,315.0,7.3,,1007.2,
2021-05-29,18.0,13.5,20.2,11.9,,322.0,13.3,,1009.5,
2021-05-30,22.3,12.8,25.0,0.5,,60.0,6.7,,1013.7,
2021-05-31,21.2,12.8,25.4,2.0,,281.0,7.9,,1009.4,
2021-06-01,15.7,10.9,20.8,0.3,,300.0,9.9,,1007.7,
2021-06-02,15.2,8.7,18.5,13.5,,305.0,11.4,,1013.5,
2021-06-03,15.8,6.1,17.8,5.3,,288.0,8.7,,1017.9,
2021-06-04,15.9,8.2,18.9,0.0,,314.0,12.4,,1019.7,
2021-06-05,15.8,6.6,18.5,0.0,,330.0,14.0,,1019.5,
2021-06-06,20.8,8.3,24.6,0.0,,334.0,8.7,,1017.0,
