date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,10.0,,,,,,,,,
2021-01-02,11.2,8.4,13.0,0.0,,20.0,7.3,,1024.2,
2021-01-03,11.7,6.3,14.6,0.0,,327.0,4.6,,1023.3,
2021-01-04,11.3,6.1,12.6,0.0,,350.0,5.2,,1023.4,
2021-01-05,9.1,3.5,12.2,0.0,,21.0,5.4,,1024.6,
2021-01-06,10.2,3.6,12.6,0.0,,341.0,3.4,,1025.9,
2021-01-07,10.9,4.1,13.5,0.0,,331.0,3.9,,1024.6,
2021-01-08,9.7,3.6,12.9,0.0,,25.0,4.8,,1024.4,
2021-01-09,9.9,3.6,12.7,0.0,,20.0,4.8,,1024.2,
2021-01-10,10.0,3.5,12.4,0.0,,334.0,4.4,,1025.0,
2021-01-11,9.4,6.2,12.1,0.0,,323.0,3.2,,1025.7,
2021-01-12,10.6,6.3,12.8,0.3,,28.0,3.8,,1024.8,
2021-01-13,11.7,7.0,13.5,0.0,,53.0,11.3,,1015.6,
2021-01-14,7.3,6.4,7.4,10.4,10.0,84.0,11.3,,1007.9,
2021-01-15,6.6,2.8,9.3,23.4,,172.0,6.1,,1011.7,
2021-01-16,8.2,6.7,9.0,7.1,,94.0,7.8,,1014.0,
2021-01-17,6.3,6.0,7.7,34.3,30.0,167.0,13.2,,1007.5,
2021-01-18,6.7,4.2,7.4,25.9,,251.0,8.6,,1011.4,
2021-01-19,1.4,-5.5,2.5,8.9,10.0,2.0,10.3,,1015.6,
2021-01-20,1.1,-1.4,0.7,0.5,,339.0,10.4,,1018.2,
2021-01-21,3.2,-4.8,4.2,0.0,,342.0,10.7,,1030.6,
2021-01-22,3.5,-1.6,6.6,0.0,,351.0,2.9,,1032.3,
2021-01-23,4.2,-1.1,8.1,0.0,,349.0,3.3,,1027.4,
2021-01-24,4.8,-1.6,8.8,0.0,,18.0,6.8,,1025.3,
2021-01-25,6.6,-1.8,9.7,0.0,,19.0,6.6,,1023.9,
2021-01-26,7.8,-0.6,10.5,0.0,,20.0,5.8,,1024.3,
2021-01-27,8.6,2.9,10.9,0.3,,47.0,11.2,,1019.0,
2021-01-28,7.7,2.5,8.3,1.0,,43.0,9.9,,1013.7,
2021-01-29,4.6,2.5,3.6,16.5,20.0,16.0,9.3,,1011.9,
2021-01-30,4.2,-5.3,4.5,24.1,,9.0,7.0,,1016.3,
2021-01-31,4.3,0.3,3.9,49.8,51.0,45.0,12.7,,1018.1,
2021-02-01,6.7,2.6,7.4,4.1,,10.0,7.7,,1027.0,
2021-02-02,9.7,2.6,10.9,0.3,,5.0,7.4,,1026.3,
2021-02-03,7.8,2.4,11.0,0.0,,352.0,4.4,,1022.1,
2021-02-04,11.6,4.9,12.8,0.3,,15.0,8.6,,1019.0,
2021-02-05,11.4,5.6,14.1,0.0,,342.0,6.1,,1017.7,
2021-02-06,11.1,5.0,14.1,0.0,,313.0,5.0,,1019.2,
2021-02-07,11.1,5.0,14.8,0.0,,325.0,3.7,,1019.1,
2021-02-08,10.5,5.4,13.9,0.0,,45.0,6.1,,1023.4,
2021-02-09,13.1,7.5,15.0,0.1,,42.0,7.3,,1023.9,
2021-02-10,11.4,4.7,14.8,5.6,,19.0,7.2,,1020.7,
2021-02-11,8.0,3.0,15.0,0.0,,310.0,5.4,,1020.0,
2021-02-12,9.2,4.7,14.7,0.1,,23.0,6.7,,1016.0,
2021-02-13,13.8,4.3,13.8,0.1,,22.0,5.1,,1017.1,
2021-02-14,11.8,5.4,15.0,0.0,,47.0,7.4,,1018.7,
2021-02-15,13.1,8.3,14.8,0.0,,54.0,8.1,,1013.3,
2021-02-16,10.0,4.5,10.3,8.5,,46.0,5.6,,1006.1,
2021-02-17,6.2,1.4,8.5,0.8,,259.0,9.1,,1002.4,
2021-02-18,3.2,-0.6,5.6,4.3,,340.0,12.2,,1014.2,
2021-02-19,3.0,-4.3,5.9,0.0,,359.0,7.4,,1022.7,
2021-02-20,0.2,-3.7,5.2,0.0,,345.0,9.5,,1026.2,
2021-02-21,1.0,-3.9,7.5,0.0,,344.0,8.9,,1028.3,
2021-02-22,6.6,-0.8,9.4,0.0,,323.0,5.3,,1028.5,
2021-02-23,10.0,1.5,13.1,0.0,,311.0,4.6,,1025.2,
2021-02-24,13.6,2.1,13.4,0.0,,353.0,5.8,,1020.5,
2021-02-25,11.9,4.2,12.5,0.0,,351.0,12.7,,1021.8,
2021-02-26,10.5,3.7,13.7,0.0,,324.0,9.3,,1022.0,
2021-02-27,11.6,1.8,13.5,0.0,,326.0,5.8,,1018.7,
2021-02-28,11.9,3.6,14.1,0.0,,332.0,5.4,,1015.6,
2021-03-01,6.8,2.4,8.7,1.3,,355.0,11.2,,1017.4,
2021-03-02,9.5,1.3,11.8,0.0,,17.0,8.6,,1021.5,
2021-03-03,10.7,3.6,13.6,0.0,,3.0,6.2,,1019.4,
2021-03-04,12.7,5.0,14.3,0.0,,5.0,13.6,,1016.2,
2021-03-05,13.8,1.6,16.1,0.0,,326.0,8.6,,1017.6,
2021-03-06,11.9,2.9,14.4,0.0,,28.0,6.5,,1021.6,
2021-03-07,12.8,3.5,14.6,0.2,,16.0,6.1,,1016.0,
2021-03-08,11.1,7.1,13.0,2.7,,315.0,5.6,,1012.9,
2021-03-09,10.8,1.7,13.6,0.0,,313.0,6.3,,1015.7,
2021-03-10,12.7,4.2,14.4,0.2,,31.0,6.7,,1015.6,
2021-03-11,14.3,7.7,15.4,3.8,,278.0,9.6,,1004.9,
2021-03-12,8.1,0.1,8.9,6.4,10.0,286.0,12.1,,1006.9,
2021-03-13,9.2,-1.1,12.9,0.0,,298.0,5.7,,1018.3,
2021-03-14,11.7,3.3,14.7,0.0,,31.0,4.9,,1016.8,
2021-03-15,9.1,7.6,9.3,9.9,,46.0,7.5,,1014.0,
2021-03-16,12.0,7.4,13.6,5.2,,129.0,10.5,,1010.8,
2021-03-17,10.4,3.8,14.3,0.0,,239.0,9.2,,1010.1,
2021-03-18,7.7,3.7,11.9,2.6,,240.0,9.3,,1010.8,
2021-03-19,11.1,1.5,14.6,3.8,,42.0,6.0,,1015.9,
2021-03-20,10.3,3.6,13.8,0.0,,55.0,6.2,,1017.6,
2021-03-21,13.8,5.4,17.9,0.0,,359.0,6.0,,1013.2,
2021-03-22,12.8,6.2,16.7,2.3,,31.0,6.8,,1010.7,
2021-03-23,10.4,8.9,13.3,28.5,,44.0,9.1,,1006.4,
2021-03-24,9.3,6.5,12.2,23.5,,219.0,13.0,,1000.3,
2021-03-25,7.2,1.9,10.9,2.0,,233.0,15.2,,1009.1,
