date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,7.6,2.4,13.5,,,,,,,
2021-01-02,7.1,2.1,14.5,0.0,,72.0,4.9,,1024.6,
2021-01-03,6.4,1.0,13.1,0.0,,94.0,6.9,,1025.1,
2021-01-04,5.9,0.4,12.9,0.0,,113.0,6.4,,1022.1,
2021-01-05,4.8,1.5,8.0,3.0,,135.0,8.1,,1019.6,
2021-01-06,4.7,2.3,7.4,0.0,,144.0,5.6,,1024.6,
2021-01-07,5.6,4.0,8.7,0.0,,152.0,5.7,,1023.0,
2021-01-08,7.2,3.9,13.0,0.0,,160.0,7.7,,1019.5,
2021-01-09,9.4,3.9,14.8,0.0,,196.0,9.4,,1018.4,
2021-01-10,11.6,9.6,14.2,0.0,,213.0,10.4,,1019.3,
2021-01-11,11.2,7.7,15.0,0.5,,217.0,14.4,,1018.4,
2021-01-12,13.6,8.3,18.4,0.0,,205.0,13.7,,1014.8,
2021-01-13,5.4,1.2,12.2,0.8,,209.0,16.0,,1006.0,
2021-01-14,2.6,-4.7,5.3,27.2,,209.0,8.2,,1007.3,
2021-01-15,-1.1,-4.5,0.9,0.8,,232.0,8.9,,1012.8,
2021-01-16,-1.3,-6.2,3.9,2.3,,92.0,8.3,,1011.1,
2021-01-17,-0.7,-4.9,3.0,3.6,,257.0,12.5,,1006.1,
2021-01-18,-5.7,-8.6,-2.8,1.0,,261.0,9.5,,1019.2,
2021-01-19,-8.4,-13.2,-2.9,0.3,,63.0,3.3,,1024.4,
2021-01-20,-5.9,-11.8,-1.5,0.0,,203.0,5.5,,1028.9,
2021-01-21,-1.5,-4.6,1.9,0.0,,177.0,5.2,,1033.2,
2021-01-22,-0.8,-6.0,5.1,0.0,,133.0,5.0,,1030.5,
2021-01-23,1.1,-3.4,7.3,0.0,,118.0,6.0,,1024.8,
2021-01-24,3.1,-1.5,7.9,0.3,,147.0,8.7,,1019.2,
2021-01-25,5.2,1.0,8.0,0.0,,167.0,18.6,,1016.6,
2021-01-26,8.6,5.5,11.4,1.0,,175.0,19.4,,1015.2,
2021-01-27,7.2,2.9,11.7,0.0,,165.0,24.3,,1004.5,
2021-01-28,0.3,-2.8,1.7,7.1,,236.0,12.1,,1009.6,
2021-01-29,-0.6,-2.2,1.5,0.0,,223.0,7.8,,1016.0,
2021-01-30,1.8,-0.9,5.0,0.0,,169.0,11.9,,1009.9,
2021-01-31,3.8,1.8,6.7,5.1,,221.0,8.4,,1012.8,
2021-02-01,7.5,1.3,13.0,0.0,,167.0,13.6,,1016.9,
2021-02-02,8.6,5.1,15.3,0.0,,145.0,10.5,,1019.2,
2021-02-03,9.0,3.8,15.9,0.0,,97.0,5.5,,1018.2,
2021-02-04,8.6,2.6,15.1,0.0,,197.0,7.0,,1017.5,
2021-02-05,8.2,2.6,13.3,0.0,,236.0,8.0,,1020.7,
2021-02-06,8.1,1.3,15.1,0.0,,210.0,8.0,,1019.4,
2021-02-07,8.9,2.1,16.2,0.0,,219.0,8.7,,1017.6,
2021-02-08,11.3,5.3,16.4,0.0,,181.0,11.4,,1015.7,
2021-02-09,11.9,8.0,16.7,1.0,,210.0,16.5,,1016.0,
2021-02-10,7.9,5.3,11.8,0.6,,205.0,12.1,,1016.2,
2021-02-11,8.8,3.7,16.6,0.0,,175.0,9.8,,1015.2,
2021-02-12,5.5,-1.3,10.6,2.8,,223.0,18.2,,1013.6,
2021-02-13,3.3,-4.6,5.5,0.0,,255.0,7.4,,1024.0,
2021-02-14,5.1,0.5,10.0,0.2,,114.0,7.8,,1016.9,
2021-02-15,-1.1,-4.2,5.3,1.0,,351.0,9.5,,1016.8,
2021-02-16,-4.2,-7.6,-1.5,15.5,,26.0,14.6,,1017.8,
2021-02-17,-5.3,-8.8,-1.0,0.3,79.0,34.0,8.8,,1019.2,
2021-02-18,-4.6,-10.9,-0.6,0.0,61.0,188.0,5.8,,1022.8,
2021-02-19,-0.5,-3.1,0.5,39.9,,295.0,11.0,,1027.2,
2021-02-20,-5.8,-9.5,0.2,0.0,,115.0,5.9,,1031.8,
2021-02-21,-2.3,-6.9,5.3,0.0,,91.0,4.9,,1032.0,
2021-02-22,1.1,-6.3,8.2,0.0,,163.0,3.8,,1031.8,
2021-02-23,4.3,-2.7,12.2,0.0,,166.0,4.5,,1030.7,
2021-02-24,6.6,-0.8,14.6,0.0,,34.0,5.0,,1027.9,
2021-02-25,4.5,-2.0,8.1,0.0,,39.0,8.6,,1031.1,
2021-02-26,5.4,-1.1,12.1,0.0,,43.0,4.3,,1028.4,
2021-02-27,6.4,-0.9,13.7,0.0,,175.0,5.1,,1021.0,
2021-02-28,4.2,0.7,11.6,0.0,,283.0,9.8,,1021.1,
2021-03-01,2.3,-3.9,7.5,0.0,,16.0,5.1,,1026.0,
2021-03-02,3.7,0.6,8.1,0.0,,56.0,10.1,,1026.1,
2021-03-03,4.7,-1.5,12.7,0.0,,23.0,8.9,,1025.3,
2021-03-04,4.3,-1.4,9.6,0.0,,347.0,6.5,,1024.5,
2021-03-05,6.9,-2.1,16.1,0.0,,207.0,7.5,,1020.6,
2021-03-06,7.7,0.7,13.1,0.0,,241.0,10.9,,1020.1,
2021-03-07,3.8,1.2,5.8,0.5,,304.0,5.6,,1021.8,
2021-03-08,2.9,-0.2,7.8,3.8,,240.0,7.7,,1019.0,
2021-03-09,4.3,-2.6,10.3,0.0,,231.0,4.8,,1018.0,
2021-03-10,7.8,-0.8,13.7,0.0,,118.0,7.8,,1013.9,
2021-03-11,5.4,0.5,9.7,0.0,,252.0,9.6,,1008.3,
2021-03-12,3.1,-1.8,7.2,1.0,,310.0,8.7,,1020.9,
2021-03-13,7.2,-1.9,13.8,0.0,,169.0,5.7,,1018.7,
2021-03-14,9.3,3.1,14.3,0.0,,169.0,5.7,,1014.1,
2021-03-15,10.4,4.6,15.4,3.8,,174.0,10.1,,1007.7,
2021-03-16,5.8,3.1,9.8,4.8,10.0,211.0,20.3,,1002.9,
2021-03-17,3.7,0.9,7.8,6.6,,217.0,13.2,,1004.6,
2021-03-18,3.0,-1.9,7.4,0.8,,241.0,14.9,,1010.9,
