date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,10.5,5.0,14.8,2.0,,207.0,8.2,,1017.5,
2021-01-02,7.0,0.9,16.0,1.0,,344.0,1.5,,1023.0,
2021-01-03,6.8,0.5,13.0,0.0,,356.0,0.4,,1022.6,
2021-01-04,8.9,2.3,15.5,0.3,,334.0,1.4,,1017.3,
2021-01-05,11.4,5.0,17.5,11.2,10.0,213.0,9.3,,1015.8,
2021-01-06,6.4,0.3,13.4,0.0,,309.0,2.2,,1022.7,
2021-01-07,9.9,2.6,17.5,0.0,,245.0,6.2,,1020.3,
2021-01-08,13.6,7.2,19.7,0.0,,246.0,7.5,,1016.5,
2021-01-09,14.9,11.7,17.0,2.3,,202.0,11.0,,1014.6,
2021-01-10,14.6,11.0,19.0,1.7,,225.0,5.4,,1016.9,
2021-01-11,16.3,9.1,23.0,0.0,,241.0,8.0,,1016.0,
2021-01-12,15.6,9.0,22.2,4.6,,213.0,14.9,,1010.8,
2021-01-13,7.7,7.0,10.0,40.6,41.0,26.0,6.6,,1006.6,
2021-01-14,4.2,2.0,6.1,2.5,,356.0,9.1,,1009.6,
2021-01-15,1.4,-2.0,5.0,9.4,10.0,6.0,6.3,,1013.7,
2021-01-16,-1.1,-4.2,1.0,6.1,,343.0,3.2,,1010.9,
2021-01-17,-0.2,-1.0,1.3,11.9,89.0,351.0,15.6,,1013.3,
2021-01-18,-3.0,-7.0,0.4,0.8,41.0,356.0,9.8,,1020.8,
2021-01-19,-7.3,-12.0,-1.0,0.0,20.0,359.0,1.7,,1025.0,
2021-01-20,-6.4,-12.1,0.6,0.0,10.0,9.0,0.7,,1029.2,
2021-01-21,-0.9,-6.8,5.7,0.0,10.0,2.0,0.2,,1030.0,
2021-01-22,6.9,-1.4,13.6,0.0,10.0,30.0,5.7,,1026.0,
2021-01-23,10.6,4.1,15.1,0.0,,191.0,10.7,,1019.6,
2021-01-24,12.6,9.0,15.0,0.5,,185.0,16.3,,1012.8,
2021-01-25,12.0,10.0,13.1,6.4,,191.0,18.3,,1009.5,
2021-01-26,14.9,9.5,17.5,14.5,,198.0,17.9,,1008.1,
2021-01-27,4.7,0.0,15.9,13.5,10.0,319.0,12.7,,1001.6,
2021-01-28,1.7,-1.0,4.1,19.1,,2.0,3.8,,1012.7,
2021-01-29,2.7,-4.5,9.6,0.3,,265.0,5.5,,1014.7,
2021-01-30,7.9,6.6,10.2,0.3,,193.0,10.2,,1003.9,
2021-01-31,8.2,-1.4,16.5,29.7,,218.0,5.2,,1010.6,
