date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,8.2,-0.2,15.0,0.0,,,,,,
2021-01-02,8.6,-0.2,15.1,0.0,,39.0,3.4,,1025.5,
2021-01-03,6.9,-2.0,13.2,0.0,,70.0,5.2,,1025.9,
2021-01-04,6.7,-1.3,13.2,0.0,,70.0,2.5,,1023.2,
2021-01-05,6.9,-1.0,12.9,3.0,,46.0,2.5,,1021.2,
2021-01-06,7.3,4.0,11.7,7.9,,35.0,2.5,,1026.0,
2021-01-07,7.1,3.1,9.6,0.0,,317.0,3.7,,1024.2,
2021-01-08,7.2,2.6,12.6,0.0,,247.0,4.0,,1021.2,
2021-01-09,7.9,1.1,14.2,0.0,,192.0,6.7,,1019.5,
2021-01-10,12.3,5.7,15.2,0.5,,205.0,9.8,,1019.5,
2021-01-11,11.8,6.8,15.8,0.3,,215.0,9.5,,1018.6,
2021-01-12,16.5,7.6,20.6,0.0,,201.0,12.3,,1015.6,
2021-01-13,9.1,3.0,16.2,5.1,,209.0,15.4,,1005.3,
2021-01-14,5.7,3.6,7.5,0.8,,228.0,5.7,,1006.4,
2021-01-15,1.6,-2.8,2.2,4.1,,238.0,7.6,,1012.2,
2021-01-16,1.0,-3.5,2.5,0.0,,89.0,5.3,,1012.5,
2021-01-17,1.2,-1.5,2.9,5.6,,261.0,8.7,,1004.0,
2021-01-18,-1.7,-8.8,0.6,1.5,30.0,299.0,8.1,,1016.9,
2021-01-19,-5.3,-11.5,-0.1,0.5,10.0,15.0,4.3,,1023.8,
2021-01-20,-3.1,-9.7,0.3,0.0,,335.0,6.0,,1027.4,
2021-01-21,0.8,-2.2,1.8,0.0,,255.0,6.2,,1033.4,
2021-01-22,2.0,-2.6,6.1,0.0,,323.0,3.8,,1031.6,
2021-01-23,3.3,-2.6,9.3,0.0,,5.0,2.1,,1026.3,
2021-01-24,4.4,-1.8,9.8,0.0,,139.0,4.7,,1020.7,
2021-01-25,6.7,-0.5,10.9,0.5,,183.0,10.3,,1018.0,
2021-01-26,9.9,4.3,13.4,0.3,,176.0,11.5,,1017.0,
2021-01-27,11.2,7.0,14.8,0.0,,168.0,13.9,,1007.0,
2021-01-28,4.3,0.7,6.2,4.3,,226.0,13.3,,1008.1,
2021-01-29,2.2,-2.1,4.4,0.0,,277.0,6.6,,1014.8,
2021-01-30,5.3,-0.4,8.9,0.0,,197.0,10.9,,1011.3,
2021-01-31,6.6,0.6,9.0,0.5,,191.0,6.7,,1012.8,
2021-02-01,8.6,0.6,13.7,0.0,,186.0,11.6,,1018.8,
2021-02-02,8.0,0.9,16.2,0.0,,135.0,7.3,,1020.8,
2021-02-03,9.6,1.9,16.6,0.0,,52.0,2.7,,1019.4,
2021-02-04,10.3,2.4,16.5,0.0,,283.0,4.6,,1017.7,
2021-02-05,10.6,3.9,14.4,0.0,,276.0,9.1,,1019.6,
2021-02-06,10.2,0.9,15.5,0.0,,253.0,7.1,,1019.5,
2021-02-07,10.7,1.8,16.6,0.0,,271.0,6.0,,1017.7,
2021-02-08,12.0,4.7,17.1,0.0,,227.0,7.6,,1016.3,
2021-02-09,13.3,7.5,16.6,0.0,,214.0,15.1,,1016.0,
2021-02-10,9.5,2.8,13.4,1.9,,198.0,9.8,,1016.5,
2021-02-11,9.2,4.4,15.3,0.0,,142.0,7.1,,1016.7,
2021-02-12,6.6,0.3,12.4,1.8,,219.0,15.4,,1012.3,
2021-02-13,4.7,-3.7,7.1,0.0,,259.0,8.4,,1022.9,
2021-02-14,5.0,0.2,7.9,0.0,,71.0,9.9,,1019.8,
2021-02-15,1.3,-4.5,0.8,3.0,,44.0,18.2,,1017.9,
2021-02-16,-0.9,-2.3,1.1,8.9,170.0,28.0,13.7,,1018.1,
2021-02-17,-1.9,-12.9,1.2,0.0,99.0,5.0,9.7,,1018.3,
2021-02-18,-3.3,-10.8,1.1,0.0,61.0,268.0,5.1,,1023.8,
2021-02-19,1.4,-1.8,-1.1,0.4,51.0,267.0,9.3,,1026.2,
2021-02-20,-6.1,-11.8,-2.0,0.0,,12.0,3.9,,1032.7,
