date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,10.2,3.1,14.5,0.0,,137.0,2.5,13.0,1017.8,
2021-01-02,5.3,1.8,9.2,0.5,,31.0,1.2,11.1,1024.9,
2021-01-03,3.9,-3.1,8.1,0.0,,41.0,1.2,9.3,1025.8,
2021-01-04,6.9,-3.0,13.8,0.0,,58.0,1.7,13.0,1018.7,
2021-01-05,7.3,1.9,12.2,0.3,,349.0,3.2,13.0,1015.9,
2021-01-06,4.7,-2.0,11.5,0.5,,19.0,1.1,9.3,1024.1,
2021-01-07,7.1,-1.8,13.3,0.0,,319.0,2.4,14.8,1021.9,
2021-01-08,10.1,2.9,15.4,0.3,,329.0,2.6,16.7,1017.4,
2021-01-09,11.4,7.6,14.3,0.0,,277.0,2.4,11.1,1015.1,
2021-01-10,10.1,8.8,11.7,2.3,,321.0,2.0,11.1,1017.0,
2021-01-11,12.7,5.4,17.0,16.3,,253.0,4.1,16.7,1016.7,
2021-01-12,15.8,13.0,17.7,0.3,,238.0,5.4,18.5,1010.6,
2021-01-13,2.8,0.1,13.0,17.8,,240.0,5.2,22.2,1004.7,
2021-01-14,0.1,-1.6,2.4,7.9,,211.0,4.3,13.0,1007.4,
2021-01-15,-2.1,-3.3,-0.3,0.0,10.0,239.0,3.1,14.8,1013.0,
2021-01-16,-3.8,-9.5,0.3,2.0,,46.0,1.1,9.3,1013.1,
2021-01-17,-2.4,-5.8,-0.5,6.1,119.0,225.0,5.5,18.5,1008.9,
2021-01-18,-5.8,-9.4,-3.2,2.8,99.0,234.0,5.0,14.8,1020.4,
2021-01-19,-8.9,-16.6,-4.8,0.0,89.0,47.0,1.4,9.3,1026.8,
2021-01-20,-3.0,-10.5,1.2,0.0,61.0,252.0,2.9,11.1,1028.7,
2021-01-21,2.7,-3.3,6.0,0.0,41.0,303.0,1.7,11.1,1030.3,
2021-01-22,3.2,-1.6,6.5,0.0,20.0,359.0,1.4,11.1,1028.6,
2021-01-23,5.4,-2.2,10.5,0.0,10.0,19.0,2.3,13.0,1022.8,
2021-01-24,7.2,0.4,10.5,0.0,,93.0,3.6,14.8,1015.9,
2021-01-25,8.0,6.9,9.1,0.0,,255.0,5.4,18.5,1011.3,
2021-01-26,10.0,5.8,11.4,0.0,,274.0,3.9,14.8,1010.7,
2021-01-27,6.7,-1.2,11.9,4.1,,190.0,7.7,25.9,999.8,
2021-01-28,-1.3,-2.7,1.0,2.0,30.0,225.0,4.4,18.5,1009.9,
2021-01-29,0.5,-4.0,4.3,0.0,,236.0,3.6,18.5,1013.9,
2021-01-30,1.8,-1.7,3.9,3.0,,326.0,2.9,13.0,1007.1,
2021-01-31,5.8,0.5,10.0,1.0,,248.0,3.4,14.8,1011.1,
2021-02-01,10.2,3.9,13.0,0.0,,233.0,4.3,18.5,1012.3,
2021-02-02,11.5,9.5,14.9,0.0,,246.0,4.3,16.7,1015.2,
2021-02-03,10.4,3.1,16.9,0.0,,14.0,1.4,14.8,1017.2,
2021-02-04,11.0,1.4,17.3,0.0,,260.0,3.0,18.5,1016.0,
2021-02-05,10.3,4.8,13.5,0.0,,255.0,3.0,20.4,1014.8,
2021-02-06,10.8,-1.1,18.1,0.0,,290.0,2.0,16.7,1019.0,
2021-02-07,12.1,0.1,18.3,0.0,,294.0,1.7,16.7,1016.7,
2021-02-08,13.6,7.6,17.2,0.0,,291.0,4.2,16.7,1012.4,
2021-02-09,13.3,10.0,16.5,0.3,,234.0,5.9,24.1,1011.9,
2021-02-10,10.3,6.9,12.7,0.5,,243.0,5.3,18.5,1013.6,
2021-02-11,9.5,3.0,15.5,,,7.0,1.4,18.5,1013.2,
2021-02-12,3.7,-2.4,11.5,,,243.0,7.5,22.2,1013.2,
2021-02-13,-0.7,-4.8,2.3,,,235.0,4.0,18.5,1025.6,
2021-02-14,-2.7,-4.1,-0.5,2.8,30.0,74.0,2.5,13.0,1021.6,
2021-02-15,-3.5,-4.8,-2.3,20.6,221.0,64.0,2.5,16.7,1021.6,
2021-02-16,-3.6,-6.2,-0.3,9.7,300.0,41.0,2.5,16.7,1019.9,
2021-02-17,-4.1,-8.7,-0.6,1.3,269.0,287.0,1.8,14.8,1019.7,
2021-02-18,-3.3,-11.8,1.2,0.3,211.0,256.0,2.5,11.1,1021.3,
2021-02-19,-0.9,-2.9,0.5,5.1,259.0,233.0,5.0,18.5,1027.5,
2021-02-20,-6.1,-12.8,0.7,,,32.0,1.1,11.1,1032.0,
2021-02-21,-4.1,-13.5,5.4,,119.0,92.0,1.5,11.1,1033.5,
2021-02-22,1.6,-9.8,8.0,0.0,99.0,97.0,1.3,13.0,1033.5,
2021-02-23,5.2,-5.8,11.7,0.0,79.0,8.0,0.8,13.0,1032.9,
2021-02-24,4.1,-4.4,9.4,0.0,71.0,155.0,2.8,18.5,1032.3,
2021-02-25,5.5,0.9,9.9,0.0,41.0,106.0,2.8,18.5,1033.0,
2021-02-26,5.2,-1.8,12.0,0.0,,90.0,2.0,14.8,1029.9,
2021-02-27,8.1,-3.2,16.6,0.0,,139.0,2.3,14.8,1021.9,
2021-02-28,1.8,-0.1,4.6,0.5,,250.0,3.7,20.4,1024.1,
2021-03-01,3.1,-0.5,6.9,0.0,,258.0,2.9,13.0,1026.6,
2021-03-02,2.4,-0.8,5.6,0.5,,54.0,2.3,16.7,1027.8,
2021-03-03,3.5,-1.2,8.5,0.3,,78.0,2.9,20.4,1027.9,
2021-03-04,5.0,-4.4,13.2,0.0,,143.0,2.2,14.8,1019.3,
2021-03-05,9.3,-3.9,18.1,0.0,,253.0,4.8,16.7,1014.8,
2021-03-06,6.6,-2.1,13.0,0.0,,265.0,3.3,14.8,1020.9,
2021-03-07,1.1,-0.8,3.6,1.3,,109.0,2.5,16.7,1024.0,
2021-03-08,3.1,-4.5,9.2,1.5,,217.0,2.9,18.5,1019.0,
2021-03-09,5.1,-4.6,11.6,0.0,,234.0,2.4,16.7,1019.0,
2021-03-10,8.1,-3.2,14.6,0.0,,88.0,1.7,13.0,1014.7,
2021-03-11,2.3,-0.5,7.9,2.0,,231.0,3.5,18.5,1010.1,
2021-03-12,2.6,-4.0,7.4,6.1,,222.0,2.0,14.8,1020.2,
2021-03-13,9.2,-3.4,15.5,0.0,,177.0,2.6,13.0,1018.8,
2021-03-14,10.7,-0.7,15.4,0.0,,187.0,2.0,13.0,1015.0,
2021-03-15,10.9,0.2,16.7,0.3,,64.0,1.9,16.7,1007.3,
2021-03-16,7.4,4.3,10.1,3.0,,233.0,6.2,25.9,1000.9,
2021-03-17,4.8,1.6,7.9,1.5,,248.0,5.8,20.4,1003.4,
2021-03-18,3.4,0.5,5.8,1.5,,235.0,6.2,22.2,1010.9,
2021-03-19,4.9,-0.1,6.5,0.0,,230.0,3.0,13.0,1015.5,
2021-03-20,6.3,2.1,9.7,0.3,,218.0,2.6,9.3,1017.2,
2021-03-21,3.8,2.2,4.7,7.1,,8.0,1.2,9.3,1013.5,
2021-03-22,11.8,3.8,18.4,4.6,,211.0,4.5,13.0,1002.1,
2021-03-23,1.9,-0.7,3.7,3.3,,303.0,4.0,14.8,1004.3,
2021-03-24,-0.9,-2.2,0.5,14.2,41.0,287.0,3.0,18.5,1008.4,
2021-03-25,0.2,-2.8,2.1,5.3,99.0,249.0,3.5,14.8,1016.0,
2021-03-26,-0.9,-2.8,0.7,3.6,71.0,225.0,6.2,20.4,1022.7,
2021-03-27,4.4,-1.6,8.0,5.1,41.0,233.0,4.4,20.4,1028.6,
2021-03-28,6.6,-3.7,13.5,0.0,,193.0,2.5,16.7,1030.2,
2021-03-29,3.1,-1.7,6.2,,,208.0,3.5,14.8,1029.5,
2021-03-30,3.9,-2.4,8.9,0.0,,71.0,2.6,14.8,1025.0,
2021-03-31,4.8,0.0,8.9,0.0,,106.0,3.3,16.7,1020.4,
2021-04-01,3.2,1.7,4.2,1.8,,182.0,3.2,16.7,1017.1,
2021-04-02,7.7,2.4,12.4,0.5,,225.0,3.2,13.0,1015.9,
2021-04-03,9.9,0.9,16.1,0.5,,245.0,3.5,14.8,1015.0,
2021-04-04,11.9,4.9,14.4,2.5,,225.0,4.1,16.7,1013.7,
2021-04-05,11.9,5.6,16.2,,,193.0,3.6,20.4,1013.6,
2021-04-06,13.6,3.9,17.4,10.2,,221.0,4.4,14.8,1010.7,
