date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,-0.6,-9.0,11.4,,,,4.5,,1023.2,
2021-01-02,1.9,-4.9,8.4,0.5,,358.0,2.3,,1026.7,
2021-01-03,0.2,-6.9,10.5,0.0,,211.0,3.1,,1026.9,
2021-01-04,0.2,-9.7,9.0,0.0,,250.0,3.9,,1026.0,
2021-01-05,0.8,-6.7,10.1,0.0,,311.0,6.7,,1024.7,
2021-01-06,0.3,-5.6,9.4,0.0,,317.0,4.4,,1027.4,
2021-01-07,-1.2,-9.0,9.2,0.0,,288.0,3.0,,1026.6,
2021-01-08,-1.2,-8.0,6.3,0.0,,342.0,2.0,,1025.5,
2021-01-09,-0.5,-9.5,10.7,0.0,,352.0,4.4,,1024.3,
2021-01-10,2.2,-8.2,10.2,0.0,,16.0,2.2,,1024.2,
2021-01-11,5.3,1.8,11.8,0.0,,3.0,4.4,,1024.3,
2021-01-12,6.1,1.2,12.8,0.8,,19.0,3.0,,1023.5,
2021-01-13,11.1,3.3,14.5,0.3,,112.0,25.2,,1012.7,
2021-01-14,4.8,3.0,8.0,3.6,,104.0,21.3,,1004.5,
2021-01-15,1.9,-0.3,5.5,7.1,10.0,287.0,12.8,,1009.5,
2021-01-16,2.3,-0.4,5.0,0.5,,311.0,3.7,,1010.9,
2021-01-17,3.7,2.0,6.0,1.8,,152.0,15.0,,1003.5,
2021-01-18,-2.8,-7.0,0.6,10.4,,257.0,15.9,,1009.7,
2021-01-19,-8.9,-15.0,-0.6,1.5,170.0,217.0,3.4,,1015.5,
2021-01-20,-10.7,-16.3,-4.1,0.0,119.0,290.0,3.4,,1018.7,
2021-01-21,-10.4,-16.5,-2.3,0.0,89.0,109.0,4.5,,1028.8,
2021-01-22,-11.8,-17.8,-5.1,0.0,51.0,12.0,2.6,,1032.4,
2021-01-23,-11.8,-18.1,-5.4,0.0,41.0,349.0,2.6,,1029.2,
2021-01-24,-10.8,-17.5,-3.8,0.0,41.0,20.0,2.5,,1025.8,
2021-01-25,-8.6,-16.7,-1.1,0.0,41.0,4.0,3.1,,1024.0,
2021-01-26,-1.6,-10.0,5.1,0.0,41.0,4.0,3.6,,1023.3,
2021-01-27,3.3,-3.9,7.0,0.6,41.0,112.0,22.5,,1016.7,
2021-01-28,4.4,2.0,8.0,4.5,,91.0,27.2,,1009.5,
2021-01-29,-0.1,-1.0,1.2,0.5,,239.0,11.1,,1008.2,
2021-01-30,-2.3,-6.7,0.0,15.0,,267.0,11.7,,1013.0,
2021-01-31,1.6,-7.2,6.0,110.0,,242.0,13.5,,1015.4,
2021-02-01,-0.8,-7.5,6.0,0.0,30.0,288.0,6.8,,1024.8,
2021-02-02,-1.3,-7.8,6.6,0.0,10.0,259.0,4.1,,1027.3,
2021-02-03,-1.4,-6.4,5.0,0.0,10.0,296.0,2.8,,1024.5,
2021-02-04,-0.6,-5.3,5.2,9.9,,271.0,4.0,,1021.4,
2021-02-05,0.7,-4.0,5.3,0.0,,4.0,3.7,,1019.6,
2021-02-06,-0.1,-6.9,8.0,0.0,,142.0,2.8,,1021.6,
2021-02-07,0.2,-6.0,8.2,0.0,,42.0,3.2,,1021.8,
2021-02-08,4.4,-4.0,12.4,0.0,,265.0,5.1,,1023.6,
2021-02-09,6.2,1.0,15.1,0.0,,229.0,8.4,,1022.8,
2021-02-10,3.6,-2.9,16.0,1.6,,255.0,7.5,,1020.3,
2021-02-11,3.7,-4.0,13.0,0.0,,318.0,4.0,,1021.4,
2021-02-12,5.5,-4.0,15.0,0.0,,23.0,10.3,,1015.9,
2021-02-13,5.0,0.0,10.6,0.1,,259.0,13.9,,1017.5,
2021-02-14,8.3,-2.0,15.7,0.0,,102.0,13.5,,1017.6,
2021-02-15,12.6,7.7,16.4,0.6,,119.0,20.2,,1011.4,
2021-02-16,7.7,0.0,13.8,9.0,,121.0,23.9,,1002.9,
2021-02-17,-3.4,-5.8,-0.5,3.0,,262.0,18.3,,1004.7,
2021-02-18,-4.9,-7.0,-1.0,1.0,10.0,275.0,12.0,,1013.4,
2021-02-19,-6.4,-9.6,-2.0,0.0,10.0,323.0,5.5,,1020.9,
2021-02-20,-4.2,-8.0,0.0,0.0,,262.0,10.6,,1023.8,
2021-02-21,-7.4,-11.4,2.0,0.0,,175.0,5.9,,1027.9,
2021-02-22,-4.4,-11.1,4.1,0.0,,62.0,4.5,,1029.3,
2021-02-23,0.6,-8.4,9.2,0.0,,315.0,7.3,,1027.4,
2021-02-24,4.9,1.9,10.9,0.0,,276.0,27.6,,1023.8,
2021-02-25,2.1,-4.8,9.0,0.0,,291.0,5.8,,1025.5,
2021-02-26,1.3,-7.6,10.7,0.0,,182.0,5.1,,1024.3,
2021-02-27,1.8,-7.8,11.2,0.0,,14.0,2.4,,1020.1,
2021-02-28,3.8,-7.1,12.1,0.0,,282.0,6.0,,1016.3,
2021-03-01,2.6,-1.0,6.9,0.3,,272.0,17.4,,1019.0,
2021-03-02,1.2,-6.9,9.2,0.0,,345.0,3.4,,1022.2,
2021-03-03,2.7,-8.3,11.7,0.0,,329.0,7.3,,1020.3,
2021-03-04,1.8,-7.6,10.1,0.0,,223.0,7.0,,1019.5,
2021-03-05,2.7,-7.9,13.2,0.0,,247.0,6.5,,1019.8,
2021-03-06,5.2,-8.4,14.1,0.0,,331.0,6.8,,1022.0,
2021-03-07,6.7,3.0,12.1,1.4,,281.0,10.7,,1016.2,
2021-03-08,3.9,-2.0,9.3,1.0,,258.0,14.9,,1012.8,
2021-03-09,2.0,-7.4,10.7,0.0,,321.0,9.8,,1015.8,
2021-03-10,5.9,-6.1,13.1,0.3,,120.0,7.4,,1015.8,
2021-03-11,6.3,4.0,12.2,4.3,,327.0,7.1,,1005.5,
2021-03-12,0.1,-4.0,3.5,4.1,,294.0,29.8,,1010.8,
2021-03-13,0.9,-8.2,9.0,0.0,,149.0,3.5,,1019.0,
2021-03-14,6.1,-3.4,13.9,0.0,,114.0,4.4,,1017.0,
2021-03-15,7.7,4.0,12.7,1.2,,115.0,16.6,,1012.2,
2021-03-16,8.1,3.8,13.8,4.8,,226.0,15.2,,1008.3,
2021-03-17,7.3,-1.3,13.4,6.9,,174.0,21.3,,1006.2,
2021-03-18,4.7,2.0,9.6,4.3,,261.0,15.0,,1009.8,
2021-03-19,4.4,0.4,9.0,0.3,,262.0,14.4,,1015.6,
2021-03-20,7.5,1.2,12.2,0.0,,274.0,10.4,,1017.3,
2021-03-21,7.2,3.6,10.7,1.3,,75.0,5.6,,1012.9,
2021-03-22,9.8,3.5,15.4,1.5,,86.0,14.2,,1010.2,
2021-03-23,9.2,5.4,13.8,0.0,,109.0,19.5,,1004.9,
2021-03-24,5.1,0.0,13.0,12.7,10.0,292.0,13.8,,997.5,
2021-03-25,0.8,-2.3,4.0,14.2,10.0,266.0,12.5,,1006.6,
2021-03-26,1.0,-1.4,5.2,3.6,,283.0,8.8,,1013.9,
2021-03-27,0.7,-2.0,4.8,2.0,,256.0,24.6,,1020.7,
2021-03-28,1.0,-5.6,7.7,0.0,,142.0,7.6,,1028.5,
2021-03-29,3.1,-5.3,11.0,0.0,,179.0,3.9,,1026.6,
2021-03-30,5.8,-4.3,14.0,0.0,,124.0,6.5,,1020.9,
2021-03-31,8.7,-1.8,17.0,0.2,,109.0,11.8,,1016.8,
2021-04-01,8.8,1.2,17.7,5.1,,217.0,14.9,,1011.5,
2021-04-02,7.3,1.0,13.5,5.3,10.0,148.0,10.3,,1013.7,
2021-04-03,7.9,2.8,13.2,1.8,,240.0,12.5,,1016.3,
2021-04-04,10.2,1.3,17.3,0.0,,121.0,9.3,,1019.5,
2021-04-05,10.6,4.1,15.0,0.0,,51.0,11.9,,1018.4,
2021-04-06,12.8,8.0,17.7,0.3,,144.0,13.0,,1017.3,
2021-04-07,16.2,7.2,22.5,0.0,,110.0,18.9,,1015.9,
2021-04-08,17.7,5.9,24.1,0.0,,110.0,14.5,,1013.8,
2021-04-09,15.5,6.0,22.9,1.0,,167.0,18.7,,1008.4,
2021-04-10,9.2,-2.8,20.3,2.0,,253.0,16.2,,1009.2,
2021-04-11,10.2,6.0,15.4,3.1,,107.0,27.6,,1010.7,
2021-04-12,7.1,2.6,12.1,0.0,,87.0,10.1,,1017.5,
2021-04-13,7.2,3.6,12.5,1.0,,242.0,10.6,,1017.8,
2021-04-14,8.9,-0.1,15.5,0.0,,248.0,13.0,,1019.5,
2021-04-15,8.4,0.3,18.0,1.1,,344.0,9.0,,1020.0,
2021-04-16,11.9,-0.7,20.8,0.0,,165.0,7.2,,1020.3,
2021-04-17,16.4,9.8,23.4,0.4,,248.0,9.2,,1021.0,
2021-04-18,13.6,8.2,20.9,0.0,,325.0,8.9,,1023.0,
2021-04-19,15.7,8.3,25.2,0.5,,119.0,6.5,,1020.3,
2021-04-20,18.0,9.5,26.4,0.1,,115.0,16.5,,1014.7,
2021-04-21,21.4,13.2,27.2,0.3,,172.0,17.8,,1013.5,
2021-04-22,15.7,6.8,24.0,1.1,,266.0,15.3,,1017.7,
2021-04-23,13.3,4.3,22.9,0.0,,166.0,6.0,,1022.3,
2021-04-24,15.6,2.6,25.7,0.0,,321.0,3.7,,1018.5,
2021-04-25,17.5,6.0,23.8,0.1,,54.0,16.1,,1014.9,
2021-04-26,19.9,14.0,28.1,0.0,,177.0,20.4,,1008.1,
2021-04-27,16.1,5.9,24.6,0.0,,282.0,11.3,,1013.3,
2021-04-28,18.3,7.2,26.6,0.0,,273.0,10.5,,1017.5,
2021-04-29,16.0,7.8,25.5,0.1,,255.0,14.3,,1020.3,
2021-04-30,12.1,8.9,16.3,9.5,,64.0,8.0,,1020.6,
2021-05-01,15.0,5.3,22.4,0.0,,282.0,18.4,,1018.8,
2021-05-02,17.3,9.1,25.4,0.0,,278.0,19.7,,1017.9,
2021-05-03,18.9,6.4,27.9,0.0,,258.0,8.1,,1015.5,
2021-05-04,15.6,10.9,25.4,8.8,,260.0,9.3,,1014.7,
2021-05-05,15.2,11.7,21.5,0.0,,279.0,9.8,,1013.8,
2021-05-06,16.3,5.8,24.2,0.2,,291.0,11.0,,1013.5,
