date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,9.7,2.8,14.2,0.0,,8.0,3.2,,1021.2,
2021-01-02,10.4,8.6,14.6,0.0,,8.0,5.5,,1023.2,
2021-01-03,10.0,4.0,17.5,0.0,,3.0,4.0,,1024.1,
2021-01-04,8.6,3.0,14.1,0.0,,6.0,4.9,,1022.5,
2021-01-05,9.3,7.0,13.2,0.0,,18.0,6.7,,1023.1,
2021-01-06,8.8,4.0,14.7,0.0,,16.0,4.1,,1024.9,
2021-01-07,7.7,0.7,15.6,0.0,,354.0,2.5,,1024.0,
2021-01-08,8.3,1.4,14.6,0.0,,8.0,4.1,,1023.5,
2021-01-09,7.7,2.9,14.4,0.0,,12.0,4.9,,1023.2,
2021-01-10,7.8,1.9,15.6,0.0,,14.0,2.7,,1024.0,
2021-01-11,8.7,0.0,16.3,0.0,,319.0,3.2,,1025.0,
2021-01-12,9.9,5.7,16.3,0.0,,359.0,2.6,,1023.5,
2021-01-13,10.1,8.0,12.5,0.0,,18.0,3.3,,1013.0,
2021-01-14,7.7,5.0,11.0,15.5,,1.0,5.9,,1005.4,
2021-01-15,6.9,1.3,11.6,9.4,,318.0,4.6,,1011.0,
2021-01-16,7.3,5.5,9.2,0.3,,36.0,3.4,,1011.9,
2021-01-17,6.9,6.0,8.0,18.0,,172.0,9.3,,1005.8,
2021-01-18,5.2,3.0,9.5,17.5,,239.0,12.2,,1010.4,
2021-01-19,1.4,0.0,4.6,9.9,,2.0,6.4,,1013.1,
2021-01-20,0.4,-1.0,3.6,8.4,,351.0,10.4,,1016.0,
2021-01-21,1.1,-3.2,6.6,0.3,,359.0,5.5,,1028.3,
2021-01-22,1.1,-4.4,8.0,0.0,,1.0,0.9,,1030.1,
2021-01-23,1.5,-4.0,7.4,0.0,,13.0,2.8,,1025.8,
2021-01-24,3.2,-1.5,8.5,0.0,,12.0,6.0,,1024.1,
2021-01-25,4.6,-2.0,10.2,0.0,,3.0,5.3,,1023.1,
2021-01-26,5.4,-0.6,10.5,0.0,,9.0,4.2,,1023.2,
2021-01-27,7.6,3.0,11.0,0.0,,47.0,11.4,,1016.6,
2021-01-28,5.9,2.0,10.2,0.5,,326.0,5.6,,1011.6,
2021-01-29,4.2,3.0,7.1,14.5,,234.0,11.6,,1008.8,
2021-01-30,4.2,-2.0,8.2,4.3,,96.0,7.6,,1014.3,
2021-01-31,5.0,3.8,6.1,42.9,,26.0,17.8,,1014.8,
2021-02-01,6.4,4.8,8.0,0.3,,26.0,10.3,,1025.3,
2021-02-02,9.2,6.6,13.5,0.0,,29.0,11.3,,1024.7,
2021-02-03,9.4,4.9,13.6,0.0,,16.0,6.1,,1020.9,
2021-02-04,10.3,6.7,14.1,0.0,,23.0,8.2,,1017.4,
2021-02-05,10.2,7.0,16.0,0.0,,3.0,6.3,,1017.1,
2021-02-06,8.7,0.7,17.6,0.0,,327.0,3.4,,1019.1,
2021-02-07,9.4,0.3,18.8,0.0,,325.0,2.9,,1019.4,
2021-02-08,9.6,2.9,15.7,0.0,,5.0,3.3,,1023.4,
2021-02-09,10.6,8.0,16.4,0.0,,11.0,5.0,,1023.1,
2021-02-10,9.4,6.0,16.3,,,5.0,4.3,,1019.6,
2021-02-11,9.9,4.0,16.4,,,,2.6,,1019.6,
2021-02-12,8.9,2.7,15.0,,,,4.1,,1015.6,
2021-02-13,10.1,5.0,16.4,,,285.0,5.7,,1017.0,
2021-02-14,9.6,1.5,16.0,0.0,,23.0,5.9,,1018.2,
2021-02-15,9.9,6.0,17.2,0.0,,342.0,4.1,,1012.1,
2021-02-16,7.6,4.0,11.4,0.5,,327.0,6.0,,1004.2,
2021-02-17,4.9,2.0,7.3,9.4,,260.0,8.9,,1001.1,
2021-02-18,2.6,0.0,7.0,0.5,,333.0,8.4,,1012.1,
2021-02-19,1.9,-3.2,7.0,0.0,,3.0,2.8,,1020.4,
2021-02-20,2.4,-1.4,8.0,,,354.0,9.0,,1023.1,
2021-02-21,-1.9,-4.4,7.9,,,23.0,4.8,,1026.3,
2021-02-22,3.0,-4.5,11.6,0.0,,,1.3,,1027.2,
2021-02-23,6.6,-4.1,16.5,0.0,,343.0,2.1,,1024.7,
2021-02-24,10.1,3.4,16.2,0.0,,354.0,14.5,,1019.2,
2021-02-25,9.3,1.1,16.0,0.0,,3.0,5.8,,1020.4,
2021-02-26,8.1,0.3,16.1,0.0,,1.0,0.8,,1021.0,
2021-02-27,8.1,0.2,16.2,0.0,,11.0,1.6,,1017.9,
2021-02-28,9.1,0.2,16.6,0.0,,327.0,3.9,,1015.5,
2021-03-01,6.4,2.9,12.1,0.5,,4.0,4.1,,1016.3,
2021-03-02,7.9,-0.2,12.0,0.0,,28.0,2.7,,1020.5,
2021-03-03,10.1,7.0,15.0,0.0,,15.0,9.4,,1017.9,
2021-03-04,10.3,6.0,16.0,1.0,,10.0,10.9,,1014.8,
2021-03-05,11.0,3.5,18.7,0.0,,311.0,9.9,,1017.7,
