date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,5.9,-2.6,10.8,0.0,61.0,,,,,
2021-01-02,5.6,1.5,8.7,0.0,51.0,89.0,4.6,,1028.4,
2021-01-03,3.2,-3.4,7.7,0.0,30.0,94.0,5.2,,1029.0,
2021-01-04,3.4,-5.0,7.8,0.0,30.0,97.0,8.4,,1027.8,
2021-01-05,4.4,-3.2,8.7,0.0,20.0,94.0,8.7,,1026.5,
2021-01-06,5.4,0.7,9.9,0.0,20.0,94.0,6.5,,1027.8,
2021-01-07,5.3,-2.4,9.7,0.0,10.0,92.0,7.4,,1026.8,
2021-01-08,6.4,-1.1,9.6,0.0,10.0,88.0,6.8,,1024.7,
2021-01-09,7.4,-1.1,11.2,0.0,10.0,101.0,7.9,,1023.6,
2021-01-10,7.6,0.0,10.5,0.0,10.0,96.0,7.0,,1023.6,
2021-01-11,11.1,5.0,14.2,0.0,,93.0,7.1,,1022.4,
2021-01-12,11.1,5.0,14.0,0.0,,91.0,7.2,,1021.9,
2021-01-13,13.7,8.3,15.5,0.0,,107.0,15.5,,1011.3,
2021-01-14,5.4,2.2,9.3,0.3,,120.0,9.9,,1004.9,
2021-01-15,2.1,-0.7,5.4,3.6,,139.0,7.5,,1010.0,
2021-01-16,1.7,-1.5,2.6,6.1,41.0,94.0,6.9,,1012.9,
2021-01-17,5.8,2.5,8.4,1.5,,111.0,10.7,,1004.3,
2021-01-18,-1.3,-11.7,1.6,6.1,51.0,12.0,4.7,,1014.3,
2021-01-19,-5.6,-9.5,-2.0,0.0,41.0,44.0,6.5,,1023.5,
2021-01-20,-4.9,-9.6,-2.7,0.0,30.0,3.0,5.0,,1027.3,
2021-01-21,-3.8,-8.7,-1.0,0.5,51.0,98.0,4.7,,1035.5,
2021-01-22,-1.8,-8.0,0.6,0.0,30.0,99.0,7.1,,1035.6,
2021-01-23,-0.4,-9.5,4.2,0.0,30.0,97.0,7.2,,1029.8,
2021-01-24,2.7,-7.1,6.7,0.0,20.0,89.0,8.2,,1025.9,
2021-01-25,3.5,-5.2,7.2,0.0,10.0,91.0,8.7,,1024.5,
2021-01-26,5.6,-0.4,8.9,0.0,,95.0,7.9,,1024.5,
2021-01-27,7.6,1.6,10.4,0.0,,105.0,11.0,,1017.8,
2021-01-28,6.5,-1.0,10.4,0.5,,131.0,12.3,,1010.6,
2021-01-29,-0.3,-5.0,0.5,2.0,10.0,57.0,5.5,,1012.7,
2021-01-30,0.3,-4.5,3.7,12.7,160.0,103.0,7.2,,1015.5,
2021-01-31,4.3,-1.5,7.5,2.0,180.0,111.0,8.1,,1017.6,
2021-02-01,5.1,-1.1,8.0,0.3,89.0,98.0,9.1,,1026.3,
2021-02-02,3.4,-3.2,9.7,0.0,71.0,98.0,7.8,,1027.4,
2021-02-03,5.9,-5.7,5.9,0.0,,93.0,6.8,,1023.3,
2021-02-04,4.9,-3.2,9.7,0.0,71.0,98.0,7.2,,1020.9,
2021-02-05,1.0,-2.4,3.5,4.5,,14.0,5.6,,1021.1,
2021-02-06,5.4,-1.1,8.2,7.1,,92.0,6.1,,1022.8,
2021-02-07,4.7,-3.2,6.5,0.0,71.0,87.0,6.9,,1020.7,
2021-02-08,2.5,-2.5,8.3,0.0,,94.0,7.2,,1021.4,
2021-02-09,9.3,4.8,9.1,0.0,,103.0,8.6,,1022.5,
2021-02-10,7.4,0.3,8.8,0.1,,105.0,8.3,,1020.9,
2021-02-11,1.8,-2.8,8.4,0.0,,100.0,7.6,,1021.3,
2021-02-12,3.5,-1.2,10.0,0.8,,116.0,7.9,,1016.0,
2021-02-13,2.4,-3.3,5.3,2.6,,122.0,6.3,,1019.7,
2021-02-14,8.7,-0.6,8.8,0.0,10.0,107.0,8.4,,1019.3,
2021-02-15,6.6,0.6,14.9,0.0,,123.0,7.1,,1013.7,
2021-02-16,-3.3,-6.8,0.2,2.0,,293.0,5.1,,1012.4,
2021-02-17,-5.7,-7.6,-3.5,6.4,99.0,327.0,8.4,,1015.4,
2021-02-18,-4.2,-10.2,-1.2,0.0,51.0,18.0,4.2,,1021.9,
2021-02-19,-2.8,-10.3,-3.9,2.6,51.0,105.0,6.4,,1026.9,
2021-02-20,-8.8,-15.8,-4.3,0.5,,9.0,3.7,,1032.6,
2021-02-21,-2.7,-17.1,2.4,0.0,,99.0,4.2,,1034.6,
2021-02-22,0.9,-9.8,6.6,0.0,41.0,73.0,3.9,,1032.9,
2021-02-23,3.8,-4.7,8.3,0.0,30.0,357.0,5.5,,1031.1,
2021-02-24,2.9,-1.0,5.4,0.0,10.0,319.0,5.3,,1030.0,
2021-02-25,2.4,-2.8,5.4,0.0,,326.0,3.8,,1032.4,
2021-02-26,4.2,-5.2,9.6,0.0,,25.0,3.7,,1029.6,
2021-02-27,6.2,-5.2,12.0,0.0,,99.0,4.6,,1022.7,
2021-02-28,4.8,-3.3,11.0,0.0,,21.0,6.5,,1019.9,
2021-03-01,1.2,-2.1,2.9,1.5,20.0,299.0,5.3,,1026.1,
2021-03-02,2.8,-4.8,7.4,0.0,,99.0,3.8,,1028.8,
2021-03-03,3.3,-5.2,9.6,0.0,,10.0,6.0,,1026.4,
2021-03-04,4.9,-2.6,9.5,0.0,,133.0,3.1,,1025.2,
2021-03-05,7.9,-5.8,13.0,0.0,,102.0,4.9,,1022.4,
2021-03-06,9.7,-3.0,14.6,0.0,,106.0,8.0,,1022.7,
2021-03-07,2.6,-2.0,5.9,3.3,,299.0,3.7,,1021.3,
2021-03-08,2.4,-4.5,6.4,0.8,10.0,337.0,3.6,,1018.2,
2021-03-09,4.6,-5.9,8.3,0.0,,81.0,6.1,,1020.2,
2021-03-10,8.3,-4.0,12.5,0.0,,105.0,6.5,,1018.9,
2021-03-11,7.2,-0.8,13.7,0.5,,140.0,7.1,,1007.3,
2021-03-12,-2.8,-12.8,-0.6,2.8,,322.0,9.3,,1019.9,
2021-03-13,5.2,-8.0,10.0,0.0,,107.0,6.2,,1022.7,
2021-03-14,10.9,0.5,15.7,0.0,,105.0,6.4,,1017.8,
2021-03-15,8.3,4.3,10.5,0.3,,111.0,8.6,,1013.2,
2021-03-16,10.3,5.2,13.9,0.0,,130.0,10.9,,1007.8,
2021-03-17,10.2,1.8,13.4,3.3,,136.0,11.5,,1006.2,
2021-03-18,5.8,1.8,9.7,4.6,,137.0,7.3,,1010.0,
2021-03-19,-0.1,-4.6,4.7,0.5,,138.0,7.6,,1017.0,
2021-03-20,2.7,-0.6,7.1,6.0,,110.0,6.7,,1018.5,
2021-03-21,4.3,1.6,7.1,6.2,,123.0,7.0,,1013.5,
2021-03-22,6.6,3.1,12.2,7.2,,113.0,9.5,,1009.5,
2021-03-23,7.3,4.7,11.4,5.2,,113.0,11.6,,1003.8,
2021-03-24,1.9,-2.4,4.5,14.4,,312.0,6.2,,1001.4,
2021-03-25,-2.8,-7.1,0.2,5.0,,322.0,4.7,,1011.5,
2021-03-26,0.3,-3.5,1.9,3.8,30.0,35.0,5.1,,1017.7,
2021-03-27,1.1,-2.5,3.3,1.5,,297.0,7.3,,1025.7,
