date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,7.2,4.7,10.7,,,32.0,2.8,18.5,1021.0,
2021-01-02,5.7,1.7,12.8,,,357.0,0.5,9.3,1025.3,
2021-01-03,2.4,0.2,5.5,,,2.0,0.1,11.1,1027.1,
2021-01-04,5.6,0.0,11.8,,,9.0,3.2,20.4,1024.4,
2021-01-05,9.0,8.8,10.1,0.0,,136.0,8.6,20.4,1019.0,
2021-01-06,7.6,2.6,12.9,6.1,,326.0,2.2,14.8,1024.8,
2021-01-07,7.3,1.3,13.1,0.0,,29.0,1.6,16.7,1024.2,
2021-01-08,10.2,5.3,13.1,0.0,,151.0,3.8,20.4,1021.5,
2021-01-09,10.6,9.6,12.5,,,126.0,4.8,20.4,1020.1,
2021-01-10,10.3,8.3,13.0,,,113.0,3.3,18.5,1022.6,
2021-01-11,9.9,6.2,14.4,,,23.0,2.7,20.4,1024.5,
2021-01-12,11.8,8.8,13.2,,,148.0,13.1,35.2,1018.3,
2021-01-13,8.9,5.3,13.5,1.8,,231.0,12.3,44.5,1004.3,
2021-01-14,3.9,2.1,6.3,8.4,,335.0,3.1,14.8,1007.3,
2021-01-15,2.2,0.6,7.1,0.0,,350.0,1.1,13.0,1012.5,
2021-01-16,3.1,-1.4,7.5,6.6,10.0,7.0,1.8,20.4,1009.7,
2021-01-17,1.4,-0.5,6.9,7.6,10.0,303.0,5.1,18.5,1007.3,
2021-01-18,-0.8,-2.1,0.2,0.0,,336.0,2.2,16.7,1017.0,
2021-01-19,-2.0,-6.3,1.9,0.5,,318.0,3.2,20.4,1020.4,
2021-01-20,-1.9,-5.9,2.2,0.0,,312.0,3.2,24.1,1027.5,
2021-01-21,0.6,-5.5,7.9,0.0,,0.0,0.8,11.1,1033.4,
2021-01-22,2.8,-2.1,9.6,,,1.0,0.3,13.0,1031.2,
2021-01-23,4.7,-1.0,10.2,,,20.0,1.9,18.5,1025.4,
2021-01-24,6.3,5.2,7.1,0.3,,142.0,6.9,24.1,1020.0,
2021-01-25,8.4,6.2,9.3,0.3,,154.0,7.7,25.9,1017.6,
2021-01-26,10.1,8.5,11.1,0.5,,165.0,10.8,27.8,1015.8,
2021-01-27,5.9,3.7,10.6,12.7,10.0,181.0,15.3,38.9,1004.1,
2021-01-28,1.7,0.1,5.2,28.7,,250.0,4.9,18.5,1010.5,
2021-01-29,0.1,-1.9,3.5,0.5,,327.0,3.2,16.7,1016.6,
2021-01-30,1.6,-1.6,3.4,0.0,,38.0,4.5,25.9,1012.9,
2021-01-31,6.8,2.3,11.3,12.7,,34.0,3.1,16.7,1014.7,
2021-02-01,8.6,7.0,10.4,0.0,,136.0,10.5,29.6,1018.9,
2021-02-02,10.0,8.4,12.1,0.8,,128.0,9.8,29.6,1019.2,
2021-02-03,9.3,5.2,15.8,0.0,,355.0,0.8,13.0,1018.2,
2021-02-04,8.5,2.2,16.6,,,0.0,0.6,13.0,1018.8,
2021-02-05,8.4,2.0,16.3,,,348.0,0.9,14.8,1021.2,
2021-02-06,8.3,1.0,17.7,,,17.0,1.4,14.8,1021.9,
2021-02-07,9.2,1.2,17.0,,,42.0,3.1,22.2,1021.5,
2021-02-08,10.5,8.4,11.2,,,137.0,9.9,33.3,1019.5,
2021-02-09,11.4,10.2,13.8,,,159.0,12.2,31.5,1018.7,
2021-02-10,10.3,6.1,14.5,,,199.0,5.8,24.1,1018.3,
2021-02-11,8.3,2.7,13.3,,,168.0,9.9,31.5,1018.9,
2021-02-12,9.0,3.9,11.8,,,197.0,9.9,27.8,1015.2,
2021-02-13,8.2,-0.3,12.1,,,334.0,2.0,13.0,1021.1,
2021-02-14,8.6,4.6,10.5,,,147.0,7.8,24.1,1016.3,
2021-02-15,3.9,0.0,8.8,0.3,,299.0,6.1,18.5,1012.0,
2021-02-16,-1.8,-2.7,-0.2,15.2,10.0,21.0,8.0,29.6,1011.9,
2021-02-17,-3.4,-4.8,-1.4,0.0,79.0,30.0,12.8,38.9,1015.9,
2021-02-18,-1.3,-6.9,2.9,,41.0,351.0,1.6,18.5,1022.5,
2021-02-19,0.6,-2.3,4.8,,30.0,357.0,3.5,18.5,1026.9,
2021-02-20,-0.1,-4.9,5.0,,,324.0,2.7,16.7,1028.8,
2021-02-21,2.2,-1.6,7.3,,,7.0,2.4,14.8,1028.1,
2021-02-22,4.9,-1.8,12.0,,,358.0,2.6,14.8,1029.8,
2021-02-23,7.7,0.7,14.7,,,331.0,3.9,18.5,1029.1,
2021-02-24,8.6,0.3,17.9,,,347.0,2.0,16.7,1027.1,
2021-02-25,6.8,2.7,11.2,,,16.0,6.9,25.9,1026.6,
2021-02-26,8.8,2.2,16.1,,,359.0,2.1,16.7,1025.3,
2021-02-27,7.8,0.2,17.3,,,349.0,1.4,13.0,1019.6,
2021-02-28,6.9,0.0,14.5,,,13.0,3.0,18.5,1019.5,
2021-03-01,4.7,0.0,10.8,,,46.0,4.2,24.1,1021.9,
2021-03-02,4.1,-0.1,7.5,,,15.0,4.9,22.2,1022.7,
