date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,9.3,3.0,13.0,,,,7.0,,1017.1,
2021-01-02,6.3,-1.0,17.0,,,,3.9,,1023.6,
2021-01-03,7.0,0.0,18.0,0.0,,324.0,1.8,,1022.2,
2021-01-04,8.3,0.0,19.0,0.0,,14.0,4.0,,1017.3,
2021-01-05,13.3,6.0,20.0,2.8,,260.0,10.2,,1014.7,
2021-01-06,6.3,0.0,16.0,0.1,,29.0,1.9,,1022.3,
2021-01-07,7.9,1.0,18.0,0.0,,62.0,4.6,,1019.0,
2021-01-08,12.0,6.0,22.0,0.3,,233.0,4.8,,1014.5,
2021-01-09,13.7,10.0,18.0,5.3,,345.0,9.5,,1014.1,
2021-01-10,8.8,8.0,10.0,18.7,,29.0,6.0,,1018.6,
2021-01-11,12.0,7.0,20.0,0.0,,37.0,1.4,,1014.9,
2021-01-12,15.0,10.0,25.0,0.6,,301.0,7.3,,1009.8,
2021-01-13,7.7,6.0,10.0,22.1,,297.0,7.1,,1006.8,
2021-01-14,3.7,0.0,6.0,7.3,,312.0,2.8,,1009.2,
2021-01-15,1.0,-2.0,5.0,5.2,,297.0,4.2,,1013.6,
2021-01-16,-0.7,-5.0,4.0,9.5,,62.0,3.4,,1011.6,
2021-01-17,-0.3,-2.0,1.0,25.5,,250.0,7.1,,1012.2,
2021-01-18,-3.8,-11.0,3.0,0.8,,236.0,3.9,,1021.2,
2021-01-19,-6.4,-13.0,3.0,0.0,,344.0,1.1,,1024.9,
2021-01-20,-4.2,-11.0,4.0,0.0,,20.0,1.7,,1027.3,
2021-01-21,3.4,-2.0,9.0,0.0,,166.0,3.1,,1028.0,
2021-01-22,5.6,1.0,12.0,0.1,,324.0,6.4,,1024.5,
2021-01-23,7.0,2.0,15.0,0.0,,304.0,7.0,,1018.7,
2021-01-24,11.6,4.0,17.0,0.3,,259.0,12.0,,1011.9,
2021-01-25,13.4,7.0,17.0,1.0,,187.0,14.0,,1008.3,
2021-01-26,12.7,5.0,18.0,0.1,,201.0,8.9,,1007.6,
2021-01-27,10.0,2.0,18.0,17.3,,224.0,16.5,,1000.5,
2021-01-28,2.7,-1.0,6.0,5.4,,273.0,8.8,,1011.8,
2021-01-29,3.7,-4.0,10.0,0.0,,218.0,7.1,,1012.5,
2021-01-30,8.3,5.0,12.0,12.8,,343.0,12.9,,1002.5,
2021-01-31,8.8,0.0,18.0,0.6,,331.0,7.0,,1009.4,
2021-02-01,16.5,9.0,22.0,0.0,,168.0,17.9,,1008.1,
2021-02-02,14.0,11.0,19.0,0.1,,232.0,10.0,,1014.8,
2021-02-03,11.0,5.0,19.0,4.5,,322.0,3.2,,1017.1,
2021-02-04,9.5,2.0,19.0,0.0,,309.0,6.4,,1016.4,
2021-02-05,10.9,4.0,18.0,0.0,,315.0,4.8,,1020.3,
