date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,3.5,-3.4,11.0,,,40.0,5.4,16.7,1019.9,
2021-01-02,4.4,-1.2,11.1,,,358.0,6.3,14.8,1023.5,
2021-01-03,2.7,-3.4,8.5,,,6.0,5.1,13.0,1023.7,
2021-01-04,2.7,-3.7,10.1,,,189.0,5.4,14.8,1021.2,
2021-01-05,6.4,-0.4,13.0,,,164.0,7.6,20.4,1018.8,
2021-01-06,4.8,-0.3,11.0,0.0,,80.0,6.3,13.0,1023.5,
2021-01-07,3.6,-4.1,12.0,,,358.0,6.5,14.8,1022.0,
2021-01-08,7.0,-0.1,15.4,0.0,,242.0,10.2,22.2,1020.3,
2021-01-09,8.2,-0.9,15.0,,,226.0,11.5,24.1,1019.6,
2021-01-10,9.2,3.2,16.0,0.0,,200.0,9.9,20.4,1021.3,
2021-01-11,6.3,2.6,10.0,,,55.0,4.6,18.5,1023.1,
2021-01-12,11.1,4.5,19.2,,,174.0,16.7,42.6,1017.8,
2021-01-13,8.1,3.0,16.0,,,170.0,25.1,42.6,1004.8,
2021-01-14,1.8,0.0,4.0,,,67.0,7.3,24.1,1004.1,
2021-01-15,0.2,-3.0,6.0,,,53.0,14.2,33.3,1008.7,
2021-01-16,1.6,-2.1,4.0,1.8,,142.0,8.6,29.6,1006.6,
2021-01-17,-0.7,-4.0,5.0,1.0,,17.0,22.7,38.9,1002.5,
2021-01-18,-5.3,-7.8,-3.0,0.0,,19.0,14.0,31.5,1012.7,
2021-01-19,-6.2,-8.0,-3.7,1.0,20.0,4.0,16.8,27.8,1016.0,
2021-01-20,-5.6,-9.0,-2.0,0.0,10.0,343.0,14.1,29.6,1022.2,
2021-01-21,-4.5,-11.5,2.0,0.0,,94.0,5.9,16.7,1028.6,
2021-01-22,-1.1,-8.1,5.0,,,41.0,4.7,14.8,1027.2,
2021-01-23,0.3,-6.2,7.0,,,174.0,4.5,14.8,1022.3,
2021-01-24,2.7,-3.7,10.5,,,196.0,8.8,25.9,1018.6,
2021-01-25,2.4,-3.4,7.0,,,161.0,10.8,33.3,1017.0,
2021-01-26,5.8,0.5,11.0,0.0,,176.0,19.5,37.0,1016.3,
2021-01-27,6.1,3.0,13.0,,,176.0,32.6,59.3,1004.9,
2021-01-28,1.2,-2.0,4.5,,,242.0,15.4,35.2,1006.5,
2021-01-29,-1.1,-4.0,4.0,0.0,,330.0,10.7,24.1,1010.9,
2021-01-30,-0.6,-6.7,4.0,0.0,,191.0,7.2,25.9,1008.3,
2021-01-31,5.1,0.9,10.2,6.4,,186.0,10.0,20.4,1012.0,
2021-02-01,6.0,-0.5,14.3,0.0,,170.0,14.4,37.0,1018.3,
2021-02-02,5.9,0.2,12.0,,,189.0,9.1,24.1,1019.7,
2021-02-03,6.3,0.5,13.0,,,1.0,5.7,14.8,1018.3,
2021-02-04,7.0,-0.5,15.0,,,347.0,5.5,16.7,1017.4,
2021-02-05,7.0,1.6,14.1,,,355.0,9.5,24.1,1020.2,
2021-02-06,5.6,-1.6,15.0,,,15.0,4.7,14.8,1020.1,
2021-02-07,8.7,-1.7,19.0,,,6.0,7.1,18.5,1019.2,
2021-02-08,6.6,2.4,11.7,,,112.0,10.0,29.6,1018.8,
2021-02-09,9.0,2.7,18.0,,,202.0,14.5,31.5,1018.5,
2021-02-10,5.1,-1.1,14.0,,,229.0,10.2,25.9,1017.7,
2021-02-11,7.4,-2.1,18.0,,,132.0,10.6,27.8,1016.8,
2021-02-12,7.8,1.0,14.2,,,211.0,18.6,33.3,1013.8,
2021-02-13,4.9,-4.0,9.0,,,58.0,8.7,31.5,1019.2,
2021-02-14,6.4,-3.9,15.0,,,255.0,11.6,29.6,1014.7,
2021-02-15,0.3,-3.0,7.5,,,20.0,20.4,46.3,1010.5,
2021-02-16,-5.1,-6.0,-3.2,2.5,,351.0,29.8,48.2,1008.1,
2021-02-17,-7.1,-8.2,-5.0,7.6,10.0,345.0,31.1,53.7,1010.2,
2021-02-18,-7.4,-14.4,-3.0,1.3,99.0,144.0,8.7,25.9,1016.8,
2021-02-19,-3.9,-6.7,1.0,0.3,,28.0,10.5,24.1,1022.5,
2021-02-20,-3.8,-9.0,1.0,,,106.0,7.9,16.7,1025.1,
2021-02-21,-6.2,-9.6,2.0,,41.0,24.0,4.8,16.7,1026.9,
2021-02-22,-2.1,-9.5,5.0,,30.0,23.0,5.5,16.7,1028.6,
2021-02-23,1.6,-7.4,10.0,,20.0,14.0,7.4,22.2,1028.9,
2021-02-24,5.1,-3.5,13.1,,,334.0,11.0,29.6,1025.9,
2021-02-25,3.3,0.0,8.0,,,2.0,20.5,37.0,1027.0,
2021-02-26,3.5,-3.3,9.2,,,359.0,11.9,20.4,1025.5,
2021-02-27,4.7,-3.6,12.0,,,54.0,6.7,16.7,1019.6,
2021-02-28,4.0,-3.1,11.2,,,350.0,18.4,42.6,1018.3,
2021-03-01,1.3,-2.1,6.0,,,4.0,20.7,40.8,1021.2,
2021-03-02,1.3,-3.4,6.0,,,11.0,13.0,33.3,1021.1,
2021-03-03,3.9,-0.1,10.0,2.3,,354.0,23.3,35.2,1020.0,
2021-03-04,2.9,-2.0,9.0,0.0,,9.0,12.4,27.8,1020.8,
2021-03-05,3.8,-5.9,14.0,,,97.0,8.7,20.4,1020.8,
2021-03-06,6.6,-2.5,13.1,,,335.0,6.9,20.4,1020.8,
2021-03-07,4.1,-2.6,9.2,,,14.0,15.1,33.3,1018.1,
2021-03-08,3.4,-2.3,9.0,0.0,,7.0,11.3,24.1,1014.9,
2021-03-09,6.2,-2.1,11.2,,,56.0,8.2,18.5,1015.5,
2021-03-10,7.8,-0.7,16.2,,,38.0,6.3,20.4,1012.6,
2021-03-11,6.3,2.0,15.0,,,321.0,16.6,51.8,1005.5,
2021-03-12,0.7,-2.6,5.0,,,355.0,22.2,46.3,1016.7,
2021-03-13,5.3,-4.1,13.1,,,150.0,7.2,14.8,1016.9,
2021-03-14,8.6,2.4,14.0,,,23.0,7.1,16.7,1014.4,
2021-03-15,8.4,6.0,11.0,0.5,,162.0,10.6,25.9,1008.4,
2021-03-16,6.8,5.0,10.2,0.5,,209.0,22.8,53.7,1004.2,
2021-03-17,4.2,1.5,9.0,5.1,,241.0,11.7,37.0,1004.4,
2021-03-18,3.7,-1.2,9.0,4.3,,313.0,11.3,27.8,1010.7,
2021-03-19,6.1,-2.7,13.0,0.0,,203.0,12.6,35.2,1015.5,
2021-03-20,8.2,3.0,14.1,,,188.0,12.9,24.1,1015.9,
2021-03-21,10.4,0.3,20.0,,,211.0,10.3,25.9,1011.7,
2021-03-22,12.9,3.5,21.0,0.3,,219.0,15.8,46.3,1005.1,
2021-03-23,7.7,4.0,13.0,0.5,,251.0,14.4,38.9,999.9,
2021-03-24,-0.2,-1.0,1.1,22.6,10.0,345.0,22.2,50.0,1001.0,
2021-03-25,-1.2,-3.0,0.7,4.6,,354.0,19.4,42.6,1010.2,
2021-03-26,-0.6,-4.0,2.7,1.3,,348.0,23.8,38.9,1018.5,
2021-03-27,1.9,-2.7,5.0,0.0,,7.0,11.4,24.1,1026.0,
2021-03-28,3.5,-2.9,8.2,,,7.0,8.3,20.4,1029.6,
2021-03-29,6.2,-2.4,13.0,,,359.0,8.4,20.4,1028.0,
2021-03-30,3.5,0.5,6.0,,,6.0,17.3,31.5,1023.0,
2021-03-31,5.3,2.5,11.0,0.0,,357.0,19.0,29.6,1016.4,
2021-04-01,4.6,1.0,10.5,2.8,,17.0,9.7,20.4,1013.6,
2021-04-02,6.3,1.0,11.5,11.2,10.0,356.0,10.9,20.4,1015.6,
2021-04-03,8.9,0.3,15.6,0.0,,177.0,8.3,22.2,1017.5,
2021-04-04,10.2,0.1,16.7,,,217.0,16.5,37.0,1018.2,
2021-04-05,13.8,8.4,20.2,,,198.0,16.2,51.8,1014.3,
2021-04-06,13.7,5.6,23.0,,,191.0,14.6,37.0,1013.2,
2021-04-07,15.9,8.0,23.6,,,199.0,17.6,44.5,1010.2,
2021-04-08,11.2,1.9,21.0,,,330.0,12.5,35.2,1011.7,
2021-04-09,1.8,0.7,8.0,0.5,,358.0,27.1,48.2,1014.4,
2021-04-10,0.2,-2.5,3.0,7.9,10.0,357.0,35.7,63.0,1014.4,
2021-04-11,1.5,-1.2,5.0,0.5,20.0,336.0,25.9,44.5,1017.2,
2021-04-12,3.7,-0.3,7.0,0.0,,355.0,15.5,27.8,1019.8,
2021-04-13,6.9,2.6,11.0,,,106.0,6.5,14.8,1019.9,
2021-04-14,11.8,2.7,20.0,,,196.0,10.8,25.9,1018.0,
2021-04-15,14.4,8.8,20.5,,,238.0,14.5,27.8,1017.4,
2021-04-16,15.1,5.4,22.0,,,208.0,11.6,25.9,1016.7,
2021-04-17,17.0,9.6,24.0,,,172.0,12.8,31.5,1018.8,
2021-04-18,18.4,15.0,25.0,0.0,,108.0,13.1,29.6,1020.1,
