date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,-14.1,-20.7,-5.3,,51.0,,3.7,,1025.1,
2021-01-02,-12.1,-18.6,-4.9,0.0,41.0,238.0,3.4,,1027.2,
2021-01-03,-10.2,-14.0,-2.0,0.0,41.0,314.0,4.0,,1027.7,
2021-01-04,-14.6,-21.0,-5.8,0.0,41.0,318.0,3.1,,1029.0,
2021-01-05,-15.9,-20.0,-8.8,0.0,41.0,308.0,3.0,,1028.0,
2021-01-06,-14.8,-23.4,-5.5,0.0,41.0,283.0,3.5,,1027.7,
2021-01-07,-14.2,-20.0,-6.5,0.0,41.0,288.0,3.6,,1027.0,
2021-01-08,-13.4,-21.7,-6.9,0.0,201.0,284.0,4.3,,1025.8,
2021-01-09,-12.2,-18.7,-3.6,0.0,41.0,303.0,3.1,,1024.3,
2021-01-10,-10.5,-18.4,-1.7,0.0,41.0,289.0,4.5,,1022.8,
2021-01-11,-5.4,-13.7,-0.6,0.3,41.0,43.0,11.0,,1021.3,
2021-01-12,2.1,-5.6,7.3,0.3,41.0,235.0,18.5,,1022.0,
2021-01-13,1.3,-3.3,5.2,0.0,41.0,51.0,15.0,,1017.0,
2021-01-14,3.2,1.6,5.8,1.1,30.0,203.0,22.5,,1006.8,
2021-01-15,-0.1,-2.1,3.0,0.5,,211.0,23.2,,1006.3,
2021-01-16,-0.6,-2.4,1.7,4.3,,230.0,14.4,,1011.2,
2021-01-17,-0.4,-3.8,2.2,1.5,109.0,223.0,14.3,,1006.2,
2021-01-18,-2.4,-5.0,0.4,1.8,,215.0,25.3,,1004.7,
2021-01-19,-9.2,-11.0,-6.4,0.5,,109.0,8.9,,1010.8,
2021-01-20,-12.9,-18.0,-7.6,2.0,170.0,60.0,9.3,,1012.6,
2021-01-21,-14.9,-22.8,-6.4,0.0,150.0,249.0,6.2,,1022.4,
2021-01-22,-19.6,-24.0,-11.0,0.0,130.0,299.0,3.7,,1028.6,
2021-01-23,-22.3,-29.0,-14.4,0.0,130.0,255.0,3.9,,1026.8,
2021-01-24,-19.8,-26.8,-12.4,0.0,130.0,295.0,2.9,,1024.5,
