date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,5.1,-0.4,12.8,,,22.0,4.8,18.5,1019.6,
2021-01-02,4.2,-2.0,12.0,,,4.0,2.4,16.7,1024.9,
2021-01-03,2.2,-5.0,10.5,,,7.0,3.8,18.5,1025.3,
2021-01-04,2.9,-3.0,12.0,,,28.0,3.0,18.5,1022.1,
2021-01-05,1.6,-3.9,6.0,,,17.0,3.6,16.7,1020.1,
2021-01-06,2.8,0.0,6.0,,,44.0,5.5,22.2,1025.2,
2021-01-07,4.2,2.5,7.0,,,45.0,5.5,16.7,1023.3,
2021-01-08,4.6,1.0,12.0,,,133.0,4.5,18.5,1020.5,
2021-01-09,5.1,-0.2,13.0,,,41.0,5.8,20.4,1019.3,
2021-01-10,10.0,7.0,13.2,,,208.0,10.7,29.6,1019.1,
2021-01-11,9.5,4.0,14.0,,,190.0,9.9,33.3,1019.6,
2021-01-12,11.7,5.0,17.0,,,169.0,7.2,27.8,1015.5,
2021-01-13,5.5,0.0,12.2,,,212.0,15.5,38.9,1004.5,
2021-01-14,1.7,0.0,4.0,,,220.0,10.5,24.1,1004.4,
2021-01-15,-2.1,-8.0,0.0,,,204.0,10.0,24.1,1010.0,
2021-01-16,-4.9,-10.7,-0.7,,,13.0,8.5,33.3,1010.0,
2021-01-17,-1.4,-3.0,0.0,,,271.0,10.9,31.5,1003.5,
2021-01-18,-6.9,-15.0,-3.2,,,257.0,8.3,24.1,1014.8,
2021-01-19,-13.8,-19.3,-7.0,,,8.0,4.7,14.8,1021.6,
2021-01-20,-10.6,-18.0,-3.0,,,347.0,4.2,16.7,1026.1,
2021-01-21,-4.2,-8.3,0.0,,,0.0,2.1,13.0,1030.5,
2021-01-22,-4.8,-12.0,1.0,,,355.0,3.3,13.0,1029.8,
2021-01-23,-3.3,-8.0,3.2,,,357.0,3.2,14.8,1024.8,
2021-01-24,-1.0,-6.2,4.0,,,4.0,4.8,16.7,1019.3,
2021-01-25,2.1,-2.0,6.0,,,130.0,7.6,25.9,1015.9,
2021-01-26,6.6,2.0,10.0,,,197.0,16.1,29.6,1014.8,
2021-01-27,6.9,3.0,10.0,,,168.0,24.0,48.2,1004.1,
2021-01-28,-0.5,-2.0,2.0,,,259.0,8.6,35.2,1006.9,
2021-01-29,-2.5,-5.0,0.0,,,217.0,8.7,27.8,1012.3,
2021-01-30,-0.3,-2.7,4.0,,,49.0,7.8,24.1,1008.6,
2021-01-31,1.9,0.0,5.0,,,275.0,6.6,20.4,1012.4,
2021-02-01,3.7,-2.0,11.0,,,66.0,7.0,24.1,1018.0,
2021-02-02,6.4,1.0,13.5,,,38.0,6.8,20.4,1019.8,
2021-02-03,5.7,-1.0,14.0,,,20.0,3.4,13.0,1019.2,
2021-02-04,5.7,-1.0,14.0,,,242.0,7.1,22.2,1017.7,
2021-02-05,6.2,0.0,13.0,,,259.0,7.2,25.9,1019.9,
2021-02-06,5.4,-2.0,14.0,,,326.0,8.3,29.6,1019.5,
2021-02-07,5.6,-2.2,15.0,,,334.0,8.4,27.8,1018.2,
2021-02-08,7.6,1.0,14.2,,,202.0,5.6,24.1,1016.7,
2021-02-09,10.7,7.0,15.0,,,205.0,21.4,44.5,1015.8,
2021-02-10,5.9,0.0,11.5,,,207.0,12.5,48.2,1016.3,
2021-02-11,6.2,-2.1,16.0,,,24.0,6.0,22.2,1016.2,
2021-02-12,6.0,-1.0,10.0,,,226.0,18.7,51.8,1012.1,
2021-02-13,-0.9,-6.3,5.0,,,243.0,7.4,22.2,1021.0,
2021-02-14,2.6,-2.0,8.0,,,19.0,8.8,31.5,1016.4,
2021-02-15,-1.1,-5.0,4.0,,,355.0,16.7,31.5,1013.4,
2021-02-16,-4.9,-7.0,-3.0,,,30.0,23.3,42.6,1013.0,
2021-02-17,-8.2,-13.7,-3.0,,,27.0,12.6,29.6,1014.7,
