date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,6.3,-2.8,11.4,0.0,,,,,,
2021-01-02,6.9,-0.2,10.9,0.0,,63.0,6.9,,1024.1,
2021-01-03,7.3,-1.8,12.6,0.0,,17.0,5.3,,1024.0,
2021-01-04,7.2,-2.2,12.6,0.0,,181.0,4.5,,1021.6,
2021-01-05,9.4,-1.8,14.4,0.0,,181.0,9.9,,1020.2,
2021-01-06,8.7,2.3,12.7,0.0,,207.0,6.0,,1023.6,
2021-01-07,8.4,-1.5,13.7,0.0,,205.0,9.6,,1022.4,
2021-01-08,8.8,-0.1,13.1,0.0,,200.0,10.2,,1020.9,
2021-01-09,9.9,0.0,13.7,0.0,,199.0,10.1,,1020.3,
2021-01-10,11.8,2.9,14.4,0.0,,208.0,9.8,,1022.1,
2021-01-11,13.1,3.8,16.7,1.0,,200.0,11.2,,1023.6,
2021-01-12,15.7,6.5,19.9,0.0,,189.0,13.8,,1020.1,
2021-01-13,8.7,2.6,12.9,34.0,,182.0,21.1,,1007.7,
2021-01-14,4.1,1.3,8.0,9.9,,215.0,7.2,,1005.9,
2021-01-15,3.6,-1.3,6.5,0.0,,188.0,11.9,,1011.4,
2021-01-16,4.4,-0.8,8.0,0.3,,200.0,10.8,,1008.9,
2021-01-17,2.9,-3.2,7.4,2.3,,175.0,12.6,,1004.1,
2021-01-18,-3.8,-8.6,-2.0,2.5,41.0,174.0,7.2,,1017.4,
2021-01-19,-6.0,-9.6,-3.5,0.0,,51.0,8.6,,1021.7,
2021-01-20,-5.9,-11.5,-3.6,0.0,,36.0,8.5,,1028.1,
2021-01-21,-1.8,-12.0,3.0,0.0,,172.0,4.4,,1033.8,
2021-01-22,1.4,-7.7,6.5,0.0,,197.0,5.7,,1030.3,
2021-01-23,1.1,-5.8,5.3,0.0,,158.0,4.3,,1024.5,
2021-01-24,4.1,-4.2,8.8,0.0,,207.0,8.6,,1020.5,
2021-01-25,5.5,-3.0,7.7,1.0,,187.0,8.7,,1019.8,
2021-01-26,7.3,-0.7,10.8,0.0,,185.0,9.9,,1019.7,
2021-01-27,9.9,5.9,12.3,0.0,,171.0,19.1,,1009.5,
2021-01-28,3.0,1.2,4.9,0.5,,197.0,13.6,,1010.1,
2021-01-29,-0.2,-1.9,1.4,0.5,10.0,11.0,8.1,,1014.7,
2021-01-30,3.6,-6.9,8.2,0.3,,193.0,12.7,,1013.0,
2021-01-31,4.1,0.5,7.0,23.9,,203.0,9.7,,1014.1,
2021-02-01,8.0,-1.6,12.3,0.0,,185.0,9.1,,1021.1,
2021-02-02,7.7,-0.1,14.1,0.0,,139.0,6.3,,1020.7,
2021-02-03,9.4,2.4,13.0,0.0,,116.0,5.8,,1018.9,
2021-02-04,10.3,1.5,15.4,0.0,,81.0,5.1,,1017.7,
2021-02-05,8.5,1.1,12.3,0.0,,185.0,5.1,,1020.1,
2021-02-06,9.7,-1.4,14.5,0.0,,195.0,8.8,,1020.5,
2021-02-07,13.5,-0.3,18.3,0.0,,200.0,10.2,,1019.2,
2021-02-08,14.1,3.6,16.9,0.0,,207.0,11.8,,1019.4,
2021-02-09,13.4,6.2,17.0,0.0,,189.0,12.4,,1019.3,
