date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,2.4,-3.0,11.6,0.0,,140.0,8.8,11.1,1021.2,
2021-01-02,2.1,-2.0,11.8,0.0,,88.0,4.7,9.3,1025.0,
2021-01-03,1.3,-4.0,11.6,0.0,,86.0,7.3,9.3,1025.0,
2021-01-04,0.3,-4.5,10.2,0.0,,73.0,7.3,9.3,1023.0,
2021-01-05,2.2,-4.0,11.4,0.0,,102.0,9.4,13.0,1022.1,
2021-01-06,1.6,-1.0,10.0,0.5,,72.0,6.0,9.3,1025.0,
2021-01-07,1.7,-3.3,12.6,0.0,,98.0,7.5,9.3,1023.6,
2021-01-08,1.9,-3.0,10.5,0.0,,93.0,6.5,9.3,1022.3,
2021-01-09,2.7,-2.2,11.9,0.0,,138.0,8.4,11.1,1021.7,
2021-01-10,4.6,0.0,9.7,0.0,,85.0,6.9,11.1,1022.2,
2021-01-11,8.4,3.8,15.3,0.5,,244.0,8.4,13.0,1022.9,
2021-01-12,9.9,6.0,18.6,0.3,,224.0,10.9,11.1,1020.9,
2021-01-13,4.4,-1.0,10.0,0.0,,152.0,18.4,25.9,1009.1,
2021-01-14,-0.9,-2.0,5.9,39.9,130.0,28.0,3.4,16.7,1002.6,
2021-01-15,-5.1,-11.0,2.1,4.8,99.0,255.0,10.1,14.8,1007.7,
2021-01-16,-1.1,-4.0,3.3,6.1,191.0,82.0,7.0,11.1,1007.8,
2021-01-17,-1.9,-6.0,7.0,4.6,99.0,211.0,17.0,14.8,1000.9,
2021-01-18,-9.5,-12.0,-1.3,1.8,79.0,257.0,8.1,16.7,1008.8,
2021-01-19,-15.6,-20.0,-4.7,0.0,71.0,68.0,3.4,11.1,1012.9,
2021-01-20,-14.1,-22.0,-4.8,0.0,61.0,336.0,3.5,13.0,1017.2,
2021-01-21,-10.5,-14.1,-4.9,0.0,61.0,94.0,5.7,9.3,1026.0,
2021-01-22,-9.8,-13.0,-0.8,,61.0,88.0,9.5,11.1,1026.8,
2021-01-23,-10.1,-14.0,-1.6,,61.0,86.0,10.0,9.3,1023.0,
2021-01-24,-6.9,-11.0,2.2,,51.0,79.0,11.6,11.1,1019.8,
2021-01-25,-3.9,-10.0,4.8,,51.0,106.0,14.9,13.0,1019.0,
2021-01-26,-0.6,-3.0,7.7,,41.0,139.0,14.4,13.0,1019.4,
2021-01-27,0.7,-2.0,6.5,0.0,41.0,124.0,19.0,24.1,1011.3,
2021-01-28,-2.3,-4.0,4.5,0.3,30.0,199.0,20.9,22.2,1006.5,
2021-01-29,-6.8,-12.0,1.1,2.0,61.0,309.0,4.7,11.1,1008.2,
2021-01-30,-7.8,-17.0,-1.9,1.0,61.0,111.0,9.3,14.8,1009.5,
2021-01-31,-2.1,-5.0,3.8,14.7,180.0,83.0,13.1,16.7,1012.5,
2021-02-01,-2.4,-6.0,8.3,0.0,180.0,126.0,11.6,16.7,1021.4,
2021-02-02,-1.9,-6.0,7.9,0.0,140.0,86.0,13.5,13.0,1023.5,
2021-02-03,-1.6,-5.0,7.3,0.0,89.0,64.0,8.5,9.3,1021.2,
2021-02-04,0.5,-2.0,9.4,0.0,61.0,72.0,8.6,11.1,1018.9,
2021-02-05,0.3,-4.0,9.5,0.0,51.0,262.0,7.1,14.8,1019.4,
2021-02-06,-1.9,-7.0,10.1,0.0,41.0,92.0,4.8,13.0,1020.1,
2021-02-07,0.1,-5.0,10.0,0.0,30.0,85.0,6.2,11.1,1019.8,
2021-02-08,2.6,-1.3,12.4,0.0,30.0,125.0,8.4,11.1,1020.8,
2021-02-09,4.2,2.0,15.3,0.0,,193.0,18.9,20.4,1020.5,
2021-02-10,2.2,-2.0,13.0,,,180.0,12.3,18.5,1018.7,
2021-02-11,4.1,-5.0,14.4,,,134.0,7.0,14.8,1019.3,
2021-02-12,5.8,0.0,13.1,,,204.0,15.4,18.5,1014.0,
2021-02-13,-1.1,-3.0,7.3,,,271.0,8.9,18.5,1017.8,
2021-02-14,2.8,-4.0,15.1,0.0,,144.0,8.8,14.8,1016.0,
2021-02-15,3.7,1.0,14.1,0.0,,189.0,14.5,20.4,1010.9,
2021-02-16,-8.3,-11.0,-2.2,0.0,,24.0,11.6,22.2,1004.5,
2021-02-17,-12.2,-14.0,-3.7,13.7,150.0,15.0,18.3,22.2,1005.0,
2021-02-18,-14.4,-17.0,-4.7,0.0,140.0,267.0,6.0,13.0,1012.4,
2021-02-19,-11.4,-14.1,-4.6,1.3,119.0,109.0,6.8,11.1,1018.4,
2021-02-20,-12.2,-20.0,-4.3,,,,3.2,11.1,1023.1,
2021-02-21,-13.8,-18.4,-4.1,0.0,,,2.2,9.3,1026.1,
2021-02-22,-10.5,-18.0,-1.3,0.0,89.0,155.0,3.7,7.4,1026.9,
2021-02-23,-5.3,-13.6,3.7,0.0,89.0,140.0,3.6,7.4,1027.3,
2021-02-24,-4.1,-10.0,6.2,0.0,71.0,28.0,6.7,13.0,1025.2,
2021-02-25,-4.0,-7.0,5.8,0.0,41.0,346.0,11.4,14.8,1026.0,
2021-02-26,-3.1,-7.0,7.3,0.0,10.0,328.0,5.5,11.1,1024.3,
2021-02-27,-3.5,-11.0,9.0,0.0,10.0,117.0,4.3,9.3,1019.6,
2021-02-28,-2.1,-7.0,9.0,3.0,,91.0,7.4,11.1,1016.5,
2021-03-01,-5.5,-7.0,3.1,6.4,71.0,0.0,8.2,14.8,1019.3,
2021-03-02,-5.6,-12.0,6.2,0.0,,90.0,5.0,13.0,1020.9,
2021-03-03,-3.1,-10.0,9.9,0.0,,30.0,8.1,14.8,1020.0,
2021-03-04,-2.4,-9.0,7.9,0.0,,38.0,6.5,13.0,1019.0,
2021-03-05,-0.3,-9.0,12.4,0.0,,257.0,7.5,13.0,1019.8,
2021-03-06,1.9,-5.0,14.1,0.0,,160.0,8.8,13.0,1020.8,
2021-03-07,-2.1,-5.0,7.4,0.3,,348.0,6.8,18.5,1016.7,
2021-03-08,-3.1,-8.0,6.8,0.3,,291.0,5.0,16.7,1013.1,
2021-03-09,-1.4,-8.0,10.2,0.0,,248.0,6.3,16.7,1015.2,
2021-03-10,2.1,-7.0,13.5,0.0,,137.0,6.8,13.0,1014.5,
2021-03-11,0.6,-3.0,10.9,1.0,,347.0,9.7,14.8,1005.1,
2021-03-12,-7.2,-10.0,-0.1,0.0,,345.0,18.5,27.8,1012.7,
2021-03-13,-0.6,-10.0,11.7,0.0,,107.0,4.7,11.1,1017.3,
2021-03-14,4.1,-1.0,13.6,0.0,,,5.1,13.0,1016.0,
2021-03-15,1.9,1.0,6.0,1.8,,157.0,9.9,20.4,1010.8,
2021-03-16,0.9,0.0,11.6,3.0,,192.0,17.2,27.8,1006.1,
2021-03-17,-1.3,-5.0,5.8,13.2,,204.0,10.2,22.2,1004.8,
2021-03-18,-2.3,-6.0,5.4,16.0,51.0,246.0,7.7,18.5,1008.9,
2021-03-19,-1.2,-6.0,6.7,2.0,10.0,229.0,9.8,20.4,1014.9,
2021-03-20,1.8,-1.0,8.2,0.0,,241.0,6.6,11.1,1016.6,
2021-03-21,3.5,1.0,10.9,0.8,,250.0,8.8,18.5,1012.4,
2021-03-22,5.6,1.0,13.3,0.5,,162.0,10.3,18.5,1008.2,
