date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,12.8,9.2,17.1,4.1,,206.0,10.0,,1015.8,
2021-01-02,10.3,6.6,13.1,0.0,,337.0,5.5,,1022.9,
2021-01-03,10.8,7.2,12.5,0.0,,331.0,5.0,,1021.8,
2021-01-04,11.5,7.7,11.3,0.0,,351.0,10.2,,1019.7,
2021-01-05,12.4,4.6,17.1,4.8,,90.0,8.3,,1015.1,
2021-01-06,9.8,6.2,14.0,0.0,,254.0,7.6,,1021.1,
2021-01-07,13.6,8.5,17.5,0.0,,220.0,10.4,,1017.8,
2021-01-08,14.1,11.1,17.5,0.0,,171.0,7.0,,1013.9,
2021-01-09,10.2,6.5,16.1,0.0,,357.0,7.1,,1014.4,
2021-01-10,9.1,7.1,10.6,27.9,,45.0,21.6,,1019.3,
2021-01-11,12.4,9.2,15.6,5.6,,8.0,5.8,,1014.9,
2021-01-12,11.5,8.3,17.3,4.8,,289.0,10.8,,1009.8,
2021-01-13,5.8,4.1,7.5,24.6,,315.0,8.0,,1007.7,
2021-01-14,4.4,2.4,6.7,0.0,,280.0,7.0,,1010.5,
2021-01-15,3.4,1.0,6.1,0.8,,314.0,7.3,,1014.5,
2021-01-16,2.1,-0.2,4.0,0.0,,354.0,12.3,,1013.1,
2021-01-17,-1.4,-3.1,0.8,0.5,,331.0,10.8,,1015.7,
2021-01-18,-2.0,-5.6,1.9,0.0,,300.0,6.9,,1022.4,
2021-01-19,-1.4,-4.7,1.7,0.0,,294.0,7.4,,1025.5,
2021-01-20,3.7,-2.7,7.8,0.0,,242.0,11.5,,1027.0,
2021-01-21,7.6,3.0,9.9,0.0,,191.0,15.0,,1027.0,
2021-01-22,11.1,6.5,15.6,0.0,,197.0,15.7,,1023.0,
2021-01-23,11.8,10.8,14.4,0.0,,183.0,19.0,,1017.4,
2021-01-24,12.7,10.2,16.8,5.3,,188.0,21.3,,1010.3,
2021-01-25,12.5,10.5,16.0,0.8,,188.0,18.7,,1006.1,
2021-01-26,11.6,10.7,12.1,1.3,,188.0,10.9,,1006.4,
2021-01-27,1.1,-0.3,10.9,27.2,,309.0,11.3,,1003.3,
2021-01-28,1.6,-0.6,4.1,6.6,,289.0,7.4,,1013.1,
2021-01-29,7.5,-0.7,11.7,0.0,,218.0,10.2,,1011.8,
2021-01-30,8.6,6.9,10.6,1.0,,204.0,13.6,,1002.2,
2021-01-31,9.1,3.3,12.4,12.2,,264.0,10.5,,1008.7,
2021-02-01,13.5,8.9,16.0,0.0,,182.0,16.9,,1006.5,
2021-02-02,11.7,9.7,12.9,29.0,,190.0,7.6,,1012.8,
2021-02-03,10.7,6.9,12.4,0.0,,324.0,3.6,,1017.3,
2021-02-04,14.1,7.4,18.6,0.0,,229.0,10.8,,1015.4,
2021-02-05,9.6,8.5,10.6,0.0,,250.0,9.6,,1013.1,
2021-02-06,10.9,6.1,14.2,0.0,,14.0,5.3,,1016.9,
2021-02-07,11.2,8.3,12.7,0.0,,291.0,3.6,,1015.0,
2021-02-08,16.7,10.1,20.1,0.5,,198.0,15.9,,1008.3,
2021-02-09,15.2,12.8,19.0,0.0,,198.0,17.0,,1010.7,
2021-02-10,15.3,11.7,18.4,5.8,,209.0,14.2,,1012.1,
2021-02-11,13.6,10.9,17.8,,,196.0,14.9,,1009.5,
2021-02-12,4.2,0.5,12.0,,,299.0,11.4,,1017.6,
2021-02-13,0.6,-2.6,3.3,,,5.0,12.8,,1027.8,
2021-02-14,-1.3,-2.3,-0.5,2.8,41.0,354.0,13.9,,1025.6,
2021-02-15,0.3,-1.7,2.9,2.0,119.0,334.0,13.6,,1027.0,
2021-02-16,-0.9,-2.6,2.0,0.0,61.0,345.0,17.2,,1025.6,
2021-02-17,-1.7,-6.0,2.2,0.0,41.0,299.0,12.2,,1024.1,
2021-02-18,4.6,-1.3,7.4,0.0,,268.0,5.4,,1020.5,
2021-02-19,3.8,3.1,5.0,0.3,,19.0,10.2,,1029.7,
2021-02-20,4.6,1.1,6.5,,,81.0,10.1,,1029.5,
2021-02-21,4.1,2.1,8.9,,,13.0,11.2,,1032.1,
2021-02-22,4.7,1.0,8.1,0.0,,267.0,6.7,,1032.3,
2021-02-23,6.7,2.3,10.6,0.0,,277.0,4.5,,1031.7,
2021-02-24,6.1,2.7,8.6,0.0,,349.0,10.0,,1034.1,
2021-02-25,7.5,5.7,10.2,0.0,,23.0,10.0,,1035.1,
2021-02-26,7.4,3.4,10.7,0.0,,294.0,5.2,,1029.6,
2021-02-27,8.4,4.4,10.9,0.0,,337.0,5.1,,1021.2,
2021-02-28,7.8,4.6,10.9,0.0,,17.0,13.8,,1027.9,
2021-03-01,6.2,2.3,9.5,0.0,,316.0,8.8,,1028.4,
2021-03-02,6.1,4.6,9.6,0.0,,351.0,12.2,,1031.4,
2021-03-03,6.3,1.4,13.1,0.0,,325.0,9.3,,1030.5,
2021-03-04,5.7,1.9,9.0,0.0,,66.0,7.0,,1015.0,
2021-03-05,9.7,2.7,17.2,0.0,,278.0,6.8,,1013.2,
2021-03-06,8.6,5.3,12.1,10.9,,13.0,8.7,,1021.1,
2021-03-07,5.3,2.3,7.8,2.0,,36.0,11.1,,1027.6,
2021-03-08,5.4,0.2,9.5,0.0,,254.0,10.6,,1019.5,
2021-03-09,8.2,4.2,11.5,0.0,,15.0,6.8,,1018.5,
2021-03-10,8.3,4.8,10.4,0.0,,73.0,9.8,,1014.6,
2021-03-11,5.8,3.9,8.5,1.3,,15.0,16.3,,1016.4,
2021-03-12,4.7,-0.3,8.3,0.3,,292.0,9.0,,1023.0,
