date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,,,,,,,,,,
2021-01-02,,,,,,,,,,
2021-01-03,11.3,6.9,16.8,0.0,,140.0,6.9,,1021.8,
2021-01-04,12.2,8.1,18.9,0.0,,136.0,7.6,,1017.4,
2021-01-05,14.4,9.9,19.1,0.2,,206.0,11.4,,1014.2,
2021-01-06,11.0,6.0,15.9,0.0,,171.0,6.7,,1021.8,
2021-01-07,13.3,9.0,19.2,0.0,,193.0,10.1,,1018.8,
2021-01-08,14.7,11.1,21.7,0.2,,139.0,8.7,,1014.4,
2021-01-09,13.5,10.3,20.7,4.4,,48.0,9.6,,1014.0,
2021-01-10,9.9,9.3,10.5,15.8,,82.0,8.6,,1018.1,
2021-01-11,13.3,9.3,16.7,0.0,,100.0,6.5,,1014.4,
2021-01-12,15.7,11.1,24.8,1.1,,219.0,8.1,,1009.6,
2021-01-13,7.9,5.9,11.1,19.7,,4.0,10.5,,1006.9,
2021-01-14,4.8,2.6,6.5,2.7,,11.0,8.7,,1009.7,
2021-01-15,3.6,1.2,6.1,13.7,,220.0,8.9,,1013.5,
2021-01-16,2.0,-0.6,5.4,6.8,,117.0,6.5,,1011.7,
2021-01-17,1.3,-0.7,3.2,13.6,,3.0,15.8,,1012.9,
2021-01-18,-1.0,-4.8,2.3,1.8,,173.0,5.3,,1021.2,
2021-01-19,-1.4,-5.4,3.6,0.0,,141.0,5.7,,1024.8,
2021-01-20,1.7,-2.5,5.6,0.0,,182.0,10.3,,1027.4,
2021-01-21,6.6,2.8,11.0,0.0,,181.0,14.3,,1027.8,
2021-01-22,10.4,6.8,15.0,0.0,,180.0,13.9,,1024.2,
2021-01-23,11.8,7.9,16.8,0.0,,169.0,11.6,,1018.5,
2021-01-24,12.7,9.5,17.7,0.6,,181.0,11.9,,1012.0,
2021-01-25,13.1,9.8,17.6,0.7,,177.0,11.7,,1008.0,
2021-01-26,13.0,9.4,17.5,0.5,,158.0,7.6,,1007.6,
2021-01-27,7.7,2.0,15.5,18.9,,298.0,16.7,,1001.0,
2021-01-28,3.2,1.5,5.8,5.4,,267.0,9.9,,1012.0,
2021-01-29,5.6,1.0,10.3,0.0,,196.0,10.3,,1012.9,
2021-01-30,8.6,6.3,10.5,9.5,,186.0,13.8,,1002.7,
2021-01-31,10.5,6.0,16.6,0.2,,191.0,8.9,,1009.3,
2021-02-01,15.6,10.9,21.2,0.0,,161.0,12.0,,1007.6,
2021-02-02,13.1,9.9,16.4,2.1,,173.0,7.6,,1014.0,
2021-02-03,11.6,9.3,14.5,0.8,,51.0,4.1,,1017.3,
2021-02-04,10.9,5.0,15.6,0.0,,131.0,5.4,,1016.6,
2021-02-05,11.1,8.0,15.2,0.0,,129.0,4.5,,1020.3,
2021-02-06,10.0,7.9,12.7,0.0,,139.0,6.7,,1017.2,
2021-02-07,11.0,6.4,14.6,0.0,,123.0,5.7,,1015.0,
2021-02-08,15.4,10.7,24.8,0.0,,137.0,7.7,,1009.0,
2021-02-09,17.3,12.0,21.7,0.0,,227.0,14.6,,1011.4,
2021-02-10,14.0,10.7,19.3,1.3,,205.0,11.7,,1013.0,
2021-02-11,14.1,10.2,19.9,0.0,,165.0,13.2,,1010.3,
2021-02-12,5.7,2.4,13.3,10.6,,337.0,11.8,,1016.8,
2021-02-13,2.0,0.2,3.5,0.6,,42.0,12.5,,1026.9,
2021-02-14,1.1,-0.3,2.4,18.2,,71.0,17.9,,1022.8,
2021-02-15,2.3,1.4,3.6,8.6,,46.0,17.9,,1023.8,
2021-02-16,1.4,0.0,2.8,6.6,,37.0,22.5,,1022.4,
2021-02-17,1.6,-0.6,4.4,1.3,,38.0,12.2,,1021.6,
2021-02-18,2.0,-1.1,4.4,4.7,,196.0,8.0,,1020.4,
2021-02-19,3.6,1.7,6.0,1.4,,70.0,8.4,,1028.9,
2021-02-20,2.7,-0.5,6.2,0.0,,113.0,9.2,,1029.5,
2021-02-21,4.3,0.2,9.0,0.0,,91.0,9.9,,1030.5,
2021-02-22,4.8,-1.0,10.2,0.0,,113.0,5.2,,1031.3,
2021-02-23,6.1,0.0,10.9,0.0,,150.0,5.2,,1031.1,
2021-02-24,6.4,1.0,8.4,0.4,,70.0,4.8,,1032.7,
2021-02-25,7.9,5.4,11.5,0.0,,65.0,10.3,,1033.7,
2021-02-26,6.9,1.0,11.5,0.0,,81.0,7.0,,1028.8,
2021-02-27,7.5,4.3,11.2,0.0,,101.0,5.3,,1020.8,
2021-02-28,7.8,4.7,11.5,0.9,,25.0,9.9,,1026.3,
2021-03-01,6.1,1.0,10.5,2.2,,68.0,7.5,,1027.6,
2021-03-02,6.3,5.0,7.9,4.6,,32.0,7.3,,1029.4,
2021-03-03,6.6,1.0,10.1,0.0,,7.0,6.9,,1029.5,
2021-03-04,6.1,0.0,9.2,0.0,,16.0,6.2,,1025.0,
2021-03-05,10.0,0.0,17.4,0.0,,168.0,7.0,,1018.1,
2021-03-06,9.6,5.7,14.0,6.3,,97.0,9.3,,1020.9,
2021-03-07,5.9,3.5,6.9,3.7,,64.0,12.6,,1026.2,
2021-03-08,4.7,-1.0,9.2,0.0,,120.0,6.3,,1019.5,
2021-03-09,7.7,2.0,13.0,0.0,,87.0,8.1,,1018.2,
2021-03-10,8.2,2.7,12.9,0.3,,101.0,8.0,,1013.4,
2021-03-11,7.1,4.5,8.9,21.6,,31.0,14.9,,1013.9,
2021-03-12,6.0,3.2,8.3,0.0,,5.0,7.8,,1022.1,
2021-03-13,7.5,3.7,11.6,0.0,,136.0,6.2,,1018.1,
2021-03-14,9.5,5.8,12.9,0.0,,144.0,5.4,,1014.5,
2021-03-15,11.8,6.9,20.3,0.1,,120.0,6.6,,1004.7,
2021-03-16,10.8,8.5,13.6,5.7,,218.0,12.8,,1000.3,
2021-03-17,8.2,6.6,10.5,5.8,,270.0,16.0,,1003.6,
2021-03-18,7.1,5.7,9.6,5.9,,275.0,10.0,,1011.6,
2021-03-19,7.7,4.0,11.0,6.3,,129.0,5.1,,1014.5,
2021-03-20,8.4,6.7,11.2,6.7,,88.0,10.0,,1017.5,
2021-03-21,7.2,6.5,8.0,16.3,,85.0,16.3,,1013.2,
2021-03-22,8.8,6.6,13.0,4.7,,49.0,10.5,,1001.8,
2021-03-23,6.8,4.4,8.0,19.8,,32.0,14.6,,1007.5,
2021-03-24,4.1,2.2,5.4,7.0,,18.0,11.5,,1011.4,
2021-03-25,3.4,0.9,5.7,5.7,,330.0,8.8,,1018.3,
2021-03-26,5.4,2.1,8.7,1.8,,255.0,10.3,,1024.0,
2021-03-27,8.1,4.6,11.5,0.0,,188.0,6.1,,1028.3,
2021-03-28,9.0,4.0,13.3,0.0,,97.0,6.4,,1029.1,
2021-03-29,9.4,5.7,12.9,0.2,,80.0,7.8,,1029.6,
