date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,6.9,2.1,12.7,0.0,,309.0,2.6,,,
2021-01-02,6.4,1.7,11.6,0.5,,104.0,1.6,,1024.1,
2021-01-03,3.8,0.6,9.3,0.0,,123.0,1.1,,1024.4,
2021-01-04,3.9,-1.1,9.5,0.0,,96.0,1.4,,1020.5,
2021-01-05,6.9,4.8,8.8,7.9,,101.0,3.4,,1018.2,
2021-01-06,3.2,0.0,8.4,0.0,,12.0,1.3,,1023.6,
2021-01-07,5.3,-1.1,12.4,0.0,,344.0,1.6,,1021.8,
2021-01-08,9.2,5.5,13.7,0.0,,358.0,2.1,,1019.3,
2021-01-09,9.3,4.6,12.8,0.8,,351.0,2.2,,1018.4,
2021-01-10,11.5,7.0,16.6,0.0,,342.0,3.3,,1019.9,
2021-01-11,14.3,11.9,18.1,0.8,,168.0,4.7,,1020.4,
2021-01-12,12.4,7.1,17.1,0.0,,137.0,6.5,,1014.8,
2021-01-13,5.7,1.7,13.5,13.5,,257.0,7.4,,1005.1,
2021-01-14,2.0,0.1,5.1,5.1,,326.0,2.6,,1006.6,
2021-01-15,-0.6,-2.3,0.8,0.5,,338.0,3.1,,1011.1,
2021-01-16,1.3,-2.5,5.1,2.0,,133.0,3.0,,1008.0,
2021-01-17,-3.2,-5.3,-1.4,5.6,20.0,350.0,1.5,,1009.1,
2021-01-18,-5.6,-6.8,-3.4,1.5,20.0,356.0,1.4,,1017.3,
2021-01-19,-6.9,-11.0,-2.9,0.3,10.0,15.0,2.8,,1021.1,
2021-01-20,-6.2,-11.6,-1.4,0.0,10.0,1.0,1.8,,1027.2,
2021-01-21,-2.3,-7.6,4.5,0.0,,79.0,1.5,,1031.2,
2021-01-22,1.1,-3.8,7.6,0.0,,12.0,0.9,,1028.8,
2021-01-23,3.7,-1.7,9.7,0.0,,99.0,1.7,,1022.9,
2021-01-24,6.6,3.7,10.9,0.0,,143.0,4.8,,1018.2,
2021-01-25,7.9,4.9,10.2,0.0,,152.0,8.8,,1014.6,
2021-01-26,9.4,6.5,12.7,0.3,,146.0,8.6,,1013.2,
2021-01-27,4.4,0.1,9.7,0.0,,167.0,10.7,,1002.5,
2021-01-28,-0.9,-2.5,1.7,11.2,10.0,323.0,2.8,,1009.4,
2021-01-29,-2.9,-7.1,0.6,0.8,10.0,301.0,2.4,,1015.1,
2021-01-30,2.1,-2.7,7.7,0.0,,86.0,4.5,,1008.5,
