date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,12.9,11.0,17.5,,,350.0,9.4,18.5,1020.0,
2021-01-02,13.4,9.0,21.3,0.5,,333.0,10.0,22.2,1021.9,
2021-01-03,12.6,8.4,19.4,0.0,,348.0,12.0,22.2,1021.9,
2021-01-04,12.8,7.8,19.3,,,358.0,11.3,25.9,1020.1,
2021-01-05,12.6,10.7,13.4,8.4,10.0,349.0,9.7,29.6,1019.4,
2021-01-06,14.0,10.9,19.0,51.3,,345.0,9.2,22.2,1023.2,
2021-01-07,13.6,9.3,19.3,0.0,,355.0,8.3,18.5,1022.5,
2021-01-08,13.8,10.3,18.1,0.0,,1.0,6.4,16.7,1021.4,
2021-01-09,14.1,11.0,18.3,,,350.0,8.3,14.8,1020.6,
2021-01-10,15.0,12.7,19.5,,,1.0,7.3,16.7,1022.6,
2021-01-11,14.1,11.3,17.1,,,351.0,4.6,16.7,1024.6,
2021-01-12,15.2,11.2,18.0,,,44.0,7.0,25.9,1020.3,
2021-01-13,16.5,11.0,20.2,7.1,10.0,90.0,26.7,46.3,1004.8,
2021-01-14,12.2,9.6,17.0,0.3,,10.0,13.4,29.6,1004.8,
2021-01-15,10.0,4.3,16.6,0.0,,346.0,12.2,27.8,1010.0,
2021-01-16,11.9,7.6,16.0,,,16.0,14.5,27.8,1006.2,
2021-01-17,10.2,7.0,15.0,,,339.0,23.6,44.5,1004.3,
2021-01-18,6.5,3.0,9.1,,,351.0,17.7,42.6,1014.6,
2021-01-19,7.1,3.0,12.0,0.0,,340.0,22.3,37.0,1015.4,
2021-01-20,6.6,4.0,11.7,,,326.0,32.2,50.0,1022.6,
2021-01-21,7.6,1.8,14.1,0.0,,,11.4,29.6,1030.0,
2021-01-22,8.8,3.6,15.0,,,338.0,11.7,24.1,1029.0,
2021-01-23,10.4,4.3,15.5,,,12.0,10.0,22.2,1023.7,
2021-01-24,10.3,9.0,11.8,8.9,10.0,23.0,9.7,24.1,1020.9,
2021-01-25,11.6,9.4,17.0,19.3,20.0,54.0,12.1,40.8,1018.8,
2021-01-26,13.8,9.3,17.0,0.3,,254.0,16.1,38.9,1017.7,
2021-01-27,12.9,10.0,17.0,78.2,51.0,152.0,34.5,59.3,1005.6,
2021-01-28,8.4,2.9,13.9,14.2,,8.0,12.1,29.6,1009.8,
2021-01-29,8.1,5.0,13.3,0.0,,335.0,23.4,50.0,1013.4,
2021-01-30,6.5,2.5,10.0,,,337.0,14.6,31.5,1010.9,
2021-01-31,11.7,5.6,19.0,,,331.0,13.9,29.6,1012.4,
2021-02-01,12.4,6.4,16.2,,,10.0,15.1,33.3,1019.9,
2021-02-02,15.4,12.0,19.0,0.3,,205.0,14.1,38.9,1019.2,
2021-02-03,14.6,10.7,21.6,,,325.0,9.8,20.4,1016.1,
2021-02-04,14.2,10.0,23.4,,,339.0,10.9,25.9,1015.3,
2021-02-05,15.8,9.0,24.0,,,340.0,12.2,25.9,1017.4,
2021-02-06,13.3,7.8,21.0,,,330.0,7.8,18.5,1019.9,
2021-02-07,12.8,6.8,18.8,,,7.0,7.8,18.5,1021.2,
2021-02-08,14.9,10.9,17.5,,,70.0,11.0,29.6,1021.9,
2021-02-09,16.4,14.0,19.5,,,140.0,15.9,33.3,1020.4,
2021-02-10,14.4,11.0,19.0,0.0,,45.0,7.4,22.2,1019.0,
2021-02-11,14.0,9.8,18.0,,,60.0,11.9,25.9,1019.2,
2021-02-12,13.9,10.9,18.0,,,41.0,9.8,25.9,1015.8,
2021-02-13,13.6,10.0,20.0,,,334.0,19.9,37.0,1018.0,
2021-02-14,13.1,7.2,18.0,0.0,,64.0,11.2,31.5,1016.6,
2021-02-15,12.2,7.0,17.6,2.8,,50.0,15.9,38.9,1010.4,
2021-02-16,7.3,5.0,11.0,11.9,,342.0,30.1,50.0,1006.0,
2021-02-17,5.7,3.4,9.0,0.0,,335.0,37.4,63.0,1010.0,
2021-02-18,8.1,2.3,13.0,,,339.0,22.9,50.0,1017.0,
2021-02-19,9.6,4.0,14.0,,,341.0,27.2,51.8,1022.8,
2021-02-20,9.2,5.0,15.0,,,357.0,15.4,38.9,1024.8,
2021-02-21,6.9,5.8,14.2,,,334.0,10.4,22.2,1025.8,
2021-02-22,9.3,2.8,15.6,,,341.0,9.4,25.9,1026.7,
2021-02-23,12.6,3.7,21.6,,,335.0,12.4,25.9,1025.4,
2021-02-24,18.3,9.6,26.0,,,344.0,16.4,33.3,1022.0,
2021-02-25,15.9,12.0,21.0,,,4.0,16.2,37.0,1022.3,
2021-02-26,13.8,10.0,21.0,,,331.0,14.6,33.3,1022.2,
2021-02-27,12.1,5.6,20.3,,,4.0,8.9,25.9,1018.1,
2021-02-28,13.3,6.3,19.5,,,336.0,10.9,29.6,1016.3,
2021-03-01,12.8,9.0,19.0,,,351.0,22.0,48.2,1017.9,
2021-03-02,11.4,6.5,16.5,,,338.0,18.2,38.9,1019.6,
2021-03-03,12.6,7.4,18.5,3.0,,328.0,13.8,35.2,1018.6,
2021-03-04,13.8,10.0,21.1,0.0,,325.0,18.3,35.2,1018.4,
2021-03-05,12.3,5.8,19.1,,,348.0,8.7,25.9,1021.1,
2021-03-06,13.1,10.0,16.5,,,31.0,10.5,20.4,1023.3,
2021-03-07,14.9,7.5,19.5,,,312.0,16.4,35.2,1017.7,
2021-03-08,13.4,9.0,19.0,,,329.0,21.0,38.9,1014.3,
2021-03-09,13.2,8.6,17.6,,,331.0,6.9,22.2,1015.6,
2021-03-10,14.2,8.3,20.7,,,326.0,9.6,29.6,1011.9,
2021-03-11,14.1,9.0,19.1,,,345.0,15.7,40.8,1005.8,
2021-03-12,12.9,8.0,20.3,0.0,,330.0,28.2,59.3,1013.1,
2021-03-13,12.6,6.0,17.9,,,349.0,10.4,24.1,1017.8,
2021-03-14,12.5,9.0,15.6,,,9.0,8.2,16.7,1016.4,
2021-03-15,13.4,10.8,15.1,4.3,,34.0,10.7,33.3,1010.1,
2021-03-16,14.4,9.3,19.1,0.5,,100.0,16.2,50.0,1005.6,
2021-03-17,13.3,8.7,17.4,3.0,,295.0,14.8,35.2,1005.7,
2021-03-18,12.6,9.0,17.0,0.0,,323.0,14.3,35.2,1011.8,
2021-03-19,12.7,6.8,17.0,,,49.0,12.6,31.5,1016.7,
2021-03-20,13.3,11.0,17.4,0.3,,11.0,8.5,20.4,1017.1,
2021-03-21,14.0,7.3,20.0,0.0,,343.0,8.0,20.4,1012.4,
2021-03-22,17.1,11.0,21.8,0.5,,347.0,10.0,27.8,1006.2,
2021-03-23,15.2,13.0,19.8,19.3,20.0,354.0,12.0,33.3,999.2,
2021-03-24,10.7,8.0,15.1,15.7,,328.0,27.2,50.0,1001.2,
2021-03-25,8.3,5.0,12.0,0.5,,319.0,20.8,48.2,1011.8,
2021-03-26,10.1,5.8,14.1,0.5,,326.0,28.3,50.0,1019.0,
2021-03-27,11.8,8.0,17.5,0.0,,337.0,20.6,44.5,1025.4,
2021-03-28,11.8,5.5,18.0,,,357.0,11.9,35.2,1028.1,
2021-03-29,12.7,5.4,19.2,,,344.0,11.0,33.3,1025.5,
2021-03-30,13.8,7.9,20.0,,,327.0,17.5,37.0,1018.2,
2021-03-31,13.6,10.0,18.2,,,346.0,15.6,37.0,1012.9,
2021-04-01,11.2,8.0,15.9,3.0,,352.0,8.8,22.2,1013.8,
2021-04-02,12.6,6.5,17.3,2.0,,27.0,11.2,35.2,1015.7,
2021-04-03,14.2,9.0,18.3,0.0,,48.0,12.1,27.8,1019.2,
2021-04-04,15.1,11.8,18.6,,,111.0,11.5,29.6,1021.6,
2021-04-05,14.8,11.6,18.2,,,98.0,11.9,24.1,1020.7,
2021-04-06,16.1,12.0,23.0,,,337.0,8.3,20.4,1015.7,
2021-04-07,16.6,10.8,21.2,,,58.0,10.9,25.9,1012.2,
2021-04-08,16.0,11.8,20.4,,,41.0,10.1,25.9,1013.5,
2021-04-09,14.7,12.0,18.3,0.0,,341.0,30.2,55.5,1012.1,
2021-04-10,12.3,8.8,16.1,,,334.0,44.8,64.8,1013.7,
2021-04-11,13.2,8.4,18.4,,,335.0,29.2,53.7,1017.1,
2021-04-12,13.5,10.0,19.6,,,349.0,20.7,40.8,1019.8,
2021-04-13,13.7,6.7,19.2,,,355.0,11.8,33.3,1020.2,
2021-04-14,14.8,9.7,18.5,,,82.0,9.2,24.1,1020.2,
2021-04-15,15.4,11.0,19.6,,,37.0,7.4,24.1,1018.4,
2021-04-16,16.6,10.4,22.1,,,310.0,9.4,24.1,1017.0,
2021-04-17,19.4,14.2,24.0,,,58.0,8.0,16.7,1017.1,
2021-04-18,21.6,16.7,30.3,,,6.0,9.2,24.1,1016.2,
2021-04-19,22.3,17.4,28.6,0.0,,356.0,7.9,24.1,1011.4,
2021-04-20,18.1,15.7,22.0,,,44.0,12.6,27.8,1010.1,
2021-04-21,16.6,10.6,21.8,,,55.0,12.0,35.2,1015.1,
2021-04-22,16.9,9.3,21.8,,,41.0,9.8,31.5,1018.6,
2021-04-23,17.5,10.4,22.6,,,340.0,8.0,24.1,1018.9,
2021-04-24,21.0,11.4,29.5,,,243.0,8.9,24.1,1012.5,
2021-04-25,21.4,16.0,29.5,,,340.0,10.9,24.1,1006.4,
2021-04-26,22.8,17.0,29.1,,,302.0,16.6,38.9,1006.3,
2021-04-27,20.3,14.9,26.0,,,340.0,14.6,33.3,1012.5,
2021-04-28,18.8,12.4,24.2,,,115.0,8.2,20.4,1016.5,
2021-04-29,20.3,16.3,24.2,,,143.0,7.1,18.5,1017.6,
2021-04-30,22.0,15.8,28.1,,,215.0,8.8,37.0,1015.4,
2021-05-01,24.4,16.7,33.1,,,306.0,9.4,31.5,1014.7,
2021-05-02,24.7,17.5,33.9,,,29.0,9.4,25.9,1013.5,
2021-05-03,22.9,16.3,32.2,,,142.0,8.1,25.9,1011.5,
2021-05-04,22.6,18.5,27.3,,,121.0,7.3,22.2,1009.2,
2021-05-05,22.2,17.7,25.6,,,128.0,9.7,24.1,1008.7,
2021-05-06,21.6,17.6,25.6,,,142.0,8.6,29.6,1010.4,
2021-05-07,23.3,19.4,30.7,,,320.0,14.0,27.8,1013.8,
2021-05-08,21.3,16.6,26.1,,,113.0,6.9,24.1,1013.9,
2021-05-09,26.8,17.8,34.0,,,340.0,24.0,44.5,1010.1,
2021-05-10,22.9,19.0,30.3,,,2.0,18.7,46.3,1011.1,
2021-05-11,21.7,14.6,27.0,,,107.0,10.4,29.6,1009.5,
2021-05-12,20.6,14.0,26.1,0.0,,69.0,8.7,24.1,1009.2,
2021-05-13,20.4,15.5,24.9,,,103.0,9.1,25.9,1011.7,
2021-05-14,20.1,14.2,25.0,,,166.0,8.5,27.8,1014.1,
2021-05-15,20.4,14.4,25.6,,,101.0,9.3,29.6,1012.0,
2021-05-16,20.5,15.6,24.2,0.0,,81.0,10.3,29.6,1008.4,
2021-05-17,21.6,15.4,27.0,,,50.0,13.3,37.0,1009.1,
2021-05-18,20.9,14.7,25.8,,,99.0,9.0,24.1,1012.3,
2021-05-19,22.5,15.5,31.4,,,319.0,11.5,35.2,1012.7,
2021-05-20,21.5,15.2,26.0,,,118.0,8.5,25.9,1011.0,
2021-05-21,21.0,15.2,25.8,,,53.0,14.5,33.3,1009.1,
2021-05-22,23.4,18.0,29.2,,,336.0,33.8,48.2,1011.3,
2021-05-23,25.1,20.0,34.5,,,345.0,24.5,44.5,1012.1,
2021-05-24,27.8,16.4,36.5,0.0,,336.0,16.4,38.9,1013.2,
2021-05-25,29.1,21.0,36.6,,,330.0,13.5,33.3,1011.9,
2021-05-26,24.1,18.8,28.0,,,156.0,8.3,27.8,1010.0,
2021-05-27,22.3,18.4,26.2,,,181.0,7.4,24.1,1008.8,
2021-05-28,22.5,19.0,26.5,,,105.0,9.1,24.1,1008.6,
2021-05-29,24.3,19.0,31.2,,,305.0,15.6,35.2,1009.1,
2021-05-30,22.6,17.6,26.5,,,142.0,9.4,25.9,1012.7,
2021-05-31,22.4,17.9,26.3,,,40.0,10.6,29.6,1010.0,
2021-06-01,21.1,16.8,26.1,,,25.0,10.8,27.8,1008.4,
2021-06-02,21.9,16.0,27.3,0.0,,318.0,14.2,38.9,1012.6,
2021-06-03,23.5,18.8,29.2,,,340.0,18.7,40.8,1014.6,
2021-06-04,24.2,18.8,30.8,,,329.0,16.9,35.2,1014.5,
2021-06-05,24.9,18.5,31.7,,,317.0,19.8,42.6,1013.1,
2021-06-06,24.5,21.0,31.6,,,325.0,17.8,37.0,1012.8,
2021-06-07,23.1,16.2,28.6,,,207.0,9.4,31.5,1013.6,
2021-06-08,22.8,16.6,27.4,,,80.0,8.5,29.6,1011.8,
2021-06-09,23.1,18.3,27.5,0.0,,93.0,10.6,25.9,1009.6,
2021-06-10,22.3,17.7,27.0,0.0,,184.0,8.1,29.6,1008.5,
2021-06-11,22.9,17.0,27.1,,,97.0,12.1,29.6,1010.5,
2021-06-12,22.8,17.1,26.5,,,301.0,10.6,33.3,1011.6,
2021-06-13,23.6,17.7,27.5,,,177.0,11.9,29.6,1010.5,
2021-06-14,22.8,18.4,26.9,,,80.0,11.1,31.5,1008.1,
2021-06-15,21.7,18.8,26.1,5.6,,49.0,16.0,31.5,1009.5,
2021-06-16,20.6,17.0,26.8,7.9,,353.0,13.0,35.2,1010.4,
2021-06-17,24.2,17.1,30.6,1.5,,343.0,15.9,38.9,1014.3,
2021-06-18,25.3,18.5,30.5,0.0,,358.0,13.0,33.3,1012.4,
2021-06-19,24.3,19.0,29.3,,,141.0,8.5,29.6,1009.4,
