date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,9.7,3.0,13.0,,,,7.0,,1017.0,
2021-01-02,2.9,-1.2,11.0,,,8.0,1.4,,1023.5,
2021-01-03,4.5,-2.0,13.0,0.0,,335.0,3.0,,1022.7,
2021-01-04,6.7,-2.0,16.0,0.0,,65.0,11.2,,1018.0,
2021-01-05,12.8,4.0,19.0,1.6,,93.0,15.7,,1014.5,
2021-01-06,3.9,-2.0,13.0,0.0,,332.0,3.0,,1022.5,
2021-01-07,4.9,-2.4,15.0,0.0,,305.0,4.5,,1019.6,
2021-01-08,12.2,3.8,21.2,0.6,,261.0,9.5,,1015.0,
2021-01-09,16.0,12.0,18.0,2.1,,239.0,9.7,,1013.5,
2021-01-10,11.0,9.0,14.0,9.2,,341.0,4.0,,1016.6,
2021-01-11,11.7,7.6,21.0,0.0,,348.0,4.3,,1015.2,
2021-01-12,17.9,10.0,24.2,0.4,,178.0,14.9,,1009.3,
2021-01-13,6.1,4.0,9.1,15.4,,322.0,5.8,,1006.1,
2021-01-14,3.4,1.0,5.0,6.1,,272.0,5.5,,1008.4,
2021-01-15,1.0,-1.0,3.0,6.8,,263.0,6.8,,1012.9,
2021-01-16,-0.9,-3.0,1.2,12.7,,319.0,4.9,,1010.4,
2021-01-17,-0.5,-3.0,1.1,14.6,,290.0,8.5,,1011.1,
2021-01-18,-6.2,-17.0,-1.0,1.1,,9.0,1.8,,1020.2,
2021-01-19,-13.5,-19.5,-7.0,0.0,,3.0,1.2,,1025.0,
2021-01-20,-11.0,-18.0,-4.0,0.0,,4.0,0.9,,1028.5,
2021-01-21,-5.2,-11.5,1.9,0.0,,358.0,1.4,,1029.5,
2021-01-22,0.5,-8.0,9.2,0.0,,158.0,4.4,,1025.9,
2021-01-23,4.9,-1.4,14.0,0.0,,51.0,8.0,,1019.3,
2021-01-24,11.5,8.0,14.0,0.0,,145.0,21.6,,1012.1,
2021-01-25,12.1,6.0,15.0,1.8,,150.0,24.5,,1008.3,
