date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,1.7,,,,,,,,,
2021-01-02,4.8,-0.3,8.5,0.0,,355.0,3.7,,1027.3,
2021-01-03,6.2,-1.3,9.2,0.0,,352.0,4.9,,1026.2,
2021-01-04,5.1,-0.6,7.0,0.0,,7.0,8.5,,1026.9,
2021-01-05,4.7,-2.3,7.4,0.0,,1.0,5.7,,1027.3,
2021-01-06,4.1,-2.4,9.0,0.0,,342.0,3.5,,1027.7,
2021-01-07,4.2,-2.2,9.1,0.0,,354.0,4.3,,1026.7,
2021-01-08,2.9,-2.0,9.4,0.0,,347.0,3.5,,1026.9,
2021-01-09,3.9,-1.2,9.1,0.0,,349.0,4.1,,1026.0,
2021-01-10,2.9,-1.7,10.4,0.0,,344.0,3.5,,1025.9,
2021-01-11,3.2,-2.0,10.5,0.0,,344.0,3.6,,1026.1,
2021-01-12,5.0,-0.3,11.5,0.1,,348.0,3.6,,1025.3,
2021-01-13,5.6,4.1,8.4,4.3,,290.0,3.9,,1018.1,
2021-01-14,4.1,1.1,4.9,10.4,10.0,217.0,4.6,,1010.5,
2021-01-15,4.6,0.3,2.7,22.6,20.0,218.0,4.4,,1012.7,
2021-01-16,5.5,2.9,3.1,15.2,10.0,259.0,3.6,,1016.0,
2021-01-17,3.1,0.6,2.1,16.5,10.0,102.0,3.2,,1010.2,
2021-01-18,1.1,-1.5,1.3,30.2,10.0,198.0,5.1,,1011.7,
2021-01-19,-2.8,-7.9,-0.4,23.6,10.0,323.0,5.6,,1016.6,
2021-01-20,-3.4,-4.9,-3.8,8.9,10.0,326.0,10.2,,1019.2,
2021-01-21,-3.9,-15.1,4.0,0.0,119.0,327.0,9.9,,1032.7,
2021-01-22,-6.3,-14.0,-2.5,0.0,109.0,332.0,5.8,,1035.6,
2021-01-23,-6.3,-12.7,-0.6,0.0,89.0,335.0,4.9,,1031.0,
2021-01-24,-5.4,-8.5,1.8,0.0,79.0,338.0,4.9,,1029.4,
2021-01-25,-4.8,-8.9,2.4,0.0,71.0,338.0,4.9,,1027.4,
2021-01-26,-3.0,-5.9,4.2,0.0,61.0,334.0,4.6,,1027.1,
2021-01-27,-2.3,-1.5,4.7,0.3,41.0,346.0,4.4,,1022.6,
2021-01-28,1.7,-1.3,1.8,5.1,10.0,349.0,3.6,,1016.1,
2021-01-29,1.4,-0.2,1.2,6.1,,16.0,3.6,,1013.3,
2021-01-30,1.0,-2.8,1.0,32.5,10.0,187.0,3.9,,1016.8,
2021-01-31,1.2,-0.4,1.6,9.7,10.0,61.0,1.4,,1020.9,
2021-02-01,3.1,0.8,2.9,2.0,231.0,41.0,2.5,,1029.0,
2021-02-02,4.1,-3.4,5.7,0.0,150.0,334.0,4.3,,1028.5,
2021-02-03,3.6,-1.8,8.6,0.0,89.0,338.0,4.2,,1024.5,
2021-02-04,4.3,1.7,8.2,0.5,,340.0,3.6,,1021.8,
2021-02-05,5.2,2.2,10.5,0.3,,325.0,5.7,,1019.2,
2021-02-06,5.6,-0.6,7.9,0.3,,322.0,7.4,,1020.9,
2021-02-07,4.4,-1.2,12.1,0.0,,322.0,4.5,,1020.5,
2021-02-08,4.2,-0.4,10.1,0.0,,281.0,4.2,,1024.7,
2021-02-09,8.1,2.4,9.2,3.6,,325.0,3.6,,1025.6,
2021-02-10,7.0,3.2,10.7,1.8,,2.0,4.7,,1022.3,
2021-02-11,4.2,-0.1,10.6,0.9,,315.0,3.6,,1021.3,
2021-02-12,5.6,0.3,11.2,0.7,,294.0,4.6,,1018.4,
2021-02-13,9.6,1.3,9.6,4.3,,318.0,3.8,,1018.6,
2021-02-14,8.8,1.4,10.8,0.1,,329.0,6.5,,1020.3,
2021-02-15,10.9,1.9,11.8,0.4,,35.0,7.1,,1015.3,
2021-02-16,10.4,3.7,13.5,0.3,,95.0,6.5,,1007.3,
2021-02-17,3.1,0.3,8.1,26.7,30.0,302.0,7.4,,1002.5,
2021-02-18,-1.5,-3.2,1.9,16.5,20.0,319.0,6.3,,1014.2,
2021-02-19,-3.3,-8.4,-0.1,1.3,,332.0,4.1,,1024.8,
2021-02-20,-6.7,-13.7,-1.3,0.2,,326.0,9.6,,1027.3,
2021-02-21,-1.6,-13.4,-1.1,0.0,,325.0,8.4,,1030.7,
2021-02-22,-0.9,-7.1,1.8,0.0,51.0,334.0,5.4,,1030.9,
2021-02-23,3.4,-4.3,6.6,0.0,30.0,329.0,8.8,,1027.1,
2021-02-24,5.7,-0.1,6.9,0.0,,333.0,9.2,,1023.4,
2021-02-25,4.4,-0.8,7.0,0.0,,341.0,10.5,,1024.9,
2021-02-26,5.1,-1.7,7.3,0.0,,331.0,8.0,,1024.4,
2021-02-27,5.4,-2.6,8.6,0.0,,336.0,4.5,,1020.7,
2021-02-28,6.8,-1.8,9.5,0.3,,328.0,3.7,,1017.4,
2021-03-01,2.1,-2.0,3.5,5.1,,333.0,5.0,,1019.9,
2021-03-02,3.0,-1.9,6.2,3.6,,330.0,4.8,,1023.6,
2021-03-03,5.6,-0.8,8.4,0.0,,327.0,4.0,,1021.6,
2021-03-04,6.0,0.2,8.9,0.0,,343.0,7.8,,1019.4,
2021-03-05,8.6,2.0,15.1,0.0,,324.0,9.6,,1018.6,
2021-03-06,7.7,-1.4,10.9,0.0,,300.0,3.4,,1023.1,
2021-03-07,8.4,-0.4,9.8,2.4,,324.0,3.6,,1017.8,
2021-03-08,4.3,-2.2,7.0,8.9,10.0,305.0,4.3,,1014.4,
2021-03-09,5.7,-2.5,7.7,0.0,,306.0,5.6,,1017.1,
2021-03-10,9.1,-1.3,13.9,3.3,,341.0,5.1,,1017.9,
2021-03-11,8.8,2.4,7.2,4.6,,3.0,2.5,,1008.0,
2021-03-12,2.3,-4.1,4.7,14.5,10.0,338.0,17.3,,1008.4,
2021-03-13,6.2,-2.9,8.1,0.0,10.0,337.0,7.2,,1019.9,
2021-03-14,8.9,-0.7,10.2,0.0,,347.0,4.1,,1018.6,
2021-03-15,4.7,2.6,5.8,0.3,,68.0,4.6,,1016.3,
2021-03-16,8.6,2.2,9.0,30.2,10.0,62.0,4.0,,1012.5,
2021-03-17,9.9,2.4,10.7,1.0,,192.0,9.3,,1009.6,
2021-03-18,4.3,1.1,7.6,7.3,,174.0,5.4,,1010.6,
2021-03-19,6.5,2.3,11.5,0.5,,300.0,5.1,,1016.1,
2021-03-20,8.3,3.1,11.5,0.0,,284.0,5.1,,1018.5,
2021-03-21,9.2,3.4,13.0,1.1,,307.0,5.1,,1014.4,
