date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,10.6,3.2,15.3,,,,,,,
2021-01-02,10.7,4.4,14.0,0.0,,75.0,4.0,,1025.1,
2021-01-03,10.2,3.3,14.5,0.0,,68.0,3.8,,1024.0,
2021-01-04,9.4,3.5,13.3,0.0,,65.0,3.8,,1024.5,
2021-01-05,9.9,2.8,10.3,0.0,,84.0,3.7,,1025.6,
2021-01-06,10.0,2.8,10.3,0.0,,80.0,3.2,,1026.6,
2021-01-07,9.6,2.8,13.3,0.0,,96.0,3.2,,1025.7,
2021-01-08,8.6,2.3,12.1,0.0,,72.0,3.9,,1025.5,
2021-01-09,9.6,2.7,13.7,0.0,,80.0,3.8,,1024.8,
2021-01-10,9.3,1.9,13.3,0.0,,84.0,3.9,,1025.4,
2021-01-11,9.5,2.4,13.4,0.0,,92.0,3.9,,1026.1,
2021-01-12,11.3,5.0,14.9,0.0,,74.0,3.3,,1025.0,
2021-01-13,11.9,7.4,13.4,0.0,,118.0,4.1,,1017.9,
2021-01-14,7.2,3.6,9.3,13.5,,83.0,4.8,,1010.5,
2021-01-15,6.9,5.4,9.6,18.3,10.0,133.0,4.7,,1013.4,
2021-01-16,8.5,5.9,11.7,2.0,,117.0,4.1,,1016.4,
2021-01-17,7.2,4.5,9.1,0.0,,98.0,4.9,,1010.6,
2021-01-18,4.8,2.3,6.9,14.7,10.0,158.0,7.3,,1013.2,
2021-01-19,2.6,-0.1,4.4,25.7,20.0,87.0,3.2,,1015.2,
2021-01-20,0.2,-1.7,1.4,16.5,,318.0,2.8,,1015.8,
2021-01-21,2.3,-2.1,5.2,1.5,,1.0,4.1,,1027.6,
2021-01-22,1.2,-4.4,4.6,0.0,,30.0,3.6,,1033.0,
2021-01-23,2.4,-4.3,6.3,0.0,,31.0,3.3,,1028.8,
2021-01-24,4.7,-2.3,8.5,0.0,,43.0,3.8,,1026.1,
2021-01-25,6.8,-0.3,10.7,0.0,,57.0,4.0,,1024.3,
2021-01-26,7.6,0.4,11.9,0.0,,52.0,4.1,,1024.5,
2021-01-27,7.9,1.5,11.1,0.0,,88.0,3.7,,1020.3,
2021-01-28,6.6,5.0,9.1,2.3,,92.0,3.5,,1014.9,
2021-01-29,6.4,2.9,9.9,7.1,10.0,110.0,4.3,,1013.6,
2021-01-30,4.5,2.0,7.1,3.8,,157.0,4.6,,1017.3,
2021-01-31,4.2,1.5,6.3,0.5,,30.0,3.5,,1021.1,
2021-02-01,7.1,2.9,10.5,1.3,,50.0,3.5,,1027.0,
2021-02-02,7.4,1.9,10.9,0.0,,59.0,3.9,,1026.5,
2021-02-03,9.2,2.4,13.3,0.0,,56.0,3.2,,1022.4,
2021-02-04,12.1,5.8,15.3,1.0,,78.0,4.3,,1019.9,
