date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,5.8,2.0,11.2,,,30.0,6.3,,1020.2,
2021-01-02,3.9,0.0,8.0,0.0,,357.0,3.9,,1024.0,
2021-01-03,3.5,2.0,5.0,0.0,,6.0,4.7,,1024.8,
2021-01-04,2.5,1.0,5.0,0.0,,20.0,4.7,,1022.1,
2021-01-05,7.4,1.0,10.0,9.6,,353.0,9.1,,1018.8,
2021-01-06,3.9,1.0,6.3,0.0,,57.0,3.9,,1024.3,
2021-01-07,3.6,2.0,5.0,0.0,,64.0,3.5,,1023.9,
2021-01-08,4.7,2.8,7.9,0.1,,46.0,3.6,,1022.0,
2021-01-09,7.4,4.0,11.0,4.0,,51.0,5.9,,1020.6,
2021-01-10,9.5,7.0,15.0,0.2,,69.0,6.1,,1022.4,
2021-01-11,7.2,3.5,13.0,0.7,,317.0,4.2,,1024.2,
2021-01-12,9.4,2.2,15.0,0.1,,165.0,16.6,,1018.4,
2021-01-13,9.3,5.0,13.0,19.1,,214.0,24.3,,1004.4,
2021-01-14,3.9,2.2,6.0,2.5,,335.0,13.4,,1006.0,
2021-01-15,1.6,-0.2,3.2,4.2,,40.0,9.2,,1010.4,
2021-01-16,1.0,-2.2,5.0,2.5,,63.0,8.5,,1007.1,
2021-01-17,1.2,-2.0,5.0,2.7,,326.0,18.7,,1005.7,
2021-01-18,-2.3,-5.0,-1.0,0.4,,352.0,15.2,,1014.3,
2021-01-19,-4.1,-8.0,0.2,0.0,,324.0,20.4,,1017.6,
2021-01-20,-3.8,-8.0,1.0,0.0,,333.0,22.6,,1024.6,
2021-01-21,-2.2,-8.0,5.0,0.0,,346.0,7.1,,1030.4,
2021-01-22,1.0,-4.0,8.0,0.0,,357.0,5.3,,1028.7,
2021-01-23,2.8,-4.0,10.0,0.0,,6.0,5.2,,1023.1,
2021-01-24,6.3,4.0,9.2,0.2,,191.0,12.8,,1018.3,
2021-01-25,8.1,6.0,10.1,1.0,,202.0,22.4,,1016.1,
2021-01-26,9.4,7.7,11.0,1.3,,199.0,23.6,,1015.1,
2021-01-27,7.2,0.0,10.0,36.2,,196.0,32.1,,1003.3,
2021-01-28,1.1,-1.2,4.7,3.2,,223.0,16.9,,1008.7,
2021-01-29,-0.8,-3.9,2.6,0.0,,338.0,11.3,,1014.1,
2021-01-30,-0.5,-4.0,2.0,15.8,,18.0,9.0,,1010.0,
2021-01-31,4.4,0.8,11.0,0.3,,355.0,7.1,,1013.2,
2021-02-01,7.5,1.0,13.0,0.5,,260.0,20.0,,1017.7,
2021-02-02,10.8,8.7,14.0,0.4,,170.0,14.8,,1018.1,
2021-02-03,9.2,4.0,16.1,0.0,,29.0,7.6,,1017.6,
2021-02-04,7.1,0.5,16.0,0.0,,325.0,6.7,,1018.1,
2021-02-05,6.9,0.5,15.0,0.0,,249.0,7.0,,1020.7,
2021-02-06,6.8,0.0,17.0,0.0,,353.0,5.6,,1021.0,
2021-02-07,7.6,1.0,17.0,0.0,,21.0,6.4,,1020.7,
2021-02-08,9.2,5.0,14.0,0.3,,130.0,15.6,,1018.9,
2021-02-09,11.8,9.0,17.0,0.3,,201.0,20.9,,1018.2,
2021-02-10,9.2,4.0,15.0,1.9,,209.0,13.1,,1018.1,
2021-02-11,7.4,-1.0,15.0,0.0,,210.0,13.6,,1017.7,
2021-02-12,8.4,3.0,11.0,1.0,,263.0,22.6,,1015.0,
2021-02-13,4.5,-4.0,11.7,0.0,,339.0,6.8,,1019.4,
2021-02-14,5.8,-1.0,12.0,0.0,,178.0,11.7,,1015.7,
2021-02-15,3.0,-2.0,8.5,7.9,,333.0,28.3,,1011.2,
2021-02-16,-2.0,-4.0,1.0,2.8,,14.0,26.8,,1008.8,
2021-02-17,-3.2,-6.0,-0.7,0.0,,6.0,28.9,,1012.1,
2021-02-18,-2.3,-8.0,3.0,0.0,,350.0,13.0,,1018.9,
2021-02-19,0.8,-4.0,5.0,0.0,,351.0,15.6,,1023.7,
2021-02-20,0.3,-7.0,8.0,0.0,,22.0,11.4,,1024.4,
2021-02-21,3.8,-1.0,11.0,0.0,,28.0,19.8,,1024.6,
2021-02-22,3.4,-5.0,13.0,0.0,,28.0,11.1,,1027.7,
2021-02-23,5.5,-4.0,16.0,0.0,,37.0,9.5,,1028.1,
2021-02-24,6.9,-3.0,18.0,0.0,,358.0,11.4,,1026.3,
2021-02-25,6.6,-1.0,13.0,0.0,,12.0,23.6,,1025.6,
2021-02-26,6.6,-3.0,16.0,0.0,,10.0,10.7,,1024.3,
2021-02-27,7.0,-3.0,17.0,0.0,,3.0,7.3,,1018.8,
2021-02-28,5.6,-4.0,14.1,0.0,,355.0,19.3,,1018.8,
2021-03-01,3.9,-3.0,11.0,0.0,,338.0,19.0,,1020.5,
2021-03-02,3.2,-3.0,8.0,0.5,,17.0,16.7,,1020.9,
2021-03-03,6.6,2.0,13.0,1.2,,8.0,18.1,,1019.9,
2021-03-04,5.9,-1.0,14.0,0.0,,299.0,13.0,,1021.1,
2021-03-05,6.1,-4.0,18.0,0.0,,291.0,8.6,,1021.0,
2021-03-06,6.1,-1.0,13.0,0.0,,351.0,9.8,,1022.4,
2021-03-07,5.3,1.0,11.0,0.5,,305.0,7.2,,1019.5,
2021-03-08,4.3,-3.0,12.0,0.0,,349.0,11.6,,1016.2,
2021-03-09,4.8,-3.0,12.0,3.6,,288.0,7.5,,1016.6,
2021-03-10,7.8,1.0,17.0,0.3,,342.0,7.4,,1012.6,
2021-03-11,6.5,2.0,13.0,5.4,,340.0,15.6,,1007.3,
2021-03-12,4.0,-1.0,11.0,0.0,,327.0,19.3,,1016.7,
2021-03-13,6.7,-2.4,18.0,0.0,,292.0,8.5,,1017.3,
2021-03-14,7.4,0.0,14.0,1.0,,2.0,7.9,,1015.3,
2021-03-15,9.1,4.9,15.0,5.8,,131.0,12.0,,1008.0,
2021-03-16,7.0,3.0,10.0,8.0,,215.0,31.9,,1004.6,
2021-03-17,4.9,2.0,8.2,5.8,,254.0,14.6,,1005.8,
2021-03-18,4.6,1.0,10.0,3.1,,263.0,13.3,,1011.8,
2021-03-19,6.0,-0.8,14.0,1.0,,212.0,12.6,,1015.8,
2021-03-20,8.3,5.0,13.0,2.0,,40.0,8.9,,1016.0,
2021-03-21,10.0,0.0,20.0,0.0,,348.0,8.6,,1011.5,
2021-03-22,12.9,6.2,19.0,0.9,,231.0,20.7,,1004.3,
2021-03-23,8.7,1.2,13.2,13.9,,286.0,19.0,,999.7,
2021-03-24,1.7,-1.0,4.2,1.6,,329.0,34.3,,1002.6,
2021-03-25,0.2,-3.0,3.2,2.1,,344.0,15.9,,1011.5,
2021-03-26,1.1,-3.0,5.0,0.3,,321.0,26.5,,1020.3,
2021-03-27,3.8,-2.0,10.0,0.0,,356.0,14.7,,1026.1,
2021-03-28,5.7,-3.0,14.0,0.0,,4.0,9.1,,1028.1,
2021-03-29,7.7,-1.0,16.0,0.0,,29.0,9.6,,1025.9,
2021-03-30,6.8,3.0,11.0,1.5,,349.0,28.7,,1020.2,
2021-03-31,5.5,1.0,11.2,7.1,,42.0,18.4,,1014.1,
2021-04-01,5.1,0.0,8.5,2.1,,7.0,8.2,,1013.1,
2021-04-02,6.3,2.0,11.0,0.0,,332.0,10.5,,1015.8,
2021-04-03,8.0,-1.0,17.0,0.0,,293.0,8.9,,1018.1,
2021-04-04,9.4,4.0,15.0,3.0,,138.0,10.5,,1019.3,
2021-04-05,11.7,8.8,15.2,1.8,,114.0,16.1,,1016.9,
2021-04-06,12.7,6.0,21.0,0.3,,110.0,13.5,,1013.6,
2021-04-07,14.7,6.0,22.4,0.0,,181.0,17.0,,1010.5,
2021-04-08,10.6,4.0,17.0,1.2,,278.0,15.3,,1012.7,
2021-04-09,5.1,2.0,8.0,1.6,,340.0,31.0,,1015.7,
2021-04-10,2.9,-0.2,8.0,0.0,,2.0,33.8,,1017.2,
2021-04-11,3.7,-1.0,9.0,0.0,,344.0,25.3,,1019.1,
2021-04-12,6.0,1.0,11.0,0.0,,327.0,21.5,,1020.6,
2021-04-13,9.1,0.9,17.0,0.0,,297.0,7.8,,1019.6,
2021-04-14,11.6,5.0,19.0,0.8,,199.0,10.0,,1018.0,
2021-04-15,11.9,3.7,20.0,0.8,,3.0,8.4,,1017.1,
2021-04-16,12.1,2.0,22.0,0.0,,11.0,6.7,,1016.6,
2021-04-17,15.2,8.0,23.7,0.6,,273.0,12.5,,1017.4,
2021-04-18,17.5,13.0,23.0,1.2,,1.0,17.5,,1018.0,
2021-04-19,15.1,10.3,21.0,1.4,,2.0,12.8,,1014.4,
2021-04-20,13.6,6.0,21.0,0.0,,313.0,15.0,,1011.6,
2021-04-21,12.1,4.0,19.0,0.0,,334.0,9.6,,1016.5,
2021-04-22,12.6,6.0,20.0,0.0,,328.0,12.2,,1020.8,
2021-04-23,13.6,0.1,24.0,0.0,,323.0,10.9,,1020.6,
2021-04-24,15.5,5.7,24.0,0.0,,331.0,8.2,,1016.2,
2021-04-25,15.2,12.6,20.0,3.7,,339.0,20.5,,1010.1,
2021-04-26,13.8,9.7,18.0,0.7,,329.0,25.7,,1011.0,
2021-04-27,14.3,1.8,25.2,0.0,,333.0,8.5,,1015.0,
2021-04-28,17.8,5.8,27.0,0.0,,323.0,7.9,,1017.0,
2021-04-29,20.0,13.7,27.1,0.1,,231.0,16.6,,1017.7,
2021-04-30,20.1,11.3,27.5,0.1,,332.0,11.1,,1018.2,
2021-05-01,18.7,8.7,28.1,0.0,,338.0,6.7,,1019.0,
2021-05-02,20.5,8.0,31.1,0.0,,314.0,7.5,,1017.4,
2021-05-03,22.8,11.0,33.0,0.0,,295.0,13.7,,1014.9,
2021-05-04,20.8,12.0,28.0,0.0,,327.0,15.0,,1012.2,
2021-05-05,19.3,7.9,27.0,0.0,,300.0,14.6,,1011.2,
2021-05-06,18.5,11.5,25.0,0.2,,336.0,14.3,,1012.6,
2021-05-07,18.9,7.3,28.0,0.0,,342.0,10.4,,1016.1,
2021-05-08,19.4,11.0,27.7,0.0,,359.0,10.3,,1014.2,
2021-05-09,17.1,9.0,24.0,0.0,,355.0,22.4,,1015.5,
2021-05-10,16.4,4.7,25.0,0.0,,349.0,13.1,,1015.5,
2021-05-11,17.8,5.0,27.1,0.0,,349.0,9.9,,1011.9,
2021-05-12,18.6,7.6,28.1,0.0,,264.0,10.4,,1009.5,
2021-05-13,18.5,7.0,28.5,0.0,,172.0,13.8,,1011.0,
2021-05-14,18.3,7.4,29.0,0.0,,186.0,12.0,,1013.7,
2021-05-15,19.3,8.0,29.0,0.0,,186.0,11.5,,1012.3,
2021-05-16,19.0,12.0,27.1,2.8,,258.0,14.8,,1007.6,
2021-05-17,18.8,12.4,25.0,0.0,,317.0,13.8,,1010.5,
2021-05-18,20.1,8.0,30.0,0.0,,246.0,16.0,,1011.9,
2021-05-19,20.6,11.0,29.0,0.0,,268.0,11.1,,1014.2,
2021-05-20,20.3,9.0,31.2,0.0,,114.0,13.4,,1010.9,
2021-05-21,17.1,8.7,25.4,1.2,,300.0,19.8,,1009.4,
2021-05-22,14.6,9.9,21.0,0.0,,332.0,24.4,,1015.7,
2021-05-23,18.0,9.2,26.0,0.0,,339.0,23.8,,1016.8,
2021-05-24,21.2,10.0,29.0,0.0,,29.0,15.2,,1018.3,
2021-05-25,22.5,11.0,31.0,0.0,,52.0,9.2,,1016.8,
2021-05-26,23.8,10.9,33.0,0.0,,320.0,9.0,,1012.3,
2021-05-27,20.9,11.2,29.5,0.2,,350.0,12.0,,1010.9,
2021-05-28,19.7,7.8,29.2,0.0,,270.0,11.8,,1009.5,
2021-05-29,19.3,15.1,23.0,0.0,,312.0,16.6,,1011.8,
2021-05-30,18.5,8.3,27.2,0.3,,324.0,14.4,,1013.8,
2021-05-31,18.4,14.0,24.0,8.8,,352.0,11.3,,1011.0,
2021-06-01,15.6,13.0,21.0,3.3,,330.0,13.5,,1009.9,
2021-06-02,15.4,10.6,20.1,0.0,,324.0,14.6,,1015.6,
2021-06-03,16.4,8.5,23.0,0.0,,327.0,16.7,,1017.8,
2021-06-04,17.1,7.4,24.0,0.0,,338.0,19.3,,1018.5,
2021-06-05,16.8,10.8,22.0,0.0,,339.0,22.7,,1017.3,
2021-06-06,18.2,7.1,26.0,0.0,,344.0,12.0,,1016.0,
2021-06-07,20.7,12.5,29.0,0.0,,289.0,9.6,,1015.8,
2021-06-08,22.0,12.5,29.0,1.2,,282.0,13.3,,1013.6,
2021-06-09,19.2,12.4,28.2,1.6,,317.0,11.5,,1011.1,
2021-06-10,16.6,12.0,24.0,4.4,,4.0,8.8,,1010.7,
2021-06-11,14.9,10.0,25.0,2.8,,297.0,8.8,,1013.4,
2021-06-12,16.9,9.0,26.0,2.4,,317.0,7.1,,1014.6,
2021-06-13,18.8,11.0,28.0,0.1,,319.0,8.8,,1013.1,
2021-06-14,16.2,13.0,23.0,18.7,,316.0,12.7,,1010.1,
2021-06-15,16.0,10.7,22.0,0.7,,0.0,11.9,,1011.0,
2021-06-16,14.9,11.7,18.0,19.3,,303.0,10.3,,1012.2,
2021-06-17,17.4,10.9,22.0,0.0,,318.0,13.5,,1017.8,
2021-06-18,20.0,11.0,28.0,0.0,,319.0,6.4,,1015.5,
2021-06-19,21.3,14.7,29.0,0.0,,325.0,12.3,,1012.1,
2021-06-20,20.9,15.3,28.0,1.3,,321.0,9.4,,1010.6,
2021-06-21,19.2,13.7,27.7,7.0,,306.0,9.9,,1011.5,
2021-06-22,17.7,13.7,24.7,0.9,,313.0,8.1,,1014.3,
2021-06-23,20.1,12.9,29.0,0.0,,337.0,9.2,,1015.9,
2021-06-24,22.3,16.3,28.5,0.3,,341.0,13.7,,1014.8,
2021-06-25,24.2,17.7,30.0,0.0,,358.0,18.5,,1013.6,
2021-06-26,25.1,19.1,31.0,0.0,,335.0,22.9,,1011.8,
2021-06-27,25.4,19.4,31.0,0.0,,345.0,16.8,,1011.9,
2021-06-28,26.1,20.0,32.0,0.0,,348.0,15.5,,1013.3,
2021-06-29,26.3,19.7,33.0,0.0,,11.0,16.6,,1013.2,
2021-06-30,25.9,15.6,33.0,0.0,,12.0,10.4,,1013.1,
2021-07-01,27.1,17.0,35.0,0.0,,320.0,10.2,,1012.5,
2021-07-02,28.0,17.7,37.0,0.0,,134.0,10.2,,1008.3,
2021-07-03,24.3,19.0,29.0,0.8,,319.0,21.2,,1006.2,
2021-07-04,21.1,14.5,27.0,0.0,,333.0,18.0,,1009.7,
