date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,12.2,8.9,17.7,0.0,,,,,,
2021-01-02,10.8,6.0,15.7,0.0,,173.0,3.9,,1022.6,
2021-01-03,9.8,5.7,14.0,0.0,,169.0,3.5,,1023.0,
2021-01-04,10.4,5.7,15.4,0.0,,183.0,4.2,,1019.0,
2021-01-05,11.0,5.7,12.0,9.7,,174.0,4.5,,1017.5,
2021-01-06,8.9,5.9,11.3,7.1,,196.0,3.5,,1023.3,
2021-01-07,10.3,5.2,14.8,0.0,,179.0,4.0,,1021.7,
2021-01-08,12.7,8.8,15.6,0.0,,171.0,4.4,,1019.1,
2021-01-09,13.9,11.0,16.1,0.5,,155.0,4.3,,1017.8,
2021-01-10,14.9,11.5,18.4,0.0,,185.0,4.9,,1020.2,
2021-01-11,17.8,12.6,22.5,0.0,,171.0,5.3,,1019.9,
2021-01-12,18.9,15.2,20.9,0.0,,156.0,6.8,,1014.3,
2021-01-13,11.3,6.5,12.5,14.2,,38.0,4.2,,1005.9,
2021-01-14,6.5,4.6,9.1,4.6,,32.0,3.1,,1008.0,
2021-01-15,5.0,1.5,9.3,0.3,,170.0,3.8,,1011.1,
2021-01-16,5.9,2.8,9.3,5.1,,278.0,2.7,,1006.4,
2021-01-17,2.1,0.8,3.4,8.4,,328.0,7.4,,1009.4,
2021-01-18,0.2,-1.5,1.9,0.0,,309.0,5.1,,1017.7,
2021-01-19,-0.2,-3.9,2.9,2.8,,273.0,5.6,,1021.5,
2021-01-20,0.7,-4.3,5.1,0.0,,245.0,5.6,,1028.5,
2021-01-21,2.9,-2.1,7.6,0.0,,169.0,3.5,,1030.9,
2021-01-22,6.6,0.8,10.7,0.0,,167.0,4.2,,1028.6,
2021-01-23,9.4,2.8,12.6,0.0,,176.0,3.2,,1022.3,
2021-01-24,11.9,9.4,14.8,0.5,,158.0,5.1,,1017.3,
2021-01-25,13.2,11.4,15.2,0.3,,112.0,5.0,,1014.1,
2021-01-26,14.8,12.2,16.6,6.6,,139.0,5.3,,1012.8,
2021-01-27,9.2,1.6,11.1,1.3,,89.0,5.6,,1002.6,
2021-01-28,3.3,1.2,7.2,12.2,,17.0,4.2,,1011.8,
2021-01-29,3.9,-0.4,7.9,2.8,,191.0,4.0,,1016.8,
2021-01-30,10.3,2.8,14.6,0.0,,128.0,4.5,,1006.8,
2021-01-31,10.5,5.2,15.6,11.7,,162.0,4.5,,1011.5,
2021-02-01,16.4,7.8,21.0,0.0,,150.0,7.6,,1013.1,
2021-02-02,15.6,7.4,20.4,0.0,,156.0,5.1,,1014.8,
2021-02-03,12.6,8.9,16.8,0.0,,178.0,3.6,,1016.9,
2021-02-04,13.3,6.9,19.0,0.0,,152.0,4.3,,1018.1,
2021-02-05,13.6,7.0,19.5,0.0,,160.0,3.9,,1020.2,
2021-02-06,13.7,6.6,20.5,0.0,,174.0,4.0,,1019.1,
2021-02-07,14.1,7.7,19.4,0.0,,192.0,4.7,,1018.5,
2021-02-08,16.5,11.5,21.5,0.0,,167.0,5.6,,1014.9,
2021-02-09,16.6,12.7,19.7,3.3,,172.0,3.7,,1017.1,
2021-02-10,14.0,7.6,17.4,0.0,,167.0,4.2,,1017.5,
2021-02-11,11.6,5.7,19.7,0.0,,191.0,5.7,,1015.7,
2021-02-12,10.1,5.9,14.4,1.5,,358.0,5.5,,1015.2,
