date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,9.7,6.5,15.4,,,2.0,1.3,,1014.1,
2021-01-02,8.0,1.6,14.2,,,10.0,1.4,,1021.8,
2021-01-03,9.9,5.1,13.8,0.3,,71.0,2.9,,1020.1,
2021-01-04,11.6,6.3,14.4,0.5,,28.0,3.8,,1016.8,
2021-01-05,11.4,8.8,30.0,9.9,10.0,144.0,7.3,,1011.1,
2021-01-06,9.1,3.2,15.1,0.0,,108.0,3.3,,1019.1,
2021-01-07,13.8,10.2,16.8,,,157.0,7.5,,1015.0,
2021-01-08,15.6,13.1,18.2,0.5,,166.0,11.3,,1010.8,
2021-01-09,6.9,3.9,16.5,1.8,,353.0,11.0,,1013.6,
2021-01-10,5.4,3.6,6.9,17.3,10.0,341.0,3.0,,1018.8,
2021-01-11,7.7,6.4,9.2,19.6,,331.0,2.5,,1014.1,
2021-01-12,7.1,5.4,8.5,39.1,30.0,338.0,5.4,,1009.4,
2021-01-13,5.3,3.4,8.2,51.1,,343.0,2.3,,1007.2,
2021-01-14,3.5,1.8,6.0,1.3,,321.0,3.5,,1009.5,
2021-01-15,2.8,0.6,6.6,0.0,,331.0,4.1,,1013.6,
2021-01-16,0.3,-1.9,2.6,,,352.0,3.6,,1013.5,
2021-01-17,-1.7,-3.4,0.4,0.3,,352.0,4.9,,1015.5,
2021-01-18,-2.3,-6.3,1.7,0.0,,329.0,1.3,,1021.6,
2021-01-19,-1.8,-5.8,2.0,,,338.0,1.5,,1024.7,
2021-01-20,0.3,-5.0,6.2,,,9.0,1.3,,1025.3,
2021-01-21,5.1,-1.5,12.5,0.0,,3.0,2.6,,1024.7,
2021-01-22,7.7,0.9,15.3,,,69.0,3.8,,1020.6,
2021-01-23,12.1,10.0,14.3,,,153.0,8.6,,1014.1,
2021-01-24,12.2,9.2,16.6,15.5,20.0,163.0,9.9,,1006.8,
2021-01-25,11.3,6.5,15.4,0.5,,161.0,9.0,,1002.5,
2021-01-26,8.7,1.3,14.6,0.5,,149.0,6.5,,1003.9,
2021-01-27,1.0,0.6,1.8,47.2,30.0,331.0,7.8,,1004.4,
2021-01-28,2.2,-0.4,4.3,0.0,,298.0,3.9,,1011.8,
2021-01-29,3.6,-3.0,8.1,,,84.0,2.6,,1010.0,
2021-01-30,6.3,2.4,8.6,2.5,,20.0,5.6,,1000.6,
2021-01-31,9.4,0.6,14.5,2.3,,112.0,7.1,,1006.4,
2021-02-01,11.8,10.3,14.5,0.0,,151.0,11.1,,1003.5,
2021-02-02,12.0,9.3,16.2,23.9,,148.0,5.0,,1010.8,
2021-02-03,9.9,8.6,11.3,0.3,,348.0,0.9,,1016.2,
2021-02-04,10.1,3.8,18.9,0.0,,126.0,4.6,,1014.2,
2021-02-05,10.3,6.6,29.8,0.3,,107.0,3.8,,1012.7,
2021-02-06,10.6,7.0,20.4,0.0,,94.0,3.1,,1014.9,
2021-02-07,11.2,5.9,15.4,,,12.0,2.7,,1012.8,
2021-02-08,15.8,12.5,18.6,,,170.0,14.2,,1005.0,
2021-02-09,14.3,10.1,20.1,7.1,10.0,166.0,6.3,,1007.8,
2021-02-10,14.1,10.2,18.7,0.3,,163.0,7.5,,1009.7,
2021-02-11,14.9,12.2,18.6,,,172.0,11.2,,1006.8,
2021-02-12,2.9,-0.5,7.0,,,323.0,9.4,,1017.4,
2021-02-13,-0.1,-4.5,1.3,,,2.0,6.0,,1027.8,
2021-02-14,-3.6,-5.4,16.3,8.9,10.0,0.0,13.0,,1027.2,
2021-02-15,-0.3,-7.3,3.6,4.6,119.0,342.0,6.4,,1028.5,
2021-02-16,-0.8,-4.3,1.6,0.0,,355.0,7.9,,1026.9,
2021-02-17,-0.9,-7.8,3.4,,51.0,358.0,2.9,,1023.9,
2021-02-18,2.7,-0.4,5.3,20.1,,47.0,2.0,,1019.3,
2021-02-19,3.4,2.8,5.2,0.0,,94.0,3.6,,1028.5,
2021-02-20,4.3,1.7,7.5,,,113.0,2.7,,1028.3,
2021-02-21,4.6,2.1,10.1,,,359.0,2.5,,1031.7,
2021-02-22,6.0,-1.5,11.2,,,353.0,1.8,,1031.4,
2021-02-23,9.9,-0.3,18.1,,,343.0,2.0,,1030.5,
2021-02-24,9.7,2.0,14.8,,,2.0,4.5,,1033.1,
2021-02-25,10.6,2.9,16.6,,,3.0,2.7,,1034.2,
2021-02-26,11.2,1.7,18.0,,,6.0,1.8,,1028.5,
2021-02-27,13.4,2.2,21.7,,,0.0,2.1,,1020.1,
2021-02-28,8.4,6.3,12.0,,,3.0,4.2,,1027.4,
2021-03-01,5.4,-0.7,12.9,,,1.0,4.0,,1027.8,
2021-03-02,6.4,3.9,10.9,,,351.0,5.1,,1031.5,
2021-03-03,7.2,-1.9,16.5,,,6.0,3.2,,1029.5,
2021-03-04,7.4,-0.5,21.1,,,119.0,6.1,,1018.5,
2021-03-05,10.6,4.9,28.7,,,352.0,4.6,,1013.1,
2021-03-06,8.6,5.5,19.8,,,11.0,4.2,,1020.2,
2021-03-07,5.8,2.9,10.5,,,11.0,3.9,,1026.7,
2021-03-08,6.5,-1.9,14.0,,,131.0,3.3,,1017.6,
2021-03-09,8.2,2.1,14.4,,,33.0,2.1,,1017.3,
2021-03-10,7.6,2.0,14.3,,,33.0,3.3,,1013.5,
2021-03-11,3.2,0.7,6.9,9.7,10.0,359.0,9.8,,1017.5,
2021-03-12,4.0,-3.0,10.3,0.5,,90.0,2.5,,1021.7,
2021-03-13,8.2,0.6,16.3,0.0,,5.0,1.8,,1016.4,
2021-03-14,10.4,3.8,18.3,,,127.0,3.9,,1012.6,
2021-03-15,12.5,8.5,17.9,,,154.0,8.5,,1001.5,
2021-03-16,6.9,5.2,9.9,6.9,10.0,290.0,7.6,,998.5,
2021-03-17,6.1,5.3,7.6,1.0,,303.0,5.5,,1002.9,
2021-03-18,7.4,4.8,10.5,,,307.0,2.0,,1010.6,
2021-03-19,5.3,2.1,7.8,,,354.0,2.3,,1014.5,
2021-03-20,6.2,2.1,10.1,,,44.0,2.9,,1017.6,
2021-03-21,5.3,4.1,6.6,,,26.0,2.2,,1014.2,
2021-03-22,4.8,3.3,5.9,,,351.0,5.1,,1003.2,
2021-03-23,4.7,1.7,8.6,,,355.0,8.9,,1010.7,
2021-03-24,2.2,-0.4,6.1,,,358.0,4.6,,1013.3,
2021-03-25,3.3,-2.2,8.8,,,357.0,2.8,,1019.2,
2021-03-26,5.7,-1.3,14.4,,,350.0,1.6,,1023.3,
2021-03-27,7.8,-0.4,16.2,,,90.0,3.1,,1026.7,
2021-03-28,10.5,1.5,20.7,,,69.0,2.9,,1027.4,
2021-03-29,12.8,8.8,17.5,,,6.0,1.5,,1029.0,
2021-03-30,9.6,4.6,15.1,,,0.0,7.0,,1027.9,
2021-03-31,8.5,4.3,14.2,,,14.0,8.0,,1025.2,
2021-04-01,8.4,3.4,14.5,,,22.0,4.5,,1019.9,
2021-04-02,10.2,1.6,18.5,,,128.0,7.0,,1013.9,
2021-04-03,13.9,8.2,20.4,,,142.0,7.9,,1011.2,
2021-04-04,9.6,7.1,13.1,,,13.0,5.7,,1012.5,
