date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,-13.0,-20.0,-4.0,,71.0,301.0,2.9,,1024.5,
2021-01-02,-7.6,-16.3,-1.0,,61.0,0.0,3.1,,1027.0,
2021-01-03,-11.8,-18.0,-6.0,,61.0,16.0,2.0,,1027.5,
2021-01-04,-6.4,-18.0,3.0,,51.0,84.0,23.3,,1026.7,
2021-01-05,-8.6,-15.0,-4.0,,51.0,108.0,19.7,,1026.1,
2021-01-06,-11.2,-17.0,-4.7,,51.0,302.0,3.1,,1027.5,
2021-01-07,-12.8,-19.2,-3.7,,51.0,10.0,3.7,,1026.9,
2021-01-08,-11.7,-20.0,-4.9,0.0,30.0,353.0,2.2,,1025.5,
2021-01-09,-10.9,-18.7,-3.0,,30.0,239.0,3.8,,1024.6,
2021-01-10,-7.8,-18.1,-2.0,,30.0,20.0,3.5,,1023.7,
2021-01-11,3.2,-3.5,7.0,,30.0,252.0,14.1,,1023.1,
2021-01-12,3.4,-0.2,6.5,,30.0,252.0,13.3,,1023.9,
2021-01-13,5.2,-0.4,8.0,,,153.0,11.2,,1016.7,
2021-01-14,2.6,2.0,5.1,0.0,,144.0,18.0,,1006.1,
2021-01-15,-1.1,-3.0,3.5,1.3,10.0,267.0,17.3,,1007.3,
2021-01-16,0.9,-2.8,3.0,1.8,,298.0,9.9,,1010.7,
2021-01-17,1.6,-1.0,3.0,0.0,10.0,225.0,13.0,,1004.9,
2021-01-18,-4.4,-8.0,1.0,0.5,,267.0,15.0,,1005.9,
2021-01-19,-10.8,-16.0,-8.0,4.3,,302.0,5.3,,1011.8,
2021-01-20,-13.8,-22.0,-8.0,3.6,191.0,283.0,7.3,,1013.5,
2021-01-21,-21.2,-28.2,-12.2,0.0,160.0,5.0,2.5,,1024.7,
2021-01-22,-21.6,-28.9,-14.0,,,70.0,3.9,,1029.1,
2021-01-23,-18.7,-25.3,-11.9,,119.0,69.0,7.4,,1025.9,
2021-01-24,-16.1,-24.5,-8.0,,89.0,42.0,3.0,,1024.1,
2021-01-25,-11.8,-20.7,-4.0,,61.0,306.0,3.2,,1022.3,
2021-01-26,-10.3,-17.2,-2.7,,61.0,340.0,3.8,,1023.1,
2021-01-27,-4.1,-14.2,3.0,,51.0,37.0,5.6,,1018.7,
2021-01-28,0.6,-3.3,3.1,,41.0,18.0,10.7,,1011.0,
2021-01-29,-1.2,-5.2,1.0,,30.0,38.0,13.4,,1007.6,
2021-01-30,-3.8,-9.2,-1.0,,,258.0,15.2,,1010.2,
2021-01-31,-1.2,-10.2,0.0,80.0,,272.0,8.3,,1015.0,
2021-02-01,-3.4,-11.0,4.5,0.8,79.0,270.0,11.7,,1023.8,
2021-02-02,-10.2,-16.7,-2.0,0.0,71.0,94.0,3.1,,1026.5,
2021-02-03,-8.9,-14.8,-3.0,59.9,,29.0,1.7,,1023.9,
2021-02-04,-3.8,-11.1,1.0,0.0,61.0,39.0,5.2,,1020.8,
2021-02-05,-0.9,-5.0,4.0,0.3,,263.0,12.1,,1017.7,
2021-02-06,-5.6,-12.5,2.0,0.3,71.0,26.0,4.9,,1020.0,
2021-02-07,-5.4,-14.2,3.0,0.0,61.0,45.0,4.2,,1020.0,
2021-02-08,0.0,-8.1,7.0,,51.0,316.0,6.9,,1023.2,
2021-02-09,2.5,0.0,8.0,1.8,,257.0,14.0,,1023.9,
2021-02-10,1.3,-2.7,7.4,0.0,20.0,264.0,9.7,,1021.3,
2021-02-11,1.2,-3.0,7.3,,,270.0,6.4,,1021.1,
2021-02-12,0.5,-5.0,6.0,,,235.0,8.0,,1017.4,
2021-02-13,2.0,-1.0,6.1,,,273.0,13.4,,1016.6,
2021-02-14,3.9,-1.6,8.0,,10.0,251.0,14.5,,1018.9,
2021-02-15,5.9,2.7,9.0,,,234.0,13.5,,1014.4,
2021-02-16,4.3,0.0,8.2,1.5,,229.0,17.8,,1005.5,
2021-02-17,-5.3,-9.0,1.0,12.2,10.0,299.0,15.1,,1000.6,
2021-02-18,-9.2,-13.0,-5.9,2.5,,306.0,8.9,,1009.0,
2021-02-19,-15.8,-24.0,-7.0,5.1,150.0,317.0,4.0,,1017.0,
2021-02-20,-12.5,-22.0,-8.0,,,276.0,7.6,,1019.9,
2021-02-21,-23.1,-25.0,-8.6,1.8,150.0,298.0,3.1,,1025.0,
2021-02-22,-18.2,-28.2,-9.0,0.0,140.0,359.0,2.4,,1026.7,
2021-02-23,-9.7,-22.4,0.5,,130.0,276.0,4.5,,1024.5,
2021-02-24,-5.7,-9.7,1.0,,119.0,350.0,8.1,,1022.8,
2021-02-25,-6.7,-10.2,-1.0,,89.0,350.0,8.0,,1024.6,
2021-02-26,-9.9,-17.6,-1.0,,79.0,16.0,2.9,,1024.1,
2021-02-27,-10.1,-17.5,-2.0,,71.0,356.0,2.0,,1020.0,
2021-02-28,-7.8,-16.3,-1.0,,61.0,350.0,1.9,,1016.3,
2021-03-01,-4.9,-10.0,-1.0,0.5,79.0,19.0,9.3,,1017.4,
2021-03-02,-7.1,-10.4,-2.0,0.0,79.0,50.0,4.7,,1021.6,
2021-03-03,-6.6,-16.7,2.0,70.1,,225.0,8.5,,1019.1,
2021-03-04,-5.9,-13.4,-0.9,0.0,61.0,356.0,9.7,,1018.9,
2021-03-05,-7.2,-15.0,0.0,,51.0,42.0,3.9,,1019.3,
2021-03-06,-4.7,-15.0,2.0,,41.0,34.0,4.2,,1022.2,
2021-03-07,1.2,-4.2,4.0,39.9,,265.0,12.9,,1015.6,
2021-03-08,-4.7,-14.0,0.0,9.9,10.0,236.0,11.9,,1011.4,
2021-03-09,-9.9,-23.2,-1.0,4.3,99.0,291.0,5.1,,1014.9,
2021-03-10,-2.5,-14.2,3.6,0.0,99.0,286.0,9.0,,1015.8,
2021-03-11,1.3,-0.7,4.0,10.7,10.0,268.0,7.7,,1005.0,
2021-03-12,-6.6,-13.0,0.0,5.8,10.0,345.0,9.0,,1007.0,
2021-03-13,-9.9,-22.0,-4.9,3.3,201.0,297.0,3.8,,1018.2,
2021-03-14,-2.8,-9.2,2.0,0.0,180.0,354.0,2.3,,1017.7,
2021-03-15,-0.6,-5.7,0.2,,,84.0,12.0,,1014.0,
2021-03-16,3.6,-0.3,7.0,5.3,,241.0,11.7,,1010.1,
