date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,13.9,10.4,19.6,,,,,,,
2021-01-02,12.1,9.0,15.1,0.0,,222.0,7.4,,1025.9,
2021-01-03,10.2,8.5,12.6,0.0,,173.0,5.5,,1026.6,
2021-01-04,10.3,7.3,13.2,0.0,,170.0,10.2,,1022.1,
2021-01-05,14.3,10.7,18.1,0.0,,192.0,18.9,,1018.1,
2021-01-06,12.7,8.7,16.6,0.5,,163.0,8.4,,1024.4,
2021-01-07,12.2,9.3,16.6,0.0,,174.0,13.1,,1020.8,
2021-01-08,14.6,11.3,16.1,0.0,,173.0,14.6,,1018.5,
2021-01-09,17.0,13.6,21.3,0.0,,181.0,23.4,,1016.2,
2021-01-10,11.9,10.0,18.4,2.5,,221.0,12.5,,1018.4,
2021-01-11,11.8,9.7,16.8,4.1,,105.0,4.8,,1018.3,
2021-01-12,17.3,11.9,21.5,0.3,,152.0,11.5,,1014.6,
2021-01-13,16.6,9.2,21.4,0.0,,220.0,18.4,,1003.5,
2021-01-14,8.9,6.8,9.7,24.1,20.0,208.0,8.0,,1006.1,
2021-01-15,8.1,4.8,9.6,1.0,,210.0,10.7,,1010.7,
2021-01-16,7.2,5.4,7.7,13.5,,186.0,7.7,,1013.5,
2021-01-17,7.1,3.7,9.9,0.3,,233.0,11.3,,1002.8,
2021-01-18,3.8,2.0,6.8,48.0,20.0,263.0,12.9,,1015.9,
2021-01-19,3.3,0.6,6.4,1.3,,192.0,9.1,,1022.4,
2021-01-20,3.6,1.2,5.4,0.0,,229.0,9.1,,1025.6,
2021-01-21,6.7,2.7,9.8,0.3,,160.0,13.3,,1030.4,
2021-01-22,9.6,5.1,13.6,0.0,,172.0,13.4,,1028.7,
2021-01-23,9.8,7.0,11.9,0.0,,169.0,14.1,,1023.4,
2021-01-24,11.4,7.3,14.9,0.0,,183.0,12.2,,1017.7,
2021-01-25,14.1,9.8,17.2,0.0,,184.0,22.4,,1015.8,
2021-01-26,16.2,12.6,18.4,0.0,,176.0,29.0,,1015.3,
2021-01-27,19.7,14.7,22.0,0.0,,132.0,16.3,,1005.9,
2021-01-28,9.7,5.5,14.4,8.0,,5.0,9.9,,1007.2,
2021-01-29,6.9,4.1,8.1,7.5,10.0,177.0,5.0,,1014.0,
2021-01-30,9.9,5.1,12.0,0.0,,143.0,12.0,,1009.4,
2021-01-31,11.2,8.3,13.2,0.0,,178.0,7.6,,1011.7,
2021-02-01,12.3,8.0,16.2,0.0,,184.0,22.9,,1016.0,
2021-02-02,14.6,11.3,20.2,0.0,,184.0,26.0,,1018.3,
2021-02-03,14.9,12.3,19.1,0.0,,191.0,13.5,,1017.3,
2021-02-04,13.2,11.7,14.8,0.1,,159.0,8.9,,1016.3,
2021-02-05,12.1,9.3,14.9,5.6,10.0,224.0,11.7,,1019.3,
2021-02-06,11.4,8.0,15.5,1.8,,150.0,8.5,,1018.3,
2021-02-07,11.4,8.5,13.5,0.0,,181.0,7.6,,1016.9,
2021-02-08,14.5,8.0,19.1,0.0,,172.0,9.9,,1014.3,
2021-02-09,17.7,15.2,25.3,0.0,,167.0,24.1,,1013.8,
2021-02-10,15.4,10.0,20.2,0.0,,192.0,16.4,,1014.6,
2021-02-11,14.0,9.5,18.4,0.0,,162.0,14.4,,1015.6,
2021-02-12,14.0,5.9,19.1,8.0,,217.0,21.4,,1011.3,
2021-02-13,5.2,4.7,6.9,13.4,,339.0,6.8,,1024.2,
2021-02-14,6.7,3.8,8.6,2.8,10.0,174.0,11.6,,1022.9,
2021-02-15,4.8,2.1,7.6,17.8,,286.0,12.7,,1019.1,
2021-02-16,0.4,0.4,1.3,36.6,20.0,318.0,7.4,,1017.8,
2021-02-17,1.1,-0.9,3.3,17.8,10.0,270.0,16.1,,1016.2,
2021-02-18,2.7,-0.7,7.6,0.0,150.0,195.0,14.3,,1020.5,
2021-02-19,4.0,1.6,2.9,5.5,71.0,218.0,11.8,,1024.4,
2021-02-20,-0.2,-5.7,4.0,0.0,,209.0,8.0,,1031.5,
2021-02-21,4.6,1.5,8.5,0.0,,187.0,7.8,,1032.6,
2021-02-22,6.4,3.4,9.7,0.0,,201.0,7.3,,1031.7,
2021-02-23,7.8,4.6,11.3,0.0,,222.0,6.7,,1031.0,
2021-02-24,7.7,5.1,10.7,1.7,,259.0,8.9,,1031.5,
2021-02-25,6.9,6.3,9.5,1.0,,294.0,11.0,,1034.0,
2021-02-26,6.7,4.5,9.9,0.0,,153.0,5.5,,1031.0,
