date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,9.4,1.5,10.3,,,,1.4,,1023.2,
2021-01-02,9.3,4.2,9.3,,,,1.4,,1025.2,
2021-01-03,8.5,3.1,10.8,,,,1.1,,1024.9,
2021-01-04,8.0,1.4,9.8,,,,0.8,,1024.4,
2021-01-05,7.9,1.0,8.9,,,,1.5,,1025.5,
2021-01-06,7.1,2.2,9.8,,,,1.1,,1026.9,
2021-01-07,7.9,0.8,9.7,,,,0.6,,1026.0,
2021-01-08,8.6,0.9,9.0,,,,0.7,,1025.6,
2021-01-09,8.4,1.4,9.7,,,,0.9,,1025.0,
2021-01-10,8.6,1.7,9.8,,,,0.6,,1025.7,
2021-01-11,9.5,3.0,10.9,,,,0.9,,1026.2,
2021-01-12,11.0,5.1,12.7,,,,1.0,,1024.7,
2021-01-13,11.4,7.4,11.7,,,,3.8,,1015.1,
2021-01-14,6.7,4.6,7.9,,,51.0,2.6,,1006.0,
2021-01-15,7.1,1.9,7.4,,,,2.6,,1011.4,
2021-01-16,8.3,4.4,6.5,,,,2.1,,1013.2,
2021-01-17,7.7,4.2,6.6,,,,2.7,,1006.0,
2021-01-18,5.9,1.2,4.8,,,313.0,3.1,,1011.6,
2021-01-19,0.7,-4.3,2.5,,,24.0,2.8,,1016.6,
2021-01-20,0.8,-8.4,-2.8,,,12.0,4.6,,1020.2,
2021-01-21,1.4,-9.8,-2.5,,,7.0,2.7,,1031.6,
2021-01-22,1.9,-7.0,-0.5,,,,1.4,,1033.3,
2021-01-23,2.6,-6.2,1.9,,,,1.3,,1028.8,
2021-01-24,2.9,-5.8,3.5,,,,2.1,,1026.6,
2021-01-25,4.1,-4.9,4.1,,,,1.7,,1025.7,
2021-01-26,5.9,-2.0,5.9,,,,1.4,,1025.6,
2021-01-27,8.9,-0.2,6.4,,,,4.4,,1019.6,
2021-01-28,5.9,3.4,6.0,,,,4.1,,1013.2,
2021-01-29,2.1,-1.3,3.4,,,,2.2,,1012.5,
2021-01-30,3.8,-4.6,3.1,,,,2.6,,1017.3,
2021-01-31,5.6,2.2,6.3,,,86.0,2.6,,1017.0,
2021-02-01,6.8,0.5,7.3,,,,1.8,,1028.3,
2021-02-02,8.5,1.4,10.0,,,,2.1,,1027.4,
2021-02-03,8.8,2.2,10.1,,,,1.8,,1023.2,
2021-02-04,9.4,4.5,11.2,,,,1.7,,1020.1,
2021-02-05,8.9,3.4,11.6,,,,1.7,,1018.9,
2021-02-06,8.9,0.8,10.6,,,,1.7,,1021.1,
2021-02-07,11.1,1.1,11.1,,,,2.2,,1021.0,
2021-02-08,11.7,3.1,11.1,,,,2.0,,1024.1,
2021-02-09,13.1,5.3,13.8,,,,2.1,,1024.7,
2021-02-10,10.6,4.6,12.9,,,,2.1,,1021.5,
2021-02-11,7.2,2.9,12.6,,,,1.4,,1021.3,
2021-02-12,7.0,2.3,12.5,,,,2.0,,1017.4,
2021-02-13,11.8,4.1,11.3,,,,1.6,,1018.2,
2021-02-14,11.3,4.0,13.7,,,,2.4,,1019.5,
2021-02-15,10.8,4.2,12.3,,,,2.0,,1014.4,
