date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,3.5,-3.5,12.7,,,,,,,
2021-01-02,5.1,-1.9,13.4,0.0,,74.0,5.2,,1024.8,
2021-01-03,4.1,-1.8,12.6,0.0,,47.0,4.7,,1025.4,
2021-01-04,3.4,-2.4,11.4,0.0,,79.0,5.0,,1023.0,
2021-01-05,5.0,-1.4,12.0,3.5,,106.0,6.9,,1020.6,
2021-01-06,5.1,0.8,11.9,5.3,,114.0,4.6,,1024.9,
2021-01-07,4.1,-1.7,12.5,0.0,,104.0,4.8,,1023.4,
2021-01-08,5.8,1.7,13.5,0.0,,122.0,5.6,,1021.3,
2021-01-09,7.3,0.3,15.5,0.0,,142.0,6.7,,1020.2,
2021-01-10,9.9,5.7,15.4,0.8,,202.0,6.9,,1021.0,
2021-01-11,12.2,7.5,18.6,0.0,,202.0,6.6,,1021.0,
2021-01-12,14.6,7.7,19.1,0.5,,142.0,10.2,,1017.5,
2021-01-13,8.4,1.3,16.9,0.0,,161.0,12.8,,1006.6,
2021-01-14,2.0,-1.2,4.2,7.9,,222.0,5.6,,1007.1,
2021-01-15,0.8,-1.0,3.4,2.0,,215.0,7.3,,1012.1,
2021-01-16,1.9,-0.5,5.4,1.0,,105.0,5.9,,1010.5,
2021-01-17,0.9,-5.0,2.4,4.8,,258.0,8.9,,1004.7,
2021-01-18,-4.4,-7.3,-1.1,0.0,,262.0,7.9,,1017.8,
2021-01-19,-5.7,-9.5,-0.7,0.0,,37.0,7.7,,1022.6,
2021-01-20,-4.8,-9.6,0.2,0.0,,345.0,7.3,,1027.2,
2021-01-21,-3.1,-7.3,2.1,0.0,,153.0,4.2,,1034.2,
2021-01-22,-1.4,-7.6,6.0,0.0,,103.0,4.5,,1031.4,
2021-01-23,-0.5,-6.5,7.8,0.0,,117.0,5.5,,1025.9,
2021-01-24,2.2,-5.7,10.8,0.0,,143.0,7.9,,1021.2,
2021-01-25,4.1,-2.3,8.2,0.3,,148.0,10.2,,1019.2,
2021-01-26,8.2,5.6,10.5,0.1,,143.0,10.3,,1018.4,
2021-01-27,8.8,1.5,14.3,2.4,,139.0,15.1,,1007.3,
2021-01-28,1.4,-1.2,5.0,1.0,,245.0,13.5,,1009.0,
2021-01-29,-1.5,-5.1,4.8,0.0,,302.0,6.8,,1014.8,
2021-01-30,1.9,-5.0,6.8,6.9,,158.0,8.8,,1012.0,
2021-01-31,4.2,0.0,9.3,0.7,10.0,230.0,7.2,,1013.3,
2021-02-01,5.7,-0.9,14.1,0.0,,156.0,9.7,,1019.6,
2021-02-02,5.3,0.2,16.5,0.0,,119.0,7.9,,1021.1,
2021-02-03,6.8,0.8,15.0,0.0,,99.0,6.9,,1019.5,
2021-02-04,6.8,1.0,15.9,0.0,,44.0,5.0,,1018.1,
2021-02-05,5.7,-0.3,14.5,0.0,,286.0,4.7,,1020.2,
2021-02-06,6.3,-1.5,15.8,0.0,,156.0,5.1,,1020.7,
2021-02-07,8.3,0.3,18.5,0.0,,213.0,4.7,,1018.5,
2021-02-08,11.3,2.0,18.5,0.0,,188.0,6.4,,1017.8,
2021-02-09,11.6,5.1,18.0,0.0,,216.0,13.0,,1017.7,
2021-02-10,7.7,2.6,12.4,0.3,,176.0,8.7,,1017.7,
2021-02-11,6.5,0.6,15.8,0.0,,138.0,8.3,,1017.3,
2021-02-12,6.2,1.6,11.9,1.1,,230.0,11.3,,1013.7,
2021-02-13,5.9,-3.8,8.8,0.0,,277.0,7.6,,1022.6,
2021-02-14,7.9,-0.8,13.6,0.0,,79.0,7.4,,1016.3,
2021-02-15,4.6,-2.5,12.2,2.5,,183.0,13.3,,1012.5,
2021-02-16,-5.1,-6.3,-3.2,7.1,10.0,28.0,22.3,,1014.2,
2021-02-17,-7.2,-12.4,-4.1,1.0,,17.0,17.2,,1016.6,
2021-02-18,-7.4,-16.6,-1.7,50.0,,109.0,5.2,,1024.1,
2021-02-19,-4.1,-6.2,0.9,0.3,,224.0,7.8,,1027.3,
2021-02-20,-7.2,-12.9,-1.6,0.0,,65.0,6.5,,1032.4,
2021-02-21,-5.3,-10.8,1.2,0.0,20.0,63.0,5.9,,1033.7,
2021-02-22,-1.4,-8.6,6.5,0.0,10.0,88.0,3.1,,1033.3,
2021-02-23,1.6,-6.1,11.3,0.0,,93.0,3.0,,1031.5,
2021-02-24,4.6,-3.7,12.4,0.0,,43.0,6.4,,1027.6,
2021-02-25,3.7,0.7,7.4,0.0,,39.0,12.6,,1030.6,
2021-02-26,5.3,-3.6,10.3,0.0,,37.0,6.5,,1028.5,
2021-02-27,6.8,-3.2,13.5,0.0,,59.0,4.4,,1021.4,
2021-02-28,5.8,-3.4,12.2,0.4,,20.0,9.7,,1019.0,
2021-03-01,2.8,-0.8,6.4,0.1,,32.0,10.1,,1024.7,
2021-03-02,3.6,-2.2,8.1,0.0,,44.0,12.5,,1025.3,
2021-03-03,5.1,-1.3,12.7,0.0,,33.0,14.3,,1023.3,
2021-03-04,2.9,-2.2,11.3,0.0,,30.0,9.9,,1023.9,
2021-03-05,4.3,-5.6,15.7,0.0,,164.0,5.6,,1022.1,
2021-03-06,7.0,-1.7,16.8,0.0,,205.0,8.1,,1020.6,
