date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,8.8,4.4,,,,,,,,
2021-01-02,7.0,1.1,11.2,0.0,,189.0,6.3,,1024.0,
2021-01-03,4.4,-0.9,10.1,0.0,,205.0,6.3,,1024.4,
2021-01-04,6.3,-2.6,12.2,0.0,,186.0,8.5,,1020.3,
2021-01-05,8.2,1.9,9.2,5.1,10.0,198.0,10.1,,1017.7,
2021-01-06,4.9,0.0,9.3,1.3,,200.0,6.5,,1024.2,
2021-01-07,8.1,-1.3,11.2,0.0,,208.0,9.2,,1021.8,
2021-01-08,10.8,5.9,14.7,0.0,,201.0,10.7,,1018.6,
2021-01-09,11.1,7.7,11.9,2.3,,191.0,11.7,,1017.4,
2021-01-10,12.6,10.3,15.8,0.7,,207.0,12.8,,1019.0,
2021-01-11,14.8,11.0,17.2,0.0,,208.0,16.7,,1017.9,
2021-01-12,14.8,10.1,17.6,0.0,,190.0,17.0,,1012.9,
2021-01-13,3.3,0.6,11.3,43.2,41.0,281.0,10.2,,1005.9,
2021-01-14,0.6,-1.7,2.3,2.0,,302.0,6.3,,1008.5,
2021-01-15,-1.3,-5.1,0.1,4.6,,284.0,7.2,,1012.9,
2021-01-16,-2.1,-8.3,5.9,2.5,41.0,295.0,5.8,,1010.0,
2021-01-17,-3.2,-8.9,-2.5,18.3,20.0,342.0,9.4,,1010.8,
2021-01-18,-6.8,-13.6,-5.7,0.8,,318.0,4.8,,1021.3,
2021-01-19,-10.3,-18.8,-6.7,0.3,170.0,303.0,4.0,,1026.2,
2021-01-20,-9.0,-17.4,-2.3,0.0,140.0,231.0,4.6,,1029.7,
2021-01-21,-3.7,-10.6,1.8,0.0,119.0,210.0,6.6,,1031.4,
2021-01-22,2.6,-3.6,5.0,0.0,109.0,207.0,6.9,,1028.8,
2021-01-23,4.7,-1.0,6.4,0.0,79.0,198.0,7.4,,1022.8,
2021-01-24,6.6,3.2,9.1,0.3,,184.0,13.7,,1017.0,
2021-01-25,7.7,5.4,9.1,1.5,,191.0,21.9,,1012.9,
2021-01-26,9.9,6.2,11.2,6.1,,193.0,20.5,,1011.6,
2021-01-27,5.2,0.2,7.8,0.3,,199.0,18.2,,1001.4,
2021-01-28,-2.3,-9.8,-0.4,29.7,10.0,271.0,6.0,,1011.6,
2021-01-29,-2.6,-9.7,-0.5,1.5,180.0,227.0,7.4,,1016.9,
2021-01-30,2.2,-1.4,4.9,0.8,,189.0,12.3,,1007.1,
2021-01-31,4.9,0.4,10.3,30.5,,202.0,7.9,,1011.7,
2021-02-01,10.1,4.6,13.1,0.0,20.0,176.0,18.9,,1013.5,
2021-02-02,10.0,4.8,13.8,0.5,,175.0,14.7,,1016.2,
2021-02-03,9.4,3.0,14.5,0.0,,223.0,4.4,,1017.8,
2021-02-04,8.6,1.7,13.7,0.0,,233.0,6.1,,1017.9,
2021-02-05,8.1,0.6,14.7,0.0,,215.0,4.0,,1020.9,
2021-02-06,9.9,0.0,16.3,0.0,,214.0,8.2,,1018.7,
2021-02-07,12.7,3.0,18.6,0.0,,217.0,11.0,,1017.3,
2021-02-08,13.3,6.8,16.1,0.5,,187.0,15.6,,1013.7,
2021-02-09,12.1,7.7,13.7,7.9,10.0,211.0,19.9,,1015.5,
2021-02-10,9.0,6.2,12.5,2.3,,217.0,16.5,,1016.0,
2021-02-11,8.1,2.7,15.1,0.0,,197.0,12.0,,1014.4,
2021-02-12,4.4,-0.2,7.7,1.3,,267.0,14.6,,1015.1,
2021-02-13,3.3,-4.1,7.4,0.5,,342.0,4.8,,1023.1,
2021-02-14,3.5,-2.7,7.7,8.1,,290.0,9.0,,1017.7,
2021-02-15,-3.7,-5.7,-3.3,24.9,20.0,7.0,16.6,,1020.8,
2021-02-16,-4.8,-7.7,-3.0,8.4,,8.0,20.0,,1019.7,
2021-02-17,-4.9,-8.5,-2.5,0.0,201.0,8.0,13.5,,1021.3,
2021-02-18,-4.8,-14.2,1.1,0.6,,223.0,5.0,,1022.2,
2021-02-19,0.2,-2.0,0.5,150.1,,343.0,6.1,,1028.1,
2021-02-20,-5.6,-13.2,1.1,0.0,,188.0,4.5,,1030.3,
2021-02-21,-0.4,-12.0,3.6,0.0,,244.0,4.0,,1031.0,
2021-02-22,1.6,-8.1,4.8,0.0,79.0,252.0,5.6,,1031.4,
2021-02-23,5.7,-4.5,8.3,0.0,51.0,276.0,5.1,,1030.9,
2021-02-24,6.2,-2.1,10.3,0.0,,344.0,7.8,,1029.9,
2021-02-25,5.0,0.9,8.0,0.0,,14.0,12.1,,1032.5,
2021-02-26,6.9,-2.4,12.3,0.0,10.0,341.0,5.1,,1028.2,
2021-02-27,8.3,-2.8,14.4,0.0,,200.0,5.4,,1020.3,
2021-02-28,2.4,-2.3,5.4,1.0,,3.0,10.4,,1024.2,
2021-03-01,2.4,-1.7,5.8,0.0,,20.0,9.6,,1027.1,
2021-03-02,0.7,-0.4,3.7,1.5,,8.0,12.0,,1028.0,
2021-03-03,3.7,-0.6,7.0,3.3,,11.0,15.2,,1028.1,
2021-03-04,5.2,-4.8,10.8,0.0,,8.0,3.6,,1024.7,
2021-03-05,9.6,-4.5,18.0,0.0,,215.0,9.0,,1019.5,
2021-03-06,8.2,1.9,9.9,3.9,,241.0,8.7,,1021.6,
2021-03-07,1.9,0.0,5.8,2.3,,18.0,9.1,,1023.7,
2021-03-08,4.3,-2.4,9.3,0.0,,322.0,4.9,,1018.7,
2021-03-09,7.6,-2.8,11.0,0.0,,344.0,4.2,,1017.5,
2021-03-10,8.3,-1.4,12.1,1.4,,222.0,5.8,,1013.3,
2021-03-11,1.8,-1.8,7.5,12.1,,289.0,12.6,,1010.8,
2021-03-12,3.7,-3.5,7.5,0.0,,357.0,6.0,,1021.2,
2021-03-13,10.3,-2.6,14.7,0.0,,219.0,7.0,,1017.3,
2021-03-14,8.7,1.3,14.3,0.0,,223.0,6.2,,1014.5,
2021-03-15,10.2,2.8,13.6,1.0,,200.0,10.8,,1007.0,
2021-03-16,4.2,2.3,6.8,14.5,10.0,212.0,19.2,,1003.6,
2021-03-17,4.1,1.5,6.5,10.9,,216.0,15.0,,1005.4,
2021-03-18,2.0,-2.3,6.5,0.7,,230.0,12.7,,1012.0,
2021-03-19,3.1,-0.6,5.5,3.3,,206.0,12.8,,1015.4,
2021-03-20,4.9,3.6,6.5,9.4,,234.0,5.3,,1016.8,
2021-03-21,11.1,2.8,14.4,14.0,,232.0,8.9,,1010.0,
2021-03-22,13.6,4.7,18.1,0.0,,209.0,15.8,,1001.6,
2021-03-23,3.5,-1.2,9.3,11.7,,353.0,13.9,,1004.2,
2021-03-24,-1.3,-2.8,0.1,15.5,,356.0,15.0,,1009.6,
2021-03-25,-1.5,-3.9,0.0,1.0,41.0,353.0,11.7,,1017.3,
2021-03-26,-0.7,-5.0,1.2,0.8,20.0,316.0,10.2,,1024.6,
2021-03-27,2.5,-2.0,8.3,0.0,,347.0,7.7,,1028.6,
2021-03-28,4.7,-2.3,12.2,0.0,,252.0,5.0,,1029.5,
2021-03-29,6.9,-1.4,12.8,5.5,,339.0,7.2,,1028.7,
2021-03-30,3.2,-1.1,7.0,4.9,,1.0,10.4,,1024.8,
2021-03-31,3.1,0.6,4.6,3.0,,15.0,15.8,,1019.7,
2021-04-01,2.9,0.6,4.1,4.6,,14.0,11.6,,1017.0,
2021-04-02,7.7,2.1,11.1,0.0,,282.0,5.9,,1016.1,
2021-04-03,13.8,2.5,17.8,0.0,,224.0,10.9,,1015.5,
2021-04-04,13.3,5.9,16.8,0.0,,206.0,15.6,,1015.2,
2021-04-05,11.7,10.1,13.8,3.3,,216.0,19.8,,1012.3,
2021-04-06,16.6,8.0,20.5,19.8,,191.0,15.4,,1009.3,
2021-04-07,16.9,8.2,19.9,0.0,,214.0,17.1,,1008.3,
2021-04-08,7.7,1.2,13.1,6.5,,229.0,14.8,,1012.5,
2021-04-09,0.1,-3.0,2.9,2.9,,3.0,19.1,,1023.9,
2021-04-10,-0.3,-3.5,4.4,0.0,,2.0,20.0,,1025.8,
2021-04-11,0.6,-3.0,4.7,0.0,,4.0,14.5,,1025.4,
2021-04-12,3.1,0.2,4.2,3.0,,352.0,7.9,,1024.6,
2021-04-13,10.4,0.0,16.1,2.3,,240.0,4.2,,1019.4,
2021-04-14,14.5,6.8,18.7,0.0,,216.0,12.6,,1015.6,
2021-04-15,14.4,4.2,19.1,0.6,,227.0,10.0,,1015.6,
2021-04-16,13.4,8.6,17.0,0.0,,247.0,7.4,,1015.9,
2021-04-17,19.3,8.5,25.4,0.3,,206.0,11.1,,1014.3,
2021-04-18,16.5,11.4,20.9,3.0,,196.0,16.3,,1015.2,
2021-04-19,11.8,8.4,13.9,11.4,10.0,210.0,9.7,,1014.5,
2021-04-20,11.7,5.2,16.4,5.3,,238.0,12.3,,1012.3,
2021-04-21,11.1,2.0,15.9,0.0,,250.0,5.9,,1017.7,
2021-04-22,12.4,2.4,17.6,0.0,,328.0,4.8,,1021.9,
2021-04-23,15.6,2.7,21.8,0.0,,240.0,8.4,,1020.6,
2021-04-24,14.5,8.8,18.3,0.3,,20.0,5.9,,1018.9,
2021-04-25,12.3,7.6,18.5,11.7,10.0,23.0,7.0,,1012.9,
2021-04-26,8.2,2.4,10.1,14.0,,12.0,12.4,,1015.8,
2021-04-27,14.9,0.0,23.0,0.0,,210.0,7.0,,1015.5,
2021-04-28,20.5,7.6,26.3,0.1,,221.0,11.7,,1014.5,
2021-04-29,23.0,14.6,27.3,0.1,,220.0,12.9,,1014.9,
2021-04-30,21.3,15.1,26.1,0.0,,259.0,8.5,,1017.5,
