date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,13.5,,15.5,6.9,,,,,,
2021-01-02,13.9,11.0,18.1,11.2,,131.0,7.0,,1021.6,
2021-01-03,13.7,10.0,16.0,0.0,,132.0,7.0,,1021.9,
2021-01-04,15.3,10.4,18.8,0.3,,132.0,12.1,,1017.0,
2021-01-05,13.9,10.7,17.0,24.6,,156.0,9.6,,1016.6,
2021-01-06,13.8,8.8,16.7,0.0,,133.0,6.9,,1022.6,
2021-01-07,14.7,10.2,17.3,0.0,,130.0,9.0,,1021.2,
2021-01-08,16.6,13.1,19.7,0.0,,142.0,14.0,,1018.3,
2021-01-09,16.3,12.8,17.6,0.3,,139.0,16.5,,1016.4,
2021-01-10,18.3,16.0,21.0,0.5,,142.0,15.7,,1018.7,
2021-01-11,20.7,17.8,22.5,0.3,,152.0,18.5,,1018.2,
2021-01-12,19.1,15.5,21.6,0.0,,152.0,21.6,,1012.7,
2021-01-13,12.3,10.0,15.2,32.3,,302.0,9.6,,1006.7,
2021-01-14,9.8,7.5,12.6,10.9,,327.0,6.7,,1008.5,
2021-01-15,7.6,2.6,10.5,11.7,,42.0,10.3,,1011.1,
2021-01-16,4.3,1.5,7.4,0.3,,21.0,6.9,,1008.0,
2021-01-17,4.8,-0.3,7.2,8.1,,4.0,9.5,,1011.3,
2021-01-18,3.8,1.5,6.7,0.0,,31.0,9.4,,1018.3,
2021-01-19,3.8,-0.8,7.0,0.0,,3.0,8.7,,1022.3,
2021-01-20,4.8,-1.6,9.7,0.0,,8.0,5.1,,1028.1,
2021-01-21,8.6,3.1,11.7,0.0,,131.0,8.3,,1029.6,
2021-01-22,11.8,8.9,13.7,0.0,,135.0,11.3,,1027.3,
2021-01-23,12.1,10.6,14.2,2.6,,141.0,13.5,,1021.0,
2021-01-24,14.3,11.3,17.5,10.4,,142.0,15.7,,1015.2,
2021-01-25,15.1,12.8,17.3,22.6,,156.0,17.3,,1011.8,
2021-01-26,16.7,13.5,18.5,12.4,,156.0,18.5,,1010.9,
2021-01-27,9.4,3.0,13.6,19.1,,266.0,16.2,,1002.0,
2021-01-28,4.0,0.4,7.2,5.6,,17.0,6.0,,1012.5,
2021-01-29,6.0,0.6,8.8,4.1,,112.0,9.5,,1015.7,
2021-01-30,11.5,7.2,16.8,4.8,,132.0,14.8,,1005.0,
2021-01-31,13.3,6.9,16.3,16.0,,134.0,11.1,,1010.6,
2021-02-01,17.6,12.9,19.8,0.0,,149.0,24.0,,1010.2,
2021-02-02,12.8,12.1,15.9,124.0,,144.0,9.5,,1014.4,
2021-02-03,14.6,10.0,18.4,30.7,,76.0,3.7,,1017.4,
2021-02-04,14.6,8.8,19.1,0.0,,106.0,3.4,,1018.1,
2021-02-05,14.4,8.2,19.4,0.0,,32.0,4.0,,1019.6,
2021-02-06,16.1,9.9,20.9,0.0,,134.0,8.4,,1018.9,
2021-02-07,16.7,12.3,20.7,0.0,,141.0,14.6,,1017.9,
2021-02-08,18.2,15.3,21.2,0.0,,155.0,23.8,,1013.2,
2021-02-09,16.8,15.1,18.2,3.8,,163.0,15.9,,1016.2,
2021-02-10,16.9,13.2,17.9,7.1,,147.0,12.7,,1016.7,
2021-02-11,14.6,12.4,18.7,5.8,,149.0,19.7,,1014.1,
2021-02-12,11.5,7.3,13.2,8.8,,294.0,10.0,,1016.0,
2021-02-13,11.4,5.1,13.8,0.1,,37.0,6.6,,1020.6,
2021-02-14,7.8,4.3,11.3,2.3,,88.0,10.8,,1014.5,
2021-02-15,5.3,4.2,6.5,12.7,,26.0,22.0,,1017.1,
2021-02-16,3.6,0.3,4.8,0.0,,4.0,25.2,,1017.4,
2021-02-17,3.9,0.0,7.0,0.0,,355.0,16.1,,1020.4,
2021-02-18,4.9,-0.7,7.8,0.0,,27.0,4.2,,1021.2,
2021-02-19,8.7,3.0,12.5,0.0,,22.0,6.8,,1026.1,
2021-02-20,6.7,2.1,11.7,0.0,,9.0,5.9,,1026.7,
2021-02-21,10.4,5.1,14.9,0.0,,32.0,6.8,,1025.9,
2021-02-22,10.4,2.5,14.7,0.0,,358.0,6.9,,1028.3,
2021-02-23,12.7,4.3,17.8,0.0,,1.0,6.8,,1027.9,
2021-02-24,13.7,5.5,20.2,0.0,,5.0,11.2,,1026.9,
2021-02-25,13.2,8.5,16.7,0.0,,19.0,14.5,,1027.1,
2021-02-26,13.9,7.8,18.3,0.0,,6.0,6.2,,1024.6,
2021-02-27,13.3,6.0,18.0,0.0,,357.0,5.4,,1018.9,
2021-02-28,13.3,7.3,17.7,0.0,,9.0,13.2,,1020.8,
2021-03-01,11.3,5.1,15.0,0.0,,356.0,10.7,,1024.3,
2021-03-02,9.7,7.4,12.4,0.0,,9.0,15.0,,1025.9,
2021-03-03,12.3,6.6,17.3,0.0,,358.0,13.7,,1025.1,
2021-03-04,11.4,3.3,15.9,0.0,,345.0,8.3,,1022.8,
2021-03-05,15.1,5.4,21.7,1.3,,123.0,8.4,,1020.4,
2021-03-06,16.1,12.5,19.7,0.0,,142.0,9.9,,1021.4,
2021-03-07,12.1,6.0,15.5,0.0,,26.0,10.5,,1021.6,
2021-03-08,10.3,2.1,15.1,0.0,,342.0,6.8,,1018.7,
2021-03-09,14.2,7.1,19.7,0.0,,55.0,4.4,,1015.3,
2021-03-10,15.1,8.4,20.1,0.0,,40.0,4.0,,1011.5,
2021-03-11,10.5,5.5,13.7,2.0,,62.0,12.2,,1010.2,
2021-03-12,9.4,4.5,12.9,17.8,,338.0,9.9,,1020.6,
2021-03-13,12.3,4.4,17.6,0.0,,69.0,4.1,,1018.1,
2021-03-14,14.2,8.4,16.6,0.0,,137.0,9.6,,1015.0,
2021-03-15,15.4,12.2,18.6,0.5,,160.0,16.5,,1006.6,
2021-03-16,13.3,7.8,16.6,4.8,,170.0,10.0,,1004.2,
2021-03-17,11.4,7.6,14.7,6.9,,186.0,8.6,,1006.9,
2021-03-18,8.2,5.2,11.6,5.4,,104.0,7.3,,1013.1,
2021-03-19,10.3,6.9,16.3,9.9,,135.0,11.1,,1014.4,
2021-03-20,12.8,10.9,15.2,38.6,,147.0,9.2,,1014.6,
2021-03-21,17.2,12.9,21.3,5.8,,153.0,7.7,,1008.9,
2021-03-22,18.2,11.6,21.6,0.0,,164.0,16.0,,1001.6,
2021-03-23,10.2,5.2,13.3,16.6,,70.0,12.1,,1002.7,
2021-03-24,8.0,5.0,11.9,4.3,,346.0,13.8,,1009.6,
2021-03-25,6.7,3.3,10.6,0.5,,352.0,9.8,,1017.1,
2021-03-26,8.9,1.8,12.4,0.0,,340.0,8.4,,1024.2,
2021-03-27,11.7,3.5,16.1,0.0,,19.0,7.2,,1028.1,
2021-03-28,13.7,5.2,18.0,0.0,,342.0,6.7,,1029.0,
2021-03-29,15.4,6.5,20.5,0.0,,1.0,8.9,,1027.1,
2021-03-30,13.3,8.9,17.9,0.0,,1.0,15.2,,1022.8,
2021-03-31,12.1,7.7,16.3,0.0,,7.0,15.2,,1015.9,
2021-04-01,9.4,6.3,13.1,5.1,,11.0,11.0,,1014.8,
2021-04-02,12.1,4.5,19.5,0.0,,339.0,6.5,,1016.7,
2021-04-03,16.1,12.0,21.5,0.0,,147.0,15.8,,1016.2,
2021-04-04,15.1,11.2,19.6,2.3,,145.0,19.9,,1014.7,
2021-04-05,17.2,14.5,19.6,0.3,,153.0,14.5,,1013.0,
2021-04-06,19.8,14.6,25.2,3.0,,151.0,20.5,,1007.8,
2021-04-07,17.9,13.6,22.0,0.0,,163.0,17.2,,1010.1,
2021-04-08,14.1,7.5,20.4,0.0,,222.0,14.3,,1013.6,
2021-04-09,9.4,6.2,13.9,5.3,,0.0,18.3,,1022.8,
2021-04-10,10.8,6.1,15.8,0.0,,351.0,14.3,,1024.4,
2021-04-11,11.1,3.5,18.6,0.0,,346.0,10.4,,1023.3,
2021-04-12,12.5,5.7,17.9,0.0,,342.0,8.4,,1022.2,
2021-04-13,15.8,8.4,21.7,0.0,,144.0,5.5,,1019.1,
2021-04-14,17.7,13.9,22.0,0.0,,157.0,16.2,,1016.8,
2021-04-15,17.8,13.4,22.6,0.0,,149.0,11.5,,1016.0,
2021-04-16,17.8,15.1,22.1,0.0,,119.0,5.1,,1015.9,
2021-04-17,21.0,15.2,27.8,0.3,,133.0,10.7,,1012.0,
2021-04-18,21.6,17.5,26.6,0.0,,148.0,11.3,,1013.1,
2021-04-19,16.8,12.0,19.1,9.9,,148.0,8.7,,1013.2,
2021-04-20,15.6,10.2,20.2,2.8,,181.0,7.7,,1013.9,
2021-04-21,15.1,9.3,21.6,0.0,,296.0,5.5,,1018.2,
2021-04-22,15.7,8.6,22.3,0.0,,334.0,7.2,,1021.6,
2021-04-23,18.5,9.9,24.9,0.0,,315.0,6.2,,1020.0,
2021-04-24,17.1,14.2,22.5,0.3,,349.0,7.3,,1016.2,
2021-04-25,16.3,12.4,20.2,9.9,,358.0,8.3,,1010.4,
2021-04-26,15.7,11.7,21.3,0.0,,355.0,12.8,,1013.4,
2021-04-27,17.7,9.2,25.0,0.0,,350.0,4.9,,1013.9,
2021-04-28,22.4,16.4,26.5,0.0,,141.0,11.9,,1013.9,
2021-04-29,25.2,21.4,30.8,0.0,,148.0,12.8,,1014.8,
2021-04-30,23.3,15.9,31.5,0.0,,121.0,6.0,,1016.3,
2021-05-01,24.3,16.8,32.7,0.0,,127.0,5.6,,1015.6,
2021-05-02,27.3,19.0,34.1,0.0,,141.0,9.1,,1013.9,
2021-05-03,26.2,19.1,32.6,0.0,,41.0,7.4,,1013.1,
2021-05-04,22.6,18.3,27.9,0.0,,335.0,9.0,,1011.9,
2021-05-05,22.6,18.4,26.9,0.0,,341.0,6.7,,1011.5,
2021-05-06,23.6,16.7,26.9,0.0,,317.0,7.9,,1012.6,
2021-05-07,24.5,18.2,30.5,0.0,,335.0,4.6,,1014.3,
2021-05-08,25.7,18.2,30.7,0.0,,344.0,7.2,,1011.9,
2021-05-09,23.2,15.4,28.2,0.0,,23.0,17.3,,1016.2,
2021-05-10,22.1,16.0,27.8,0.0,,359.0,11.4,,1015.7,
2021-05-11,20.9,15.7,25.2,0.0,,355.0,8.4,,1011.4,
2021-05-12,19.1,11.8,25.4,0.0,,334.0,6.2,,1009.3,
2021-05-13,24.3,18.8,28.0,0.0,,153.0,13.1,,1009.7,
