date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,,,,,,,,,,
2021-01-02,,,,,,,,,,
2021-01-03,9.6,7.0,13.0,0.0,,13.0,13.0,,1022.3,
2021-01-04,8.6,6.0,12.4,0.0,,20.0,11.4,,1022.5,
2021-01-05,8.6,4.5,13.0,0.0,,14.0,7.2,,1023.5,
2021-01-06,8.6,4.3,12.0,0.0,,6.0,10.7,,1024.9,
2021-01-07,8.9,3.0,14.7,0.0,,2.0,8.1,,1023.6,
2021-01-08,7.8,3.0,13.3,0.0,,37.0,5.2,,1024.1,
2021-01-09,7.9,3.3,13.4,0.0,,55.0,5.7,,1023.8,
2021-01-10,7.0,1.0,12.1,0.0,,36.0,4.1,,1024.2,
2021-01-11,8.1,2.1,13.0,0.0,,345.0,2.6,,1024.8,
2021-01-12,10.8,6.0,16.2,0.0,,25.0,3.3,,1023.7,
2021-01-13,10.7,7.9,13.8,0.0,,100.0,14.0,,1017.0,
2021-01-14,7.7,4.6,11.7,6.2,,100.0,19.8,,1009.1,
2021-01-15,6.4,4.0,9.3,10.1,,148.0,9.3,,1013.1,
2021-01-16,7.2,5.7,8.9,7.8,,106.0,12.6,,1015.5,
2021-01-17,6.8,4.2,9.0,15.9,,109.0,15.5,,1009.3,
2021-01-18,5.0,2.6,7.8,4.7,,198.0,11.0,,1012.5,
2021-01-19,3.3,-0.1,6.0,19.8,,69.0,11.2,,1013.8,
2021-01-20,0.6,-2.7,3.4,0.8,,1.0,13.1,,1014.6,
2021-01-21,0.3,-4.5,4.0,0.0,,356.0,22.7,,1025.5,
2021-01-22,0.8,-1.5,2.4,0.0,,8.0,15.0,,1030.0,
2021-01-23,2.8,-0.8,6.7,0.0,,16.0,9.0,,1025.7,
2021-01-24,4.4,-0.9,9.1,0.0,,57.0,5.8,,1024.5,
2021-01-25,5.1,0.0,10.5,0.0,,71.0,6.1,,1023.2,
2021-01-26,6.6,0.0,11.0,0.0,,26.0,4.3,,1023.6,
2021-01-27,7.6,2.0,10.0,0.0,,83.0,8.8,,1019.4,
2021-01-28,8.2,5.9,11.0,1.9,,103.0,15.8,,1013.5,
2021-01-29,5.6,2.7,7.0,9.1,,124.0,15.1,,1011.6,
2021-01-30,3.3,-0.5,5.5,0.1,,158.0,7.4,,1016.7,
2021-01-31,3.8,0.5,6.3,15.0,,93.0,20.2,,1019.2,
2021-02-01,8.0,6.1,11.0,0.0,,50.0,8.5,,1025.7,
2021-02-02,9.0,5.2,16.0,0.0,,7.0,11.2,,1025.3,
2021-02-03,9.1,5.6,12.3,0.4,,4.0,11.3,,1020.8,
2021-02-04,10.6,7.1,13.0,1.6,,57.0,8.5,,1018.3,
2021-02-05,9.1,5.1,10.6,1.2,,18.0,7.4,,1016.8,
2021-02-06,8.6,4.9,12.2,0.0,,356.0,16.1,,1017.7,
2021-02-07,10.4,5.5,15.6,0.0,,331.0,8.2,,1018.5,
2021-02-08,9.3,3.0,13.2,0.0,,104.0,6.7,,1024.0,
2021-02-09,12.4,10.0,19.0,0.0,,89.0,11.5,,1024.2,
2021-02-10,12.3,8.9,20.0,0.8,,73.0,8.7,,1020.2,
2021-02-11,12.7,7.4,19.0,0.0,,337.0,8.3,,1019.0,
2021-02-12,11.9,4.0,19.0,0.0,,81.0,7.7,,1016.1,
2021-02-13,11.2,5.0,17.0,0.0,,95.0,6.5,,1017.1,
2021-02-14,10.9,6.7,14.4,0.0,,91.0,7.5,,1019.3,
2021-02-15,13.0,10.0,16.0,0.0,,104.0,16.3,,1013.6,
2021-02-16,11.0,9.5,13.0,0.4,,103.0,10.1,,1005.9,
2021-02-17,7.0,4.2,11.4,8.5,,161.0,12.1,,1002.6,
2021-02-18,2.3,-0.2,6.0,3.5,,100.0,7.6,,1012.3,
2021-02-19,3.3,-0.3,9.0,4.0,,81.0,8.5,,1021.2,
2021-02-20,4.2,0.8,9.0,0.6,,348.0,11.7,,1023.2,
2021-02-21,3.3,-1.1,9.0,0.0,,10.0,12.5,,1026.0,
2021-02-22,3.6,0.5,9.0,0.0,,358.0,10.6,,1026.7,
2021-02-23,6.2,0.8,12.0,0.0,,328.0,10.7,,1023.6,
2021-02-24,8.4,4.6,11.6,0.0,,6.0,14.5,,1018.1,
2021-02-25,8.4,5.5,12.0,0.0,,9.0,17.7,,1018.8,
2021-02-26,8.0,5.2,11.7,0.0,,7.0,12.7,,1020.5,
2021-02-27,7.8,3.1,12.9,0.0,,35.0,6.8,,1018.1,
2021-02-28,9.4,4.6,14.1,0.0,,81.0,5.7,,1015.5,
2021-03-01,8.4,6.3,11.0,1.0,,52.0,8.7,,1016.0,
2021-03-02,8.5,4.6,12.0,0.0,,40.0,9.1,,1020.3,
2021-03-03,9.6,6.0,13.4,0.0,,37.0,8.3,,1018.3,
2021-03-04,8.1,5.0,11.0,2.3,,31.0,14.8,,1015.3,
2021-03-05,9.0,5.6,13.8,0.0,,342.0,11.6,,1016.0,
2021-03-06,9.1,5.5,13.0,0.0,,113.0,7.0,,1022.3,
2021-03-07,10.1,6.2,13.1,0.1,,109.0,6.2,,1016.5,
2021-03-08,8.5,5.0,11.9,0.4,,51.0,7.7,,1012.2,
2021-03-09,8.7,4.0,13.0,0.0,,34.0,7.5,,1015.7,
2021-03-10,11.3,7.7,14.0,0.1,,95.0,9.4,,1016.1,
2021-03-11,13.4,9.7,17.0,0.2,,139.0,15.6,,1004.2,
2021-03-12,7.8,3.1,12.6,8.5,,305.0,18.2,,1002.7,
2021-03-13,7.7,3.0,12.2,0.0,,21.0,12.7,,1016.5,
2021-03-14,9.3,3.0,13.9,0.0,,82.0,5.2,,1016.7,
2021-03-15,9.3,6.5,12.0,3.2,,75.0,7.8,,1013.8,
2021-03-16,12.6,9.0,16.7,2.6,,120.0,13.4,,1010.8,
2021-03-17,11.0,6.0,13.6,0.3,,189.0,7.8,,1009.4,
2021-03-18,9.2,7.0,12.0,0.5,,241.0,11.0,,1011.2,
2021-03-19,8.2,5.0,12.3,0.1,,302.0,6.6,,1016.0,
2021-03-20,9.6,5.4,13.3,0.0,,93.0,5.7,,1017.7,
2021-03-21,12.7,7.4,16.5,0.0,,87.0,8.5,,1012.9,
2021-03-22,13.1,9.6,16.7,1.8,,90.0,10.4,,1011.0,
2021-03-23,12.3,8.8,15.0,7.9,,100.0,16.6,,1008.2,
2021-03-24,10.8,7.2,13.4,12.8,,184.0,15.0,,1002.0,
2021-03-25,7.0,3.0,11.0,0.9,,202.0,11.9,,1010.4,
2021-03-26,6.0,3.5,8.0,3.9,,215.0,6.5,,1015.8,
2021-03-27,4.7,1.0,7.0,2.8,,282.0,8.9,,1018.4,
2021-03-28,7.3,4.4,10.5,0.0,,1.0,14.1,,1023.8,
2021-03-29,9.6,6.1,13.6,0.0,,4.0,12.7,,1020.8,
