date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,8.7,6.1,14.0,1.5,,,,,,
2021-01-02,7.8,7.3,17.3,0.0,,103.0,4.8,,1022.4,
2021-01-03,6.8,1.8,14.7,0.0,,85.0,3.9,,1022.6,
2021-01-04,9.0,2.0,15.5,0.0,,117.0,10.8,,1019.3,
2021-01-05,9.4,6.4,13.6,34.3,,172.0,10.2,,1018.4,
2021-01-06,7.9,2.5,14.6,3.3,,80.0,4.5,,1023.2,
2021-01-07,11.8,9.0,13.8,0.0,,147.0,8.9,,1022.3,
2021-01-08,11.9,11.2,13.8,1.0,,148.0,10.5,,1020.4,
2021-01-09,11.2,10.7,11.9,2.8,,149.0,12.6,,1019.6,
2021-01-10,12.8,10.7,15.4,6.1,,136.0,9.2,,1022.4,
2021-01-11,13.1,11.4,17.3,0.0,,137.0,10.8,,1023.4,
2021-01-12,13.2,10.1,15.8,0.8,,147.0,17.5,,1017.8,
2021-01-13,9.0,5.4,13.1,26.4,,283.0,13.2,,1007.2,
2021-01-14,4.8,2.5,9.5,2.0,,344.0,9.1,,1007.9,
2021-01-15,3.7,0.0,8.3,1.3,,40.0,4.2,,1011.3,
2021-01-16,3.8,-1.5,10.6,10.7,,121.0,8.4,,1006.7,
2021-01-17,1.9,-0.4,6.2,10.9,,334.0,12.4,,1008.9,
2021-01-18,-1.0,-2.0,1.2,0.0,,16.0,9.5,,1016.1,
2021-01-19,-1.1,-4.4,4.5,0.0,,11.0,13.9,,1018.1,
2021-01-20,-0.4,-4.9,6.5,0.0,,2.0,14.4,,1026.0,
2021-01-21,2.2,-4.8,11.5,0.0,,33.0,5.2,,1029.9,
2021-01-22,5.4,-0.3,10.6,0.5,,112.0,6.2,,1029.3,
2021-01-23,6.9,5.0,9.2,0.0,,147.0,10.4,,1023.4,
2021-01-24,8.7,6.8,11.5,17.8,,165.0,15.9,,1018.9,
2021-01-25,9.4,8.3,10.8,8.9,,169.0,20.4,,1016.5,
2021-01-26,10.3,8.7,11.7,26.4,,160.0,18.9,,1015.0,
2021-01-27,5.1,0.2,9.2,94.2,,199.0,20.6,,1005.1,
2021-01-28,0.6,-2.0,4.7,19.3,79.0,299.0,8.6,,1012.9,
2021-01-29,0.9,-3.4,6.4,0.5,,351.0,8.8,,1016.2,
2021-01-30,6.1,0.0,12.4,0.8,,124.0,10.3,,1009.0,
2021-01-31,6.9,0.6,15.2,32.3,,90.0,8.7,,1012.4,
2021-02-01,11.6,5.8,14.0,0.0,,149.0,18.7,,1015.8,
