date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,,,,,,,,,,
2021-01-02,,,,,,,,,,
2021-01-03,-3.8,-11.0,0.5,0.0,,21.0,4.1,,1028.1,
2021-01-04,-4.4,-10.0,2.0,0.0,,32.0,5.8,,1028.5,
2021-01-05,-5.3,-16.0,-0.1,0.0,,27.0,4.8,,1028.4,
2021-01-06,-4.8,-14.0,3.0,0.0,,52.0,4.2,,1029.5,
2021-01-07,-4.7,-13.0,4.0,0.0,,60.0,4.6,,1028.7,
2021-01-08,-5.9,-15.0,-0.4,0.0,,35.0,2.7,,1028.8,
2021-01-09,-4.3,-13.0,1.7,0.0,,45.0,3.0,,1027.6,
2021-01-10,-3.6,-10.0,2.6,0.0,,66.0,3.3,,1027.1,
2021-01-11,-2.6,-9.0,3.5,0.0,,73.0,4.7,,1027.0,
2021-01-12,-0.5,-7.0,5.5,0.0,,52.0,4.9,,1026.3,
2021-01-13,1.0,-6.0,6.9,0.3,,60.0,7.3,,1018.5,
2021-01-14,3.3,2.0,5.0,12.3,,120.0,15.0,,1009.4,
2021-01-15,2.2,0.0,6.0,12.1,,123.0,12.3,,1011.2,
2021-01-16,3.3,1.4,6.0,4.8,,124.0,15.1,,1014.7,
2021-01-17,2.3,1.0,4.0,11.6,,116.0,16.4,,1008.8,
2021-01-18,1.1,-1.7,3.0,15.2,,104.0,11.6,,1009.8,
2021-01-19,-2.9,-4.0,-1.8,30.5,,346.0,8.1,,1014.8,
2021-01-20,-5.1,-11.0,-1.0,1.2,,13.0,5.5,,1015.8,
2021-01-21,-14.3,-27.0,-6.9,0.0,,344.0,5.7,,1030.2,
2021-01-22,-18.4,-31.0,-11.1,0.0,,43.0,3.7,,1036.3,
2021-01-23,-18.0,-31.0,-8.3,0.0,,56.0,4.8,,1034.1,
2021-01-24,-17.7,-30.0,-6.9,0.0,,55.0,3.8,,1032.4,
2021-01-25,-14.0,-28.0,-5.0,0.0,,50.0,4.2,,1029.7,
2021-01-26,-11.5,-25.0,-1.8,0.0,,59.0,3.4,,1028.9,
2021-01-27,-10.1,-24.0,-0.4,0.0,,61.0,4.5,,1024.7,
2021-01-28,-3.2,-9.0,2.6,6.5,,68.0,5.7,,1016.0,
2021-01-29,0.3,-7.0,4.0,3.4,,111.0,14.0,,1011.6,
2021-01-30,-1.0,-7.0,1.0,0.9,,109.0,8.4,,1015.4,
2021-01-31,-0.3,-2.1,1.3,8.2,,90.0,10.5,,1019.6,
2021-02-01,0.5,-2.0,3.0,0.0,,26.0,3.1,,1027.6,
2021-02-02,-2.8,-6.0,3.1,0.0,,56.0,4.8,,1028.8,
2021-02-03,-3.8,-7.4,3.8,0.0,,31.0,4.8,,1026.7,
2021-02-04,-0.7,-4.0,5.3,0.9,,71.0,4.6,,1023.5,
2021-02-05,0.1,-2.0,1.8,2.2,,52.0,4.7,,1019.3,
2021-02-06,-3.1,-9.0,4.2,0.0,,51.0,3.5,,1022.3,
2021-02-07,-3.5,-7.0,1.0,0.0,,86.0,4.5,,1023.0,
2021-02-08,-3.6,-6.0,0.6,0.0,,98.0,4.8,,1027.4,
2021-02-09,0.4,-5.0,6.1,0.0,,66.0,6.8,,1026.3,
2021-02-10,0.4,-6.0,9.4,0.0,,46.0,3.0,,1023.1,
2021-02-11,1.8,0.0,9.0,0.0,,61.0,4.9,,1022.4,
2021-02-12,1.3,-2.4,4.0,0.0,,53.0,4.0,,1020.0,
2021-02-13,2.0,-0.1,7.3,0.2,,107.0,5.5,,1018.7,
2021-02-14,2.9,-1.0,11.0,0.0,,65.0,5.8,,1020.6,
2021-02-15,6.2,0.4,13.0,0.0,,124.0,9.1,,1015.6,
2021-02-16,7.9,4.4,12.0,3.3,,118.0,17.5,,1006.7,
2021-02-17,3.2,-1.2,7.0,32.0,,97.0,11.7,,1001.7,
2021-02-18,-1.2,-4.3,1.0,5.0,,353.0,9.6,,1011.3,
2021-02-19,-3.7,-8.0,-1.0,6.6,,334.0,5.8,,1020.9,
2021-02-20,-4.0,-9.0,2.0,1.8,,332.0,4.9,,1023.6,
2021-02-21,-4.8,-11.9,1.7,0.0,,339.0,8.3,,1027.5,
2021-02-22,-5.7,-12.3,1.3,0.0,,336.0,6.8,,1029.4,
2021-02-23,-2.5,-8.0,3.5,0.0,,12.0,4.4,,1027.0,
2021-02-24,-0.3,-4.3,6.0,0.0,,19.0,9.9,,1023.4,
2021-02-25,0.8,-3.6,6.0,0.0,,34.0,16.1,,1025.0,
2021-02-26,0.4,-4.3,8.0,0.0,,10.0,9.2,,1024.5,
2021-02-27,1.1,-4.3,8.0,0.0,,63.0,4.5,,1020.7,
2021-02-28,2.7,-4.0,10.0,0.0,,141.0,4.8,,1017.6,
2021-03-01,1.0,0.0,3.0,5.6,,314.0,10.7,,1018.1,
2021-03-02,0.5,-3.0,5.0,0.0,,9.0,3.7,,1022.9,
2021-03-03,-0.3,-5.0,6.1,0.0,,17.0,4.4,,1021.4,
2021-03-04,0.1,-2.0,4.0,0.0,,319.0,6.7,,1019.1,
2021-03-05,3.8,-1.0,9.0,0.0,,329.0,8.5,,1017.5,
2021-03-06,2.8,-4.0,9.2,0.0,,160.0,6.2,,1023.2,
2021-03-07,4.3,0.0,10.0,3.7,,117.0,7.7,,1017.5,
2021-03-08,2.5,-1.3,8.0,6.5,,154.0,11.7,,1013.3,
2021-03-09,0.2,-7.0,7.0,0.0,,109.0,7.5,,1016.9,
2021-03-10,3.9,-4.0,10.0,0.5,,118.0,7.4,,1017.8,
2021-03-11,5.8,1.9,12.0,10.7,,116.0,7.7,,1006.7,
2021-03-12,-1.2,-8.0,3.5,13.9,,332.0,14.7,,1006.9,
2021-03-13,-3.6,-10.3,1.4,0.0,,50.0,6.0,,1020.3,
2021-03-14,0.1,-6.0,8.2,0.0,,81.0,4.8,,1019.5,
2021-03-15,2.2,-1.0,5.9,2.5,,117.0,6.2,,1016.0,
2021-03-16,6.1,2.0,14.0,6.5,,104.0,8.9,,1012.0,
2021-03-17,8.5,3.3,15.0,2.0,,156.0,12.7,,1009.0,
2021-03-18,4.1,0.0,8.0,10.0,,135.0,11.6,,1010.0,
2021-03-19,3.6,0.0,8.0,4.1,,137.0,11.6,,1015.6,
2021-03-20,4.2,-1.8,10.0,0.0,,115.0,9.8,,1019.1,
2021-03-21,5.6,0.3,11.0,0.0,,139.0,10.3,,1014.6,
2021-03-22,8.5,1.6,15.0,0.4,,141.0,11.4,,1012.2,
2021-03-23,7.9,4.7,12.0,23.3,,103.0,11.0,,1008.4,
2021-03-24,8.6,4.7,12.0,15.1,,177.0,18.6,,999.9,
2021-03-25,2.0,-0.7,5.0,5.7,,123.0,14.7,,1008.7,
2021-03-26,0.6,-1.0,2.0,11.1,,93.0,6.3,,1014.9,
