date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,18.8,14.2,20.8,,,,,,,
2021-01-02,18.7,15.4,20.4,0.0,,107.0,6.0,,1021.7,
2021-01-03,18.3,14.0,21.2,0.0,,82.0,4.7,,1021.4,
2021-01-04,19.0,14.3,21.6,0.0,,126.0,7.0,,1020.6,
2021-01-05,19.1,15.7,21.8,0.0,,117.0,8.3,,1020.8,
2021-01-06,18.3,13.7,20.2,0.0,,101.0,7.2,,1023.4,
2021-01-07,18.3,13.5,20.8,0.0,,87.0,5.9,,1022.5,
2021-01-08,18.4,13.1,20.9,0.0,,65.0,6.3,,1021.7,
2021-01-09,18.6,13.4,20.7,0.0,,89.0,8.1,,1021.0,
2021-01-10,18.6,14.4,20.6,0.0,,101.0,6.7,,1022.8,
2021-01-11,17.9,12.6,20.2,0.0,,74.0,3.8,,1024.4,
2021-01-12,18.8,15.5,21.6,0.3,,73.0,5.5,,1022.3,
2021-01-13,18.8,12.3,21.5,0.0,,125.0,13.6,,1010.5,
2021-01-14,14.1,9.7,18.8,18.3,10.0,98.0,3.5,,1005.4,
2021-01-15,15.5,10.7,18.2,28.7,10.0,130.0,3.3,,1011.3,
2021-01-16,14.2,12.1,16.5,5.3,,112.0,7.8,,1011.1,
2021-01-17,12.9,10.0,16.9,28.7,,117.0,6.4,,1005.4,
2021-01-18,13.1,7.4,15.1,26.4,,246.0,11.1,,1011.9,
2021-01-19,9.7,7.1,12.8,26.2,20.0,97.0,4.3,,1014.0,
2021-01-20,7.6,2.2,10.5,5.1,10.0,30.0,4.8,,1019.1,
2021-01-21,9.5,3.0,12.7,0.5,,0.0,3.1,,1031.0,
2021-01-22,11.4,6.3,13.7,0.0,,113.0,7.4,,1030.2,
2021-01-23,12.2,8.5,14.2,0.0,,117.0,9.0,,1024.9,
2021-01-24,13.8,8.2,16.2,0.0,,128.0,8.8,,1022.3,
2021-01-25,14.0,8.6,16.5,0.0,,111.0,6.3,,1022.3,
2021-01-26,14.6,9.5,16.9,0.0,,81.0,5.3,,1022.6,
2021-01-27,17.3,11.3,19.3,0.0,,138.0,10.7,,1013.0,
2021-01-28,13.4,9.5,15.3,11.9,10.0,135.0,8.9,,1012.3,
2021-01-29,9.9,7.7,12.1,24.9,30.0,52.0,6.1,,1011.4,
2021-01-30,13.0,6.9,16.3,4.1,,41.0,4.2,,1014.1,
