date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,12.1,7.4,18.3,,,,,,,
2021-01-02,12.8,8.0,14.9,0.0,,200.0,4.7,,1025.3,
2021-01-03,10.4,6.9,13.5,0.0,,129.0,4.0,,1026.7,
2021-01-04,9.4,4.8,14.4,0.0,,131.0,4.8,,1022.5,
2021-01-05,10.9,5.6,15.6,0.0,,141.0,6.7,,1018.9,
2021-01-06,12.7,7.1,16.1,0.0,,181.0,6.8,,1024.8,
2021-01-07,10.9,6.3,15.0,0.0,,145.0,4.9,,1021.7,
2021-01-08,11.7,6.9,14.4,0.0,,147.0,5.3,,1019.2,
2021-01-09,14.1,8.8,18.1,0.0,,136.0,8.7,,1016.9,
2021-01-10,14.7,9.7,18.8,0.4,,143.0,6.4,,1018.1,
2021-01-11,12.4,11.0,12.9,1.8,,93.0,5.6,,1018.7,
2021-01-12,13.7,11.1,14.5,1.5,,129.0,8.1,,1016.1,
2021-01-13,18.0,10.2,23.5,0.0,,143.0,14.0,,1003.5,
2021-01-14,9.6,7.9,10.2,5.8,10.0,188.0,6.1,,1005.5,
2021-01-15,9.1,6.5,10.1,26.7,20.0,176.0,8.1,,1010.1,
2021-01-16,7.3,4.8,9.0,17.0,20.0,122.0,4.9,,1013.7,
2021-01-17,10.3,5.7,12.9,0.5,,185.0,8.3,,1001.6,
2021-01-18,4.9,2.7,6.5,37.8,30.0,242.0,10.4,,1015.1,
2021-01-19,3.4,0.9,5.2,13.7,10.0,183.0,5.5,,1022.4,
2021-01-20,2.6,0.3,6.1,15.2,51.0,200.0,8.4,,1025.1,
2021-01-21,5.6,1.3,10.4,18.0,10.0,148.0,7.5,,1031.3,
2021-01-22,6.7,0.5,11.9,0.0,,140.0,5.3,,1029.5,
2021-01-23,7.9,2.0,13.5,0.0,,138.0,5.5,,1024.1,
2021-01-24,8.7,2.6,12.6,0.0,,140.0,6.0,,1018.2,
2021-01-25,11.9,4.9,16.4,0.0,,138.0,8.4,,1016.7,
2021-01-26,14.5,9.3,18.8,0.0,,138.0,9.7,,1016.8,
2021-01-27,14.0,9.9,16.7,0.0,,124.0,8.1,,1008.5,
2021-01-28,10.9,7.3,19.6,4.0,,151.0,9.0,,1006.6,
2021-01-29,5.7,4.8,7.7,15.7,10.0,168.0,5.5,,1013.7,
2021-01-30,8.6,4.3,12.3,20.3,,122.0,6.2,,1011.0,
2021-01-31,10.8,5.6,13.5,0.0,,134.0,5.9,,1011.9,
2021-02-01,12.3,5.7,17.1,0.0,,132.0,6.5,,1017.3,
2021-02-02,13.7,7.7,20.0,0.0,,136.0,5.4,,1018.9,
2021-02-03,12.9,7.5,17.1,0.0,,166.0,4.6,,1017.5,
2021-02-04,12.4,7.5,16.4,0.0,,148.0,4.6,,1016.6,
2021-02-05,11.4,8.1,14.0,1.3,,189.0,10.2,,1018.8,
2021-02-06,10.9,7.1,14.0,12.4,,99.0,6.0,,1019.2,
2021-02-07,12.3,8.5,16.4,0.0,,176.0,4.1,,1016.9,
2021-02-08,12.6,7.9,15.0,0.0,,127.0,5.0,,1015.1,
2021-02-09,17.9,10.3,27.0,0.3,,145.0,10.4,,1015.1,
2021-02-10,18.4,10.3,19.7,0.0,,131.0,8.8,,1014.9,
2021-02-11,12.2,7.1,17.3,0.0,,127.0,6.3,,1016.9,
2021-02-12,13.3,8.4,19.5,7.4,,157.0,8.8,,1010.9,
2021-02-13,7.3,4.7,8.4,15.8,,234.0,5.3,,1023.9,
2021-02-14,8.1,5.2,9.1,1.1,10.0,112.0,5.6,,1022.7,
2021-02-15,7.6,3.1,9.0,8.2,,182.0,8.6,,1017.9,
2021-02-16,2.9,0.3,2.8,18.6,10.0,184.0,14.2,,1016.8,
2021-02-17,2.4,0.4,4.1,9.3,10.0,181.0,9.9,,1014.7,
2021-02-18,3.1,0.7,2.6,0.0,,174.0,5.6,,1020.3,
2021-02-19,5.3,-0.3,4.8,12.5,,197.0,6.4,,1024.3,
2021-02-20,1.4,-1.6,3.7,2.6,,129.0,5.3,,1031.5,
2021-02-21,2.2,-2.3,6.9,0.0,,110.0,5.5,,1032.8,
2021-02-22,7.6,0.9,10.2,0.0,,142.0,4.1,,1031.7,
2021-02-23,9.6,4.5,11.5,0.0,,204.0,3.8,,1030.7,
2021-02-24,8.4,6.6,9.6,3.3,,224.0,5.2,,1030.9,
2021-02-25,6.8,5.5,7.9,3.8,,288.0,6.0,,1033.7,
2021-02-26,7.9,4.2,10.2,1.5,,114.0,4.7,,1031.2,
2021-02-27,8.1,1.4,10.6,0.0,,93.0,4.2,,1022.1,
2021-02-28,9.2,3.3,11.5,19.5,,231.0,9.3,,1019.4,
2021-03-01,6.3,3.8,9.2,26.7,10.0,218.0,5.4,,1026.4,
