date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,15.2,11.9,17.3,0.3,,,,,,
2021-01-02,13.8,6.1,19.1,0.3,,354.0,2.3,,1023.4,
2021-01-03,14.9,6.6,19.0,0.0,,175.0,3.5,,1022.5,
2021-01-04,16.1,9.4,20.5,0.0,,127.0,3.8,,1018.5,
2021-01-05,16.9,7.7,20.9,0.0,,196.0,5.3,,1015.3,
2021-01-06,13.6,7.7,19.0,0.0,,157.0,3.6,,1022.4,
2021-01-07,15.9,8.8,18.3,0.0,,171.0,3.8,,1019.4,
2021-01-08,19.8,14.1,23.7,0.0,,135.0,6.0,,1015.1,
2021-01-09,16.2,11.0,19.0,3.0,,231.0,10.4,,1013.9,
2021-01-10,10.7,8.6,10.9,6.4,,320.0,5.3,,1018.7,
2021-01-11,17.5,10.2,24.4,18.3,,332.0,5.3,,1014.6,
2021-01-12,20.6,10.2,26.5,0.0,,347.0,5.1,,1009.6,
2021-01-13,9.8,6.3,11.2,31.0,,303.0,7.8,,1006.8,
2021-01-14,6.0,3.4,6.5,9.9,,305.0,6.9,,1009.3,
2021-01-15,5.0,1.4,8.0,5.1,,210.0,6.6,,1013.2,
2021-01-16,3.4,1.1,6.0,4.1,,127.0,3.6,,1012.0,
2021-01-17,1.4,-0.8,2.7,23.1,41.0,296.0,12.5,,1011.3,
2021-01-18,-0.6,-4.0,3.3,18.5,160.0,231.0,6.6,,1020.8,
2021-01-19,-1.6,-7.0,2.1,0.0,140.0,154.0,4.0,,1025.0,
2021-01-20,0.8,-5.6,4.0,0.0,119.0,185.0,7.3,,1027.7,
2021-01-21,6.7,2.9,9.4,0.0,99.0,172.0,8.9,,1028.6,
2021-01-22,10.7,6.5,13.8,0.0,,160.0,10.1,,1025.2,
2021-01-23,13.3,9.5,16.7,0.0,,122.0,7.2,,1019.7,
2021-01-24,15.1,9.6,17.8,0.0,,140.0,9.4,,1013.1,
2021-01-25,15.3,7.6,17.3,0.8,,162.0,11.8,,1008.9,
2021-01-26,16.4,11.6,19.2,0.0,,138.0,8.5,,1008.4,
2021-01-27,8.8,3.9,18.0,11.9,,216.0,13.0,,1000.2,
2021-01-28,4.1,1.5,5.6,4.1,,255.0,8.3,,1011.6,
2021-01-29,6.5,1.8,9.2,0.0,,171.0,10.1,,1013.7,
2021-01-30,8.8,7.3,10.1,11.5,,164.0,9.6,,1003.4,
2021-01-31,12.5,7.3,16.5,0.3,,160.0,6.6,,1009.5,
2021-02-01,18.4,11.7,21.1,0.0,,155.0,14.5,,1008.6,
2021-02-02,15.1,12.2,19.7,1.5,,232.0,6.6,,1014.1,
2021-02-03,13.9,7.7,20.1,0.3,,303.0,4.1,,1017.5,
2021-02-04,14.7,6.6,20.4,0.0,,260.0,4.3,,1016.7,
2021-02-05,14.3,8.0,19.7,0.0,,270.0,3.2,,1020.4,
2021-02-06,15.2,7.6,21.4,0.0,,294.0,3.5,,1017.1,
2021-02-07,13.3,5.8,20.4,0.0,,12.0,3.0,,1015.2,
2021-02-08,20.4,10.4,25.0,0.0,,181.0,7.1,,1009.3,
2021-02-09,18.7,15.1,23.0,0.0,,217.0,10.4,,1011.7,
2021-02-10,14.7,11.3,19.6,0.5,,237.0,6.5,,1013.1,
2021-02-11,14.2,8.3,22.8,0.0,,147.0,6.6,,1010.6,
2021-02-12,6.7,3.2,15.2,9.3,,284.0,9.6,,1016.2,
2021-02-13,2.7,1.9,4.3,0.3,,302.0,7.4,,1026.9,
2021-02-14,0.5,-0.1,1.0,3.8,30.0,17.0,10.3,,1022.9,
2021-02-15,1.0,1.2,2.2,22.1,79.0,13.0,15.9,,1023.1,
2021-02-16,0.1,-0.3,1.4,17.8,180.0,5.0,11.8,,1021.3,
2021-02-17,0.7,-3.4,3.7,17.0,340.0,303.0,6.0,,1021.0,
2021-02-18,1.9,-3.2,3.4,3.3,201.0,183.0,6.1,,1020.4,
2021-02-19,2.4,1.4,4.3,5.6,119.0,320.0,4.8,,1028.8,
2021-02-20,1.9,-2.0,7.5,0.0,,38.0,3.1,,1030.1,
2021-02-21,3.3,-1.8,10.1,0.0,,107.0,3.0,,1031.1,
2021-02-22,5.3,-2.0,10.5,0.0,,232.0,2.9,,1031.7,
2021-02-23,8.4,-0.3,15.1,0.0,,338.0,3.3,,1031.2,
2021-02-24,6.3,0.5,9.0,0.0,,308.0,5.9,,1032.3,
2021-02-25,8.2,3.3,12.0,0.3,,352.0,7.3,,1033.9,
2021-02-26,7.6,0.3,14.5,0.0,,330.0,4.1,,1029.4,
2021-02-27,10.4,0.7,17.8,0.0,,325.0,3.7,,1020.7,
2021-02-28,7.4,3.5,10.6,1.5,,319.0,9.2,,1025.6,
2021-03-01,8.1,1.3,12.4,1.8,,136.0,4.2,,1027.5,
2021-03-02,6.8,4.9,10.1,0.8,,342.0,6.1,,1029.0,
2021-03-03,7.9,2.7,10.4,2.3,,323.0,5.8,,1029.1,
2021-03-04,9.3,2.3,14.7,0.0,,312.0,3.2,,1025.1,
2021-03-05,14.3,2.1,22.4,0.0,,224.0,3.8,,1018.3,
2021-03-06,10.3,6.9,16.9,4.1,,354.0,6.5,,1020.6,
2021-03-07,5.9,4.1,7.1,8.4,,14.0,10.9,,1026.1,
2021-03-08,6.9,-1.6,12.7,0.3,,315.0,3.9,,1019.8,
2021-03-09,9.8,0.6,16.3,0.0,,21.0,4.3,,1018.4,
2021-03-10,9.3,2.5,15.4,0.7,,335.0,4.6,,1013.7,
2021-03-11,6.5,4.3,8.1,4.8,,345.0,12.4,,1012.9,
2021-03-12,7.9,2.9,11.7,2.0,,343.0,4.6,,1021.9,
2021-03-13,11.2,1.4,17.9,0.0,,345.0,4.5,,1018.2,
2021-03-14,13.9,3.8,20.2,0.0,,343.0,4.3,,1014.5,
2021-03-15,15.9,5.1,22.3,0.0,,330.0,4.0,,1005.1,
2021-03-16,13.0,9.8,15.9,7.1,,238.0,7.7,,1000.1,
2021-03-17,10.0,5.0,12.1,0.5,,235.0,10.5,,1003.3,
2021-03-18,7.6,5.2,10.5,2.0,,251.0,6.1,,1011.0,
2021-03-19,9.6,5.1,13.7,0.3,,156.0,3.4,,1014.6,
2021-03-20,8.7,7.0,11.0,2.3,,358.0,4.7,,1017.7,
2021-03-21,7.4,7.0,8.2,12.2,,352.0,5.4,,1013.6,
2021-03-22,11.2,6.5,20.2,5.6,,342.0,4.6,,1001.4,
2021-03-23,6.8,4.5,9.4,20.8,,7.0,14.4,,1006.8,
2021-03-24,3.2,3.2,5.1,10.9,,325.0,7.7,,1010.4,
2021-03-25,3.4,0.5,6.4,22.4,20.0,282.0,5.5,,1017.3,
2021-03-26,5.3,2.6,7.4,3.3,,255.0,8.7,,1023.5,
2021-03-27,10.4,2.4,14.8,0.5,,181.0,4.8,,1028.3,
2021-03-28,13.0,2.6,18.5,0.0,,330.0,3.7,,1029.4,
2021-03-29,8.7,5.3,11.1,1.0,,317.0,5.4,,1029.6,
