date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,15.2,12.6,20.5,,,244.0,11.5,,1018.1,
2021-01-02,10.8,7.1,15.6,,,230.0,4.9,,1026.1,
2021-01-03,9.5,6.1,13.1,,,212.0,4.7,,1026.6,
2021-01-04,11.1,5.7,16.6,,,251.0,5.8,,1021.5,
2021-01-05,16.7,10.5,21.3,,,240.0,10.7,,1017.0,
2021-01-06,12.7,10.0,16.8,1.0,,238.0,5.8,,1024.0,
2021-01-07,14.9,9.2,19.6,0.0,,242.0,9.8,,1020.4,
2021-01-08,16.9,12.8,20.1,0.0,,248.0,8.8,,1018.0,
2021-01-09,17.5,14.9,21.4,0.0,,247.0,15.7,,1015.3,
2021-01-10,10.9,9.2,13.7,,,336.0,4.1,,1019.2,
2021-01-11,10.9,8.9,12.2,2.0,,91.0,4.1,,1017.9,
2021-01-12,13.9,10.8,15.0,,,162.0,3.4,,1013.9,
2021-01-13,11.5,8.2,17.8,,,330.0,4.8,,1004.1,
2021-01-14,8.4,7.1,11.2,,10.0,,3.5,,1006.2,
2021-01-15,6.2,4.6,9.3,6.1,10.0,281.0,3.5,,1011.0,
2021-01-16,6.1,2.4,8.7,0.0,,229.0,3.9,,1013.4,
2021-01-17,6.2,4.2,9.7,1.3,,309.0,6.9,,1003.6,
2021-01-18,2.1,0.5,3.9,4.6,,313.0,5.7,,1016.5,
2021-01-19,2.0,-0.9,6.7,0.8,,257.0,9.4,,1022.7,
2021-01-20,3.7,-0.2,7.5,0.0,,255.0,7.6,,1025.6,
2021-01-21,7.3,3.5,9.9,0.0,,244.0,16.4,,1029.9,
2021-01-22,10.3,7.1,13.6,,,242.0,18.1,,1027.9,
2021-01-23,12.3,10.0,16.4,,,244.0,17.7,,1022.4,
2021-01-24,13.3,8.7,16.9,,,241.0,17.8,,1016.8,
2021-01-25,14.3,10.7,17.7,,,219.0,10.6,,1014.4,
2021-01-26,16.0,12.4,16.8,,,215.0,7.5,,1014.2,
2021-01-27,17.8,15.1,21.2,,,214.0,9.2,,1005.0,
2021-01-28,7.3,5.2,17.0,1.0,,317.0,5.9,,1008.1,
2021-01-29,6.2,3.3,8.7,0.5,,286.0,3.9,,1013.9,
2021-01-30,11.0,3.8,14.6,0.0,,228.0,12.3,,1007.9,
2021-01-31,11.7,9.6,13.2,0.0,,220.0,6.4,,1010.5,
2021-02-01,17.2,9.2,20.6,0.0,,230.0,15.1,,1013.9,
2021-02-02,17.6,15.2,23.9,,,245.0,15.7,,1017.0,
2021-02-03,15.2,12.0,23.1,,,258.0,10.3,,1017.3,
2021-02-04,12.6,9.1,18.4,,,241.0,4.5,,1016.0,
2021-02-05,12.3,8.5,14.7,0.5,,315.0,4.7,,1019.2,
2021-02-06,12.4,9.0,18.9,1.3,,251.0,5.7,,1018.0,
2021-02-07,10.2,7.8,12.6,0.0,,193.0,4.3,,1016.7,
2021-02-08,13.3,8.0,17.6,,,236.0,5.3,,1013.3,
2021-02-09,17.3,11.7,23.8,,,236.0,6.9,,1014.0,
2021-02-10,16.7,11.8,20.9,,,235.0,7.5,,1014.7,
2021-02-11,15.9,10.8,21.5,,,238.0,9.0,,1014.3,
2021-02-12,14.0,5.2,20.6,,,279.0,8.6,,1011.7,
2021-02-13,4.6,3.4,9.0,,,351.0,4.8,,1024.8,
2021-02-14,3.8,2.6,5.1,7.4,10.0,,3.1,,1024.2,
2021-02-15,2.2,1.4,4.9,23.9,20.0,351.0,7.2,,1021.7,
2021-02-16,1.1,0.2,1.9,41.1,20.0,0.0,7.5,,1019.9,
2021-02-17,0.5,-0.6,2.4,6.4,,328.0,8.7,,1018.2,
2021-02-18,2.1,-3.5,6.3,1.0,,247.0,12.7,,1020.3,
2021-02-19,3.5,2.2,5.2,0.5,,285.0,11.2,,1024.5,
2021-02-20,3.4,1.3,6.7,,,252.0,5.8,,1031.6,
2021-02-21,3.4,0.1,7.8,,,230.0,7.7,,1032.3,
2021-02-22,5.2,1.2,10.0,,,261.0,5.1,,1032.0,
2021-02-23,6.9,2.6,10.1,,,280.0,4.6,,1031.4,
2021-02-24,6.6,4.6,8.3,,,311.0,3.4,,1032.6,
2021-02-25,6.4,4.6,10.8,,,339.0,3.8,,1034.6,
2021-02-26,5.8,2.6,9.3,,,199.0,3.8,,1031.0,
2021-02-27,8.1,3.3,12.6,,,215.0,4.3,,1021.2,
2021-02-28,6.8,4.9,9.6,,,316.0,6.6,,1021.8,
2021-03-01,6.8,4.7,10.3,,,314.0,3.8,,1027.0,
2021-03-02,6.5,3.8,9.4,,,232.0,3.2,,1029.2,
2021-03-03,7.3,2.8,11.3,0.0,,315.0,4.8,,1027.6,
2021-03-04,6.4,3.1,9.4,0.3,,180.0,3.9,,1026.4,
2021-03-05,8.2,2.3,13.4,0.0,,249.0,6.1,,1018.8,
2021-03-06,12.2,5.8,20.3,,,300.0,6.8,,1019.0,
2021-03-07,4.8,3.8,8.3,5.3,10.0,27.0,6.5,,1025.7,
2021-03-08,5.8,2.4,8.9,1.8,,158.0,3.9,,1020.5,
2021-03-09,6.4,2.7,10.9,0.0,,252.0,4.4,,1019.8,
2021-03-10,7.3,2.4,10.9,,,166.0,5.0,,1018.3,
2021-03-11,6.2,3.6,7.9,0.0,,336.0,6.1,,1011.1,
2021-03-12,3.9,2.4,13.3,10.7,,324.0,8.7,,1022.4,
2021-03-13,8.1,1.9,11.9,0.0,,177.0,4.6,,1019.9,
2021-03-14,9.1,5.0,11.7,,,95.0,3.3,,1016.6,
2021-03-15,13.3,7.5,17.1,,,246.0,3.1,,1007.7,
