date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,12.6,7.9,,,,,,,,
2021-01-02,13.7,9.1,14.2,0.0,,31.0,7.1,,1024.1,
2021-01-03,14.9,7.6,16.1,0.0,,343.0,9.6,,1023.0,
2021-01-04,12.8,6.9,13.5,0.0,,20.0,8.5,,1023.2,
2021-01-05,12.1,5.2,13.2,0.0,,23.0,5.3,,1024.4,
2021-01-06,13.3,6.2,14.4,0.0,,338.0,5.4,,1025.4,
2021-01-07,14.3,7.1,15.6,0.0,,324.0,7.9,,1024.0,
2021-01-08,13.2,6.0,16.2,0.0,,26.0,6.0,,1024.3,
2021-01-09,12.8,5.8,13.4,0.0,,21.0,6.4,,1024.1,
2021-01-10,12.3,5.6,15.8,0.0,,348.0,5.0,,1024.8,
2021-01-11,13.8,6.0,14.5,0.0,,250.0,4.7,,1025.2,
2021-01-12,12.4,8.8,15.5,0.0,,317.0,5.1,,1024.2,
2021-01-13,13.7,8.9,15.9,0.0,,89.0,13.3,,1015.1,
2021-01-14,9.1,7.1,11.0,7.9,10.0,125.0,9.2,,1007.7,
2021-01-15,10.1,4.9,11.9,13.5,,220.0,9.9,,1011.8,
2021-01-16,10.1,5.8,12.7,3.8,,131.0,11.5,,1013.8,
2021-01-17,6.8,6.5,9.4,2.0,,153.0,13.5,,1008.3,
2021-01-18,8.4,5.6,10.1,14.7,,235.0,16.8,,1011.8,
2021-01-19,3.8,1.2,4.7,11.7,10.0,7.0,13.2,,1014.7,
2021-01-20,1.6,-1.1,2.7,0.5,,345.0,16.8,,1017.5,
2021-01-21,5.0,-0.4,7.7,1.5,,335.0,17.9,,1029.9,
2021-01-22,6.1,-0.2,7.0,0.0,,358.0,8.8,,1032.1,
2021-01-23,6.5,0.4,9.1,0.0,,3.0,7.1,,1027.2,
2021-01-24,7.7,-0.2,10.7,0.0,,39.0,7.4,,1025.3,
2021-01-25,9.4,1.6,10.5,0.0,,33.0,6.8,,1023.9,
2021-01-26,10.8,2.9,11.2,0.0,,32.0,6.7,,1024.1,
2021-01-27,10.8,3.6,11.4,0.1,,71.0,13.1,,1018.7,
2021-01-28,10.1,5.7,11.7,0.5,,157.0,11.5,,1013.4,
2021-01-29,6.7,4.6,9.8,0.5,,173.0,12.2,,1011.3,
2021-01-30,7.4,-0.1,8.9,2.5,,253.0,8.9,,1016.1,
2021-01-31,5.8,4.3,7.2,17.5,20.0,84.0,16.6,,1017.0,
2021-02-01,10.1,5.5,11.8,9.1,,60.0,9.0,,1026.2,
2021-02-02,11.4,7.0,13.9,0.0,,43.0,8.2,,1025.7,
2021-02-03,12.6,6.7,15.1,0.0,,2.0,8.7,,1021.6,
2021-02-04,14.3,8.8,15.5,1.0,,43.0,9.6,,1018.7,
2021-02-05,13.1,9.8,16.6,0.0,,0.0,8.4,,1017.7,
2021-02-06,14.1,6.8,15.4,0.0,,328.0,11.4,,1018.9,
2021-02-07,15.4,5.9,19.4,0.0,,283.0,7.2,,1019.0,
2021-02-08,13.1,7.5,13.9,0.0,,57.0,5.1,,1023.7,
2021-02-09,15.4,9.8,16.3,0.0,,54.0,7.2,,1023.6,
2021-02-10,14.3,8.5,16.4,2.7,,46.0,9.8,,1020.3,
2021-02-11,10.8,6.3,16.5,0.0,,334.0,8.7,,1019.6,
