date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,17.4,13.0,19.4,,,167.0,4.8,,1016.5,
2021-01-02,14.4,11.2,16.1,,,96.0,4.7,,1024.8,
2021-01-03,13.1,12.0,14.2,,,141.0,12.5,,1024.7,
2021-01-04,13.1,11.2,12.8,,,127.0,11.1,,1017.7,
2021-01-05,18.5,13.1,20.8,,,103.0,5.1,,1015.8,
2021-01-06,15.5,12.5,17.7,0.5,,160.0,6.5,,1022.3,
2021-01-07,14.4,11.7,17.1,0.0,,150.0,5.5,,1018.8,
2021-01-08,17.2,14.7,18.6,,,152.0,6.4,,1015.4,
2021-01-09,17.8,12.3,20.3,,,186.0,8.0,,1013.4,
2021-01-10,10.2,8.4,13.4,0.3,,21.0,10.3,,1018.7,
2021-01-11,10.7,7.4,12.4,8.4,,103.0,7.2,,1017.3,
2021-01-12,14.1,12.2,15.9,19.1,,132.0,9.4,,1011.8,
2021-01-13,11.3,8.4,14.6,0.3,,293.0,7.8,,1002.9,
2021-01-14,9.0,6.3,10.5,19.8,,324.0,11.1,,1005.3,
2021-01-15,6.9,4.6,7.7,14.5,,309.0,10.6,,1010.3,
2021-01-16,7.7,3.7,8.7,5.1,,164.0,5.6,,1012.1,
2021-01-17,7.1,4.1,8.2,2.3,,320.0,21.1,,1003.6,
2021-01-18,1.7,0.4,3.7,5.6,,309.0,17.0,,1015.9,
2021-01-19,2.9,0.4,5.2,16.3,30.0,291.0,8.6,,1021.4,
2021-01-20,3.2,1.2,4.1,7.4,41.0,279.0,5.9,,1024.4,
2021-01-21,9.2,4.3,10.5,3.3,,161.0,4.9,,1027.5,
2021-01-22,12.5,7.5,14.0,0.0,,147.0,4.2,,1025.2,
2021-01-23,15.4,10.7,17.7,,,157.0,5.8,,1019.7,
2021-01-24,15.1,11.7,16.9,,,156.0,7.0,,1013.6,
2021-01-25,15.6,13.4,16.4,,,160.0,9.2,,1010.9,
