date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,,,,,,,,,,
2021-01-02,-2.4,-10.0,5.0,0.0,,304.0,2.4,,1031.2,
2021-01-03,-1.4,-7.6,3.6,0.0,,302.0,2.8,,1032.6,
2021-01-04,-2.6,-8.4,2.0,0.0,,160.0,3.8,,1034.8,
2021-01-05,-3.8,-9.8,3.0,0.0,,245.0,3.6,,1033.6,
2021-01-06,-4.6,-14.2,3.1,0.0,,308.0,2.7,,1034.1,
2021-01-07,-4.0,-12.9,3.2,0.0,,286.0,2.8,,1033.6,
2021-01-08,-4.2,-11.8,4.7,0.0,,282.0,2.4,,1031.3,
2021-01-09,-3.7,-12.0,6.1,0.0,,301.0,2.6,,1029.4,
2021-01-10,-2.5,-14.6,6.7,0.0,,250.0,3.7,,1027.4,
2021-01-11,-0.6,-11.2,8.1,0.0,,246.0,5.2,,1025.6,
2021-01-12,3.5,-0.7,10.6,0.0,,246.0,5.4,,1023.4,
2021-01-13,4.1,-1.8,10.8,0.0,,235.0,4.3,,1018.0,
2021-01-14,4.2,1.2,9.2,0.0,,181.0,5.5,,1008.4,
2021-01-15,2.5,-1.2,6.2,2.2,,249.0,8.0,,1009.1,
2021-01-16,3.1,-1.8,8.4,0.0,,195.0,6.7,,1014.1,
2021-01-17,1.6,-3.6,7.1,0.0,,225.0,5.9,,1008.9,
2021-01-18,1.8,-2.0,6.6,1.1,,230.0,12.1,,1007.6,
2021-01-19,-1.8,-5.0,3.4,16.7,,67.0,5.3,,1015.0,
2021-01-20,-4.6,-9.1,-1.6,5.0,,349.0,6.0,,1018.3,
2021-01-21,-9.3,-17.1,-3.5,0.0,,305.0,12.2,,1030.9,
2021-01-22,-11.9,-19.4,-5.1,0.0,,240.0,3.0,,1039.4,
2021-01-23,-10.9,-17.4,-4.6,0.0,,283.0,2.6,,1037.0,
2021-01-24,-10.6,-19.8,-2.1,0.0,,285.0,2.5,,1033.4,
2021-01-25,-8.8,-16.6,0.5,0.0,,286.0,2.7,,1030.0,
2021-01-26,-7.5,-14.4,2.1,0.0,,279.0,3.4,,1028.9,
2021-01-27,-4.4,-11.3,3.1,0.0,,264.0,3.0,,1024.6,
2021-01-28,-1.9,-7.7,3.6,0.5,,228.0,3.4,,1016.3,
2021-01-29,-1.4,-7.5,4.4,0.9,,237.0,4.5,,1013.7,
2021-01-30,-0.7,-4.8,3.6,5.0,,255.0,13.3,,1012.1,
2021-01-31,-0.7,-6.6,3.8,0.2,,313.0,5.5,,1018.7,
2021-02-01,-0.4,-8.0,5.4,0.0,,244.0,4.6,,1025.9,
2021-02-02,-1.0,-9.7,6.4,0.0,,305.0,3.0,,1026.8,
2021-02-03,-0.6,-6.7,6.7,0.0,,305.0,2.8,,1025.0,
2021-02-04,0.7,-5.6,8.8,0.0,,279.0,3.0,,1022.4,
2021-02-05,2.8,0.0,6.9,1.0,,284.0,5.7,,1017.1,
2021-02-06,1.5,-4.5,7.9,0.0,,288.0,5.1,,1020.7,
2021-02-07,1.7,-4.9,10.4,0.0,,277.0,6.4,,1018.8,
2021-02-08,3.7,-2.9,11.3,0.0,,252.0,6.3,,1022.0,
2021-02-09,6.1,0.2,12.2,0.0,,256.0,9.6,,1022.6,
2021-02-10,5.1,-1.3,12.4,0.0,,215.0,7.0,,1020.6,
2021-02-11,3.2,-2.5,10.3,0.0,,252.0,6.0,,1019.2,
2021-02-12,2.6,-3.6,10.3,0.0,,202.0,3.9,,1016.4,
2021-02-13,3.1,-2.8,10.2,0.0,,241.0,8.0,,1016.8,
2021-02-14,5.4,-1.0,12.4,0.0,,222.0,8.6,,1019.0,
2021-02-15,4.8,-2.5,13.6,0.0,,209.0,5.2,,1015.5,
2021-02-16,6.8,0.9,13.4,2.4,,205.0,9.2,,1006.7,
2021-02-17,5.1,-0.7,9.2,10.1,,181.0,11.4,,999.7,
2021-02-18,-0.6,-5.3,2.8,0.1,,228.0,7.9,,1010.6,
2021-02-19,-2.3,-7.8,1.7,0.2,,205.0,7.2,,1020.8,
2021-02-20,-3.9,-6.8,-1.2,5.6,,23.0,4.0,,1025.0,
