date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01,2.8,-1.6,,,,,,,,
2021-01-02,4.5,-1.1,8.8,0.0,,149.0,6.5,,1024.5,
2021-01-03,4.9,-0.8,8.5,0.0,,86.0,5.5,,1024.9,
2021-01-04,4.6,-2.3,8.3,0.0,,170.0,6.8,,1022.3,
2021-01-05,6.6,1.3,8.2,2.1,,169.0,12.3,,1020.3,
2021-01-06,5.1,1.2,7.7,8.1,10.0,184.0,8.0,,1024.9,
2021-01-07,5.6,-0.4,9.0,0.0,,187.0,11.6,,1022.7,
2021-01-08,6.3,1.3,9.6,0.0,,186.0,12.3,,1020.4,
2021-01-09,7.8,2.5,10.4,0.0,,189.0,14.1,,1019.5,
2021-01-10,8.5,5.8,11.5,0.3,,203.0,16.5,,1020.4,
2021-01-11,10.3,7.3,12.6,1.5,,209.0,18.9,,1019.8,
2021-01-12,12.2,7.9,15.6,0.0,,197.0,20.5,,1017.3,
2021-01-13,5.5,-0.8,9.8,19.9,,189.0,22.1,,1006.2,
2021-01-14,0.2,-2.1,3.1,1.1,10.0,219.0,8.5,,1006.9,
2021-01-15,-2.6,-6.9,-0.1,3.3,20.0,223.0,12.5,,1012.4,
2021-01-16,-0.4,-7.8,2.2,0.5,,134.0,8.5,,1011.3,
2021-01-17,-1.4,-7.8,1.3,12.2,10.0,233.0,15.8,,1004.4,
2021-01-18,-7.4,-10.7,-5.4,1.3,,253.0,10.4,,1017.6,
2021-01-19,-8.7,-15.0,-3.8,0.8,20.0,9.0,6.3,,1023.2,
2021-01-20,-7.3,-12.8,-3.0,0.0,20.0,318.0,8.3,,1027.4,
2021-01-21,-4.4,-10.3,-1.7,0.0,20.0,209.0,8.9,,1033.6,
2021-01-22,-2.3,-7.2,3.4,0.0,10.0,194.0,8.5,,1030.9,
2021-01-23,-1.3,-6.2,4.9,0.0,,169.0,8.5,,1025.3,
2021-01-24,1.7,-4.3,6.6,0.0,10.0,181.0,13.5,,1020.2,
2021-01-25,2.8,-0.4,7.1,0.5,,174.0,17.3,,1018.8,
2021-01-26,4.3,2.1,9.4,0.3,,179.0,19.7,,1018.1,
2021-01-27,5.4,0.6,8.9,0.3,,158.0,24.2,,1007.9,
2021-01-28,-1.1,-4.3,3.1,1.8,,237.0,15.0,,1009.1,
2021-01-29,-4.0,-6.4,-0.9,0.0,,270.0,7.1,,1015.0,
2021-01-30,-0.6,-5.9,4.6,4.3,,187.0,17.8,,1012.0,
2021-01-31,1.6,-0.2,5.6,19.8,20.0,205.0,10.8,,1013.2,
2021-02-01,4.7,0.6,9.6,0.0,10.0,178.0,18.7,,1019.4,
2021-02-02,5.9,3.1,11.2,0.0,,156.0,13.2,,1021.1,
2021-02-03,7.3,0.0,12.5,0.0,10.0,159.0,8.9,,1019.0,
2021-02-04,7.8,0.7,10.7,0.0,,196.0,8.9,,1017.5,
2021-02-05,6.0,0.9,10.5,0.0,,260.0,11.0,,1019.9,
2021-02-06,7.2,-2.0,10.6,0.0,,214.0,11.3,,1019.5,
2021-02-07,9.6,0.1,15.2,0.0,,214.0,12.1,,1017.5,
2021-02-08,11.6,4.5,13.3,0.0,,196.0,16.1,,1017.0,
2021-02-09,10.3,6.4,12.7,0.3,,209.0,19.7,,1017.3,
2021-02-10,7.8,2.8,10.6,2.3,,209.0,15.2,,1017.2,
2021-02-11,6.4,2.1,12.9,0.0,,182.0,14.0,,1016.8,
2021-02-12,5.0,-0.1,9.4,3.2,,224.0,20.8,,1013.2,
2021-02-13,1.6,-5.3,2.5,0.0,,259.0,7.0,,1023.0,
2021-02-14,4.8,-0.5,9.1,0.0,,153.0,9.2,,1016.8,
2021-02-15,1.7,-7.0,8.4,5.9,,184.0,20.0,,1013.7,
2021-02-16,-7.9,-9.5,-6.5,16.8,20.0,33.0,32.9,,1016.1,
2021-02-17,-9.2,-14.1,-5.9,4.1,,21.0,21.4,,1017.5,
2021-02-18,-7.9,-16.8,-4.5,0.5,160.0,183.0,7.6,,1023.6,
2021-02-19,-5.4,-8.3,-3.2,0.3,,264.0,11.4,,1027.0,
2021-02-20,-10.7,-14.1,-6.1,0.0,,59.0,5.6,,1032.8,
2021-02-21,-4.8,-13.3,-3.4,0.0,,40.0,5.6,,1033.1,
2021-02-22,-0.6,-9.8,1.4,0.0,51.0,284.0,3.1,,1032.2,
2021-02-23,2.3,-6.4,4.3,0.0,41.0,300.0,5.9,,1030.5,
2021-02-24,3.9,-4.0,5.7,0.0,41.0,27.0,9.3,,1028.2,
2021-02-25,-0.3,-3.3,3.6,0.0,,42.0,14.6,,1032.1,
2021-02-26,1.3,-4.8,6.0,0.0,,35.0,8.4,,1029.1,
2021-02-27,2.1,-4.4,8.5,0.0,,257.0,4.7,,1021.2,
2021-02-28,1.6,-2.6,8.2,2.2,,281.0,11.9,,1019.1,
2021-03-01,-2.2,-4.4,2.4,0.2,,38.0,10.3,,1025.9,
2021-03-02,-0.8,-5.7,4.3,0.0,,52.0,15.0,,1026.5,
2021-03-03,0.7,-4.4,6.3,0.0,,37.0,15.9,,1024.7,
2021-03-04,0.1,-5.0,5.3,0.0,,22.0,10.0,,1024.7,
2021-03-05,2.7,-5.0,12.2,0.0,,216.0,10.3,,1021.1,
2021-03-06,5.9,-1.1,11.4,0.1,,226.0,12.9,,1019.7,
2021-03-07,0.6,-1.8,4.2,0.5,,20.0,7.8,,1020.7,
2021-03-08,-0.8,-2.3,3.6,7.1,,245.0,9.1,,1018.5,
2021-03-09,0.4,-5.8,6.3,0.0,,267.0,8.6,,1017.5,
2021-03-10,3.8,-4.0,11.0,0.0,,175.0,8.2,,1014.5,
2021-03-11,2.8,-2.4,8.2,0.3,,222.0,16.5,,1006.8,
2021-03-12,-2.8,-7.4,1.7,3.8,,347.0,14.5,,1021.0,
2021-03-13,2.8,-4.7,8.4,0.0,,197.0,7.0,,1019.6,
2021-03-14,7.2,1.0,13.0,0.4,,205.0,9.4,,1014.5,
2021-03-15,6.3,4.5,8.3,1.0,,182.0,12.1,,1009.7,
2021-03-16,2.9,1.5,7.4,6.4,10.0,196.0,22.1,,1004.6,
2021-03-17,0.6,-2.1,2.0,18.3,10.0,188.0,15.5,,1006.1,
2021-03-18,0.6,-3.5,5.6,0.0,,236.0,14.7,,1010.6,
2021-03-19,1.3,-1.7,6.3,1.8,20.0,229.0,12.2,,1015.7,
2021-03-20,3.8,1.2,7.1,3.8,,251.0,9.6,,1017.2,
2021-03-21,6.7,2.6,10.9,2.0,,251.0,12.7,,1011.6,
2021-03-22,9.2,3.2,15.2,0.0,,173.0,16.2,,1003.8,
2021-03-23,6.8,-1.5,10.1,19.2,,191.0,16.0,,1000.2,
2021-03-24,-2.6,-4.4,0.4,42.7,10.0,40.0,25.1,,1004.6,
2021-03-25,-5.1,-7.8,-0.8,17.8,10.0,5.0,17.2,,1013.9,
2021-03-26,-2.9,-8.6,2.5,3.6,239.0,334.0,8.8,,1020.8,
2021-03-27,-3.3,-6.5,0.8,1.1,,306.0,11.8,,1027.4,
2021-03-28,0.1,-4.4,3.6,0.0,,321.0,3.0,,1030.6,
2021-03-29,3.8,-3.1,10.9,0.0,41.0,269.0,6.2,,1025.9,
2021-03-30,1.6,-0.5,6.1,3.0,,21.0,12.0,,1022.3,
2021-03-31,1.8,-0.9,4.6,1.3,,48.0,22.3,,1018.0,
2021-04-01,3.3,0.1,6.2,1.0,,307.0,8.8,,1013.0,
2021-04-02,4.8,0.3,10.3,0.0,,257.0,10.1,,1013.9,
2021-04-03,5.6,-1.5,11.7,0.0,,228.0,12.8,,1015.9,
2021-04-04,8.9,2.0,13.8,0.0,,201.0,16.7,,1016.3,
2021-04-05,10.6,7.1,14.3,3.6,,223.0,26.0,,1013.2,
2021-04-06,15.2,7.4,18.1,5.1,,197.0,18.6,,1013.4,
2021-04-07,17.6,9.0,20.8,0.0,,203.0,21.1,,1009.2,
2021-04-08,11.3,6.5,17.5,0.0,,215.0,16.6,,1009.3,
2021-04-09,0.2,-3.1,5.2,7.7,,35.0,24.6,,1017.2,
2021-04-10,-2.8,-4.1,-0.7,7.9,,24.0,29.4,,1020.2,
2021-04-11,-1.8,-3.3,0.1,7.5,,336.0,14.6,,1020.2,
2021-04-12,2.1,-1.1,4.9,0.5,,345.0,4.1,,1022.0,
2021-04-13,5.1,-1.5,9.4,0.0,,227.0,5.0,,1021.4,
2021-04-14,8.2,-0.5,13.6,0.1,,195.0,12.2,,1018.4,
2021-04-15,11.1,4.2,16.4,0.4,,207.0,10.9,,1016.4,
2021-04-16,13.0,4.2,17.3,0.0,,194.0,12.2,,1015.3,
2021-04-17,14.4,5.7,18.3,1.1,,191.0,11.9,,1017.3,
2021-04-18,13.1,10.4,15.8,4.6,10.0,214.0,17.9,,1018.3,
2021-04-19,15.9,6.7,19.5,3.6,,209.0,9.3,,1015.1,
2021-04-20,12.9,8.0,16.8,0.0,,263.0,13.6,,1009.0,
2021-04-21,12.9,5.1,17.0,0.3,,351.0,9.9,,1015.1,
2021-04-22,11.7,4.4,16.1,1.3,,347.0,10.8,,1019.8,
2021-04-23,13.4,2.9,18.9,0.0,,188.0,8.1,,1020.9,
2021-04-24,15.2,6.0,20.1,0.0,,348.0,8.8,,1017.2,
2021-04-25,12.5,6.8,17.3,0.6,,39.0,12.1,,1012.1,
2021-04-26,11.3,3.6,16.3,1.0,,33.0,15.8,,1010.7,
2021-04-27,11.9,3.3,16.9,0.5,,302.0,9.5,,1017.0,
2021-04-28,18.4,7.1,23.3,0.0,,210.0,13.6,,1015.2,
2021-04-29,20.0,11.0,25.1,2.3,,229.0,15.8,,1016.1,
2021-04-30,16.4,11.0,21.2,0.0,,237.0,7.4,,1017.0,
2021-05-01,17.7,7.5,23.4,0.3,,326.0,10.7,,1018.4,
2021-05-02,18.6,8.3,23.6,0.0,,215.0,8.5,,1016.6,
2021-05-03,21.7,11.0,26.7,0.1,,262.0,12.1,,1012.9,
2021-05-04,13.9,9.4,19.3,2.9,,355.0,14.0,,1013.9,
2021-05-05,12.4,5.9,18.7,0.0,,39.0,10.8,,1013.6,
2021-05-06,14.1,8.1,18.2,2.0,,248.0,10.8,,1012.4,
2021-05-07,16.0,5.4,21.7,0.0,,342.0,7.0,,1016.9,
2021-05-08,18.3,9.4,25.6,0.4,,200.0,12.7,,1014.0,
2021-05-09,8.8,3.1,11.6,4.5,,10.0,16.7,,1018.2,
2021-05-10,7.8,0.1,12.9,0.0,,50.0,16.9,,1023.1,
2021-05-11,12.7,0.4,18.6,0.0,,15.0,7.7,,1015.7,
2021-05-12,17.8,5.5,23.8,0.0,,177.0,11.2,,1010.2,
2021-05-13,21.2,10.7,26.4,0.0,,189.0,12.9,,1009.3,
2021-05-14,21.9,9.5,27.3,0.0,,208.0,11.4,,1011.5,
2021-05-15,22.5,9.7,28.5,0.0,,330.0,7.7,,1010.8,
2021-05-16,19.4,12.5,23.7,0.0,,205.0,13.7,,1005.8,
2021-05-17,15.5,9.8,19.3,0.3,,258.0,14.3,,1008.8,
2021-05-18,19.6,8.0,24.5,0.0,,214.0,16.1,,1009.7,
2021-05-19,17.2,9.4,22.7,0.0,,273.0,13.6,,1014.2,
2021-05-20,24.3,9.8,30.2,0.0,,181.0,17.1,,1009.1,
2021-05-21,23.4,11.7,29.2,0.0,,201.0,19.5,,1006.2,
2021-05-22,11.9,9.3,15.0,16.3,,353.0,14.8,,1012.2,
2021-05-23,10.2,6.9,13.2,1.5,,345.0,14.1,,1016.7,
2021-05-24,14.9,8.3,20.5,1.0,,26.0,14.8,,1019.6,
2021-05-25,20.4,8.6,26.5,0.0,,24.0,11.2,,1018.5,
2021-05-26,22.8,9.3,26.1,0.0,,33.0,10.7,,1014.8,
2021-05-27,22.7,10.1,27.5,0.0,,10.0,7.5,,1011.3,
2021-05-28,22.1,12.9,27.4,1.1,,200.0,8.6,,1008.2,
2021-05-29,14.3,11.3,18.1,2.5,,263.0,12.6,,1009.5,
2021-05-30,17.0,6.5,22.9,4.6,,277.0,8.1,,1014.3,
2021-05-31,18.1,12.2,22.3,4.3,,179.0,10.7,,1010.0,
2021-06-01,13.4,10.5,17.8,0.8,,220.0,9.9,,1008.2,
2021-06-02,10.7,6.6,14.6,19.8,,256.0,12.9,,1013.8,
2021-06-03,12.3,3.6,17.5,2.5,,272.0,12.8,,1017.7,
2021-06-04,12.5,4.4,17.4,0.0,,305.0,11.3,,1019.1,
2021-06-05,12.6,6.2,18.3,0.6,,16.0,9.5,,1018.6,
2021-06-06,14.4,7.8,19.8,0.3,,2.0,9.5,,1017.2,
2021-06-07,17.5,6.7,22.7,0.0,,285.0,10.4,,1015.8,
2021-06-08,15.7,9.4,21.8,1.3,,5.0,10.0,,1014.2,
2021-06-09,15.2,9.2,20.2,1.4,,295.0,9.7,,1011.9,
2021-06-10,17.2,9.0,21.3,12.2,,48.0,8.5,,1010.5,
2021-06-11,18.7,8.9,23.3,0.5,,44.0,7.7,,1011.6,
2021-06-12,18.2,12.7,23.2,2.7,,22.0,8.2,,1013.1,
2021-06-13,21.1,10.2,25.0,0.8,,314.0,6.9,,1012.6,
2021-06-14,18.1,12.0,22.5,9.0,,13.0,6.7,,1008.7,
2021-06-15,18.0,9.0,20.8,0.2,,241.0,10.0,,1009.8,
2021-06-16,15.7,11.0,21.0,3.0,,277.0,9.0,,1009.3,
2021-06-17,16.1,8.6,19.3,0.1,,255.0,12.3,,1015.8,
2021-06-18,20.2,8.5,23.6,0.0,,262.0,7.9,,1015.4,
2021-06-19,22.8,11.5,26.7,0.0,,31.0,8.2,,1011.5,
2021-06-20,23.7,12.8,28.5,0.0,,61.0,9.6,,1010.1,
2021-06-21,23.1,15.5,28.3,0.1,,86.0,12.5,,1009.1,
2021-06-22,18.6,13.8,25.3,0.3,,343.0,7.1,,1012.3,
2021-06-23,19.0,12.3,25.3,0.5,,21.0,8.3,,1014.7,
2021-06-24,20.7,12.9,25.7,0.0,,30.0,12.2,,1014.6,
2021-06-25,19.4,14.4,25.1,0.0,,20.0,11.8,,1014.2,
2021-06-26,19.4,12.5,24.6,0.9,,13.0,8.8,,1011.9,
2021-06-27,21.6,12.7,27.1,0.6,,25.0,11.3,,1013.2,
2021-06-28,21.6,15.2,26.2,0.1,,39.0,17.1,,1015.3,
2021-06-29,21.6,13.9,26.2,0.0,,39.0,19.2,,1016.0,
2021-06-30,21.9,12.9,27.1,0.0,,41.0,16.1,,1015.7,
2021-07-01,24.4,13.1,29.9,0.0,,32.0,10.2,,1013.1,
2021-07-02,27.4,15.3,33.1,0.0,,246.0,11.9,,1008.9,
2021-07-03,23.7,17.3,30.7,1.3,,100.0,16.1,,1003.8,
2021-07-04,16.9,12.4,21.1,21.3,,301.0,14.7,,1007.6,
2021-07-05,18.8,9.1,24.5,2.0,,283.0,11.4,,1009.2,
2021-07-06,21.9,13.6,26.4,0.0,,282.0,9.1,,1007.8,
2021-07-07,22.4,12.1,27.4,0.1,,306.0,8.5,,1010.6,
2021-07-08,22.5,15.3,27.2,0.0,,43.0,11.9,,1013.4,
2021-07-09,21.3,14.1,26.3,0.5,,29.0,18.3,,1013.4,
2021-07-10,21.6,13.7,26.9,0.0,,28.0,18.1,,1010.5,
2021-07-11,21.7,14.3,27.0,0.0,,27.0,14.3,,1010.1,
2021-07-12,24.8,13.7,29.5,0.0,,15.0,10.7,,1010.8,
2021-07-13,27.0,15.4,36.8,0.0,,24.0,13.8,,1011.1,
2021-07-14,24.2,14.7,27.9,0.0,,28.0,18.0,,1011.3,
2021-07-15,23.9,14.9,27.9,0.0,,29.0,20.8,,1010.9,
2021-07-16,25.2,15.5,29.4,0.0,,41.0,17.2,,1010.3,
2021-07-17,28.7,13.6,31.9,0.0,,332.0,9.0,,1007.4,
2021-07-18,32.6,17.9,35.6,0.0,,86.0,9.5,,1005.3,
2021-07-19,32.7,22.7,36.6,0.0,,205.0,9.1,,1006.6,
2021-07-20,33.8,18.4,37.4,0.0,,208.0,7.8,,1006.1,
2021-07-21,27.3,19.0,31.1,0.1,,26.0,17.9,,1008.3,
2021-07-22,24.7,16.3,28.6,0.9,,8.0,16.2,,1009.4,
2021-07-23,21.4,14.5,25.0,0.0,,25.0,15.9,,1010.6,
2021-07-24,20.3,11.9,23.5,0.0,,44.0,21.8,,1011.5,
2021-07-25,21.9,11.7,25.8,0.0,,45.0,19.1,,1013.1,
2021-07-26,22.0,14.9,26.9,2.0,,22.0,15.8,,1014.7,
2021-07-27,23.2,14.0,26.6,0.0,,19.0,17.0,,1016.6,
2021-07-28,22.3,13.8,26.1,0.0,,22.0,24.7,,1016.3,
2021-07-29,22.5,12.8,26.6,0.0,,34.0,21.9,,1014.3,
2021-07-30,23.3,12.9,27.1,0.0,,36.0,19.6,,1012.3,
2021-07-31,25.5,14.3,29.1,0.0,,38.0,18.0,,1011.3,
2021-08-01,24.9,13.5,28.7,0.0,,33.0,15.8,,1011.9,
2021-08-02,24.3,15.1,28.0,0.0,,39.0,16.5,,1012.4,
2021-08-03,26.9,14.6,30.8,0.0,,37.0,14.4,,1013.6,
2021-08-04,27.7,16.4,31.3,0.0,,37.0,16.1,,1014.8,
2021-08-05,27.7,16.3,31.1,0.0,,44.0,15.0,,1013.2,
2021-08-06,29.5,15.7,33.2,0.0,,160.0,9.2,,1006.6,
2021-08-07,23.6,18.0,27.4,1.3,,110.0,9.8,,1005.0,
2021-08-08,20.8,15.5,24.1,0.8,,27.0,17.7,,1012.1,
2021-08-09,21.2,15.6,26.3,0.0,,30.0,15.5,,1015.5,
2021-08-10,18.9,14.3,20.9,2.8,,355.0,11.5,,1014.3,
2021-08-11,17.6,14.5,20.4,1.5,,324.0,11.0,,1012.8,
2021-08-12,20.4,15.0,25.6,0.8,,352.0,10.8,,1014.3,
2021-08-13,20.2,14.4,24.9,0.0,,29.0,17.5,,1017.3,
2021-08-14,18.3,12.9,22.9,0.0,,42.0,20.2,,1018.0,
2021-08-15,18.6,11.1,23.3,0.0,,39.0,16.9,,1016.5,
2021-08-16,20.4,9.7,25.9,0.0,,39.0,13.4,,1015.9,
2021-08-17,24.2,11.8,27.7,0.0,,38.0,10.6,,1013.4,
2021-08-18,26.7,12.9,29.8,0.1,,22.0,8.1,,1008.7,
2021-08-19,25.5,14.8,29.4,0.1,,35.0,13.4,,1008.7,
2021-08-20,23.4,14.2,26.5,0.0,,23.0,13.3,,1012.8,
2021-08-21,23.5,12.9,27.8,0.0,,46.0,15.2,,1015.0,
2021-08-22,22.4,12.1,26.9,0.0,,42.0,16.6,,1014.3,
2021-08-23,21.3,13.2,25.2,0.0,,44.0,18.8,,1015.2,
2021-08-24,22.3,12.5,26.3,0.0,,41.0,15.5,,1014.3,
2021-08-25,25.4,12.1,29.3,0.0,,357.0,7.8,,1012.3,
2021-08-26,28.5,15.3,32.0,0.0,,227.0,10.2,,1011.2,
2021-08-27,29.9,15.5,33.5,0.0,,224.0,7.0,,1011.7,
2021-08-28,30.7,17.8,35.1,0.0,,84.0,10.6,,1010.2,
2021-08-29,28.9,20.1,34.6,0.0,,191.0,11.9,,1005.4,
2021-08-30,27.2,15.8,32.8,0.0,,262.0,10.6,,1006.9,
2021-08-31,24.1,16.4,30.7,0.0,,48.0,16.7,,1012.4,
2021-09-01,22.2,15.5,27.8,0.7,,36.0,14.9,,1011.4,
2021-09-02,18.4,13.7,22.8,1.0,,359.0,16.3,,1012.8,
2021-09-03,16.4,10.6,21.1,0.0,,27.0,14.0,,1016.9,
2021-09-04,16.6,8.2,22.9,0.0,,46.0,14.0,,1015.5,
2021-09-05,17.3,9.0,22.6,0.0,,48.0,16.6,,1014.5,
2021-09-06,14.4,8.5,19.8,0.0,,48.0,24.1,,1018.0,
2021-09-07,13.6,8.2,18.7,0.0,,49.0,23.8,,1021.3,
2021-09-08,16.9,6.2,23.5,0.0,,43.0,16.0,,1019.7,
2021-09-09,19.5,8.6,26.8,0.0,,44.0,13.2,,1016.1,
2021-09-10,20.8,10.9,26.8,0.4,,44.0,8.6,,1011.9,
2021-09-11,18.7,12.7,23.5,0.8,,11.0,11.6,,1013.3,
2021-09-12,19.0,11.5,23.7,0.0,,18.0,9.1,,1012.3,
2021-09-13,20.3,10.8,26.2,0.0,,14.0,8.8,,1010.5,
2021-09-14,19.8,12.9,25.4,0.1,,47.0,14.9,,1011.9,
2021-09-15,14.6,12.0,19.0,5.2,,50.0,18.7,,1012.8,
2021-09-16,11.9,10.5,13.9,30.2,30.0,40.0,21.2,,1014.7,
2021-09-17,14.1,7.9,18.7,0.3,,26.0,9.3,,1016.6,
2021-09-18,16.5,6.9,22.1,0.0,,231.0,9.0,,1015.6,
2021-09-19,18.7,10.8,23.5,0.0,,229.0,12.4,,1014.9,
2021-09-20,19.2,10.0,24.8,0.0,,248.0,11.4,,1016.0,
2021-09-21,20.2,11.6,25.8,0.0,,242.0,13.6,,1015.1,
2021-09-22,12.2,8.4,15.4,2.8,,44.0,13.9,,1014.4,
2021-09-23,9.7,6.1,13.1,0.0,,6.0,11.8,,1010.7,
2021-09-24,9.5,3.7,14.6,1.5,,313.0,8.0,,1016.7,
2021-09-25,12.4,3.9,17.3,0.0,,269.0,12.2,,1019.2,
2021-09-26,14.4,4.5,20.9,0.0,,27.0,6.4,,1022.1,
2021-09-27,16.2,6.4,21.2,0.0,,39.0,9.3,,1016.2,
2021-09-28,14.0,7.5,18.8,0.0,,43.0,11.2,,1015.7,
2021-09-29,12.7,7.4,16.9,0.0,,45.0,13.7,,1017.2,
2021-09-30,11.6,7.0,16.7,1.2,,32.0,13.8,,1018.7,
2021-10-01,11.4,4.6,16.3,0.0,,37.0,11.9,,1019.7,
2021-10-02,12.4,4.5,17.5,0.0,,42.0,13.3,,1018.5,
2021-10-03,11.3,6.4,15.8,0.0,,26.0,14.6,,1018.9,
2021-10-04,11.2,5.0,16.0,0.0,,32.0,9.0,,1020.5,
2021-10-05,9.1,4.8,12.8,0.9,,24.0,9.3,,1019.5,
2021-10-06,9.4,1.4,13.9,0.0,,26.0,10.2,,1020.7,
2021-10-07,10.8,3.2,16.8,0.0,,65.0,9.5,,1020.2,
2021-10-08,13.7,3.0,20.6,0.0,,75.0,6.2,,1019.1,
2021-10-09,17.6,4.7,22.1,0.0,,202.0,6.2,,1018.0,
2021-10-10,19.8,7.8,24.5,0.0,,82.0,6.9,,1018.5,
2021-10-11,18.3,8.1,23.6,0.0,,301.0,6.7,,1016.6,
2021-10-12,17.9,8.1,23.7,0.0,,189.0,6.1,,1010.9,
2021-10-13,13.7,8.9,17.5,0.6,,230.0,18.1,,1011.5,
2021-10-14,14.9,6.4,20.8,0.0,,83.0,9.1,,1017.8,
2021-10-15,15.1,6.6,21.0,0.0,,323.0,5.5,,1018.0,
2021-10-16,15.7,7.0,20.1,0.0,,178.0,11.6,,1014.5,
2021-10-17,12.7,6.8,16.3,0.5,,232.0,10.0,,1014.1,
2021-10-18,10.9,7.2,15.1,1.5,,323.0,7.8,,1018.9,
2021-10-19,9.7,5.8,13.8,0.7,,36.0,12.4,,1023.5,
2021-10-20,7.4,3.5,12.1,0.0,,50.0,12.7,,1027.3,
2021-10-21,8.7,-1.2,16.2,0.0,,155.0,5.5,,1025.5,
2021-10-22,11.1,0.6,17.7,0.0,,206.0,6.9,,1022.6,
