dates,Max Temperature (°F),Avg Temperature (°F),Min Temperature (°F),Max Dew Point (°F),Avg Dew Point (°F),Min Dew Point (°F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (in),Avg Pressure (in),Min Pressure (in),Precipitation (in)
2022-01-01,21,9.6,-4,16,6.6,-6,100,88.0,74,8,3.8,1,24.2,24.1,24.1,0.00
2022-01-02,21,16.5,9,21,15.5,7,100,95.6,85,8,3.1,0,24.1,24.0,23.9,0.00
2022-01-03,25,16.5,5,18,10.8,3,100,79.3,63,10,4.7,1,24.1,24.1,24.0,0.00
2022-01-04,25,20.3,16,19,15.4,10,93,82.0,73,9,6.6,2,24.1,24.0,24.0,0.00
2022-01-05,30,23.3,14,21,15.7,10,86,73.1,59,16,9.5,3,24.3,24.2,24.1,0.00
2022-01-06,27,15.0,7,19,10.5,5,92,82.6,69,5,2.5,0,24.3,24.3,24.3,0.00
2022-01-07,28,13.4,3,18,8.4,0,92,81.0,59,5,2.3,0,24.3,24.3,24.2,0.00
2022-01-08,36,17.7,7,19,11.4,3,93,78.1,52,6,2.8,0,24.3,24.3,24.3,0.00
2022-01-09,34,15.8,5,21,11.5,1,93,85.0,56,9,3.6,0,24.3,24.2,24.2,0.00
2022-01-10,27,20.7,14,25,19.9,12,100,96.9,93,7,3.0,0,24.2,24.1,24.1,0.00
2022-01-11,23,16.3,9,23,15.1,7,100,95.0,85,9,2.8,1,24.2,24.2,24.1,0.00
2022-01-12,25,20.4,10,25,20.0,9,100,98.3,92,6,2.5,1,24.2,24.2,24.1,0.00
2022-01-13,28,24.6,19,28,23.4,14,100,95.1,74,16,5.8,0,24.1,24.0,24.0,0.00
2022-01-14,19,10.0,-8,14,2.6,-11,92,72.7,62,15,5.2,1,24.1,24.0,23.9,0.00
2022-01-15,21,9.0,-9,16,3.4,-13,86,78.1,67,20,9.9,1,23.9,23.8,23.7,0.00
2022-01-16,12,2.1,-11,0,-5.8,-15,92,70.3,53,9,4.0,0,24.1,23.9,23.8,0.00
2022-01-17,10,-3.6,-13,0,-9.2,-17,84,77.2,62,8,4.0,0,24.1,24.1,24.1,0.00
2022-01-18,10,0.8,-15,9,-3.4,-18,92,82.0,72,12,5.3,0,24.1,24.1,24.1,0.00
2022-01-19,16,12.1,10,12,9.6,9,92,89.1,85,7,3.5,0,24.1,24.0,23.9,0.00
2022-01-20,18,10.6,1,9,2.1,-6,85,69.2,53,14,9.1,3,24.1,24.0,23.9,0.00
2022-01-21,16,3.7,-13,9,-2.3,-18,92,76.8,57,18,6.2,0,24.2,24.2,24.1,0.00
2022-01-22,9,-6.5,-22,5,-9.9,-24,92,85.3,76,5,1.9,0,24.2,24.2,24.1,0.00
2022-01-23,14,3.0,-8,9,-0.8,-11,92,84.4,77,13,5.1,1,24.1,24.1,24.0,0.00
2022-01-24,19,12.2,5,14,8.6,1,93,85.9,74,7,3.5,1,24.1,24.1,24.1,0.00
2022-01-25,23,12.0,3,14,8.4,0,93,85.4,63,7,3.8,1,24.2,24.2,24.1,0.00
2022-01-26,23,13.2,3,18,10.6,0,93,89.0,80,6,2.4,0,24.1,24.1,24.0,0.00
