dates,Max Temperature (°F),Avg Temperature (°F),Min Temperature (°F),Max Dew Point (°F),Avg Dew Point (°F),Min Dew Point (°F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (in),Avg Pressure (in),Min Pressure (in),Precipitation (in)
2022-01-01,51,48.5,45,47,45.3,43,93,89.4,81,20,9.6,1,29.8,29.8,29.8,0.08
2022-01-02,49,45.7,44,42,41.0,40,88,84.3,77,28,19.7,13,30.0,29.9,29.8,0.43
2022-01-03,57,49.2,37,38,31.3,23,76,51.7,32,12,4.7,1,29.8,29.7,29.6,0.27
2022-01-04,59,54.8,51,53,47.1,44,85,74.6,63,30,19.4,12,29.8,29.7,29.6,0.00
2022-01-05,68,60.3,50,41,37.7,34,59,44.4,32,18,9.1,1,29.7,29.7,29.6,0.00
2022-01-06,74,67.4,60,44,39.8,37,55,37.4,29,22,11.1,1,29.7,29.7,29.6,0.00
2022-01-07,60,54.6,51,51,48.5,45,95,81.1,64,17,8.3,1,29.9,29.8,29.8,0.00
2022-01-08,59,54.3,49,54,49.6,45,89,83.8,77,3,1.4,1,29.8,29.8,29.7,0.03
2022-01-09,61,58.4,55,50,45.6,38,77,63.4,43,14,6.0,2,29.5,29.5,29.5,0.00
2022-01-10,62,59.8,56,47,39.8,35,65,48.1,36,18,8.7,1,29.4,29.4,29.3,0.00
2022-01-11,55,50.3,46,51,46.5,43,90,86.1,82,3,1.2,1,29.7,29.6,29.6,0.00
2022-01-12,46,43.7,41,44,41.7,39,95,92.2,91,8,5.3,2,29.9,29.8,29.7,0.43
2022-01-13,37,34.4,34,35,30.6,29,92,85.6,82,14,12.2,10,30.1,30.1,30.1,1.14
2022-01-14,44,39.9,34,33,30.5,27,87,69.7,57,16,9.7,5,30.0,29.9,29.8,0.11
2022-01-15,46,42.3,40,38,34.2,32,84,72.8,66,40,32.4,17,29.7,29.7,29.6,0.00
2022-01-16,41,38.1,36,37,34.2,33,92,86.1,77,18,12.5,3,30.0,30.0,29.9,0.50
2022-01-17,50,44.9,39,32,27.8,25,68,51.8,44,17,5.2,0,30.0,29.9,29.7,0.31
2022-01-18,42,38.0,35,36,33.3,30,94,83.9,74,48,26.0,13,29.9,29.7,29.6,0.01
2022-01-19,34,33.8,33,34,32.3,32,99,94.7,94,29,14.5,5,30.0,30.0,29.9,0.94
2022-01-20,44,37.4,33,33,28.0,24,94,71.1,46,14,7.1,1,30.0,30.0,29.9,0.35
2022-01-21,51,46.2,40,35,31.5,20,65,56.6,45,23,14.6,6,29.8,29.7,29.7,0.00
2022-01-22,36,33.8,31,34,31.9,30,94,93.1,91,13,6.9,2,29.7,29.7,29.6,0.54
2022-01-23,31,30.5,30,30,24.8,-5,98,83.7,22,7,3.8,1,29.7,29.7,29.6,1.01
2022-01-24,37,34.0,31,33,30.4,24,92,87.1,75,10,6.4,0,30.0,29.9,29.9,1.61
2022-01-25,43,36.1,29,33,28.9,23,86,75.9,54,16,9.5,1,30.0,30.0,29.9,0.14
2022-01-26,38,35.4,30,34,30.0,24,89,81.4,72,17,12.3,5,29.9,29.9,29.8,0.01
2022-01-27,42,37.9,35,35,32.6,29,89,81.7,73,20,11.1,6,29.9,29.9,29.9,0.00
2022-01-28,48,43.4,33,33,30.1,27,79,59.7,49,14,7.6,0,29.9,29.9,29.8,0.14
2022-01-29,47,44.9,43,38,35.2,33,76,68.5,60,14,10.2,5,29.9,29.9,29.9,0.00
2022-01-30,49,44.3,37,39,36.8,33,87,75.7,67,14,6.0,1,29.8,29.7,29.6,0.05
2022-01-31,53,48.6,44,38,35.5,33,77,61.7,48,16,11.9,7,29.6,29.6,29.6,0.00
2022-02-01,49,45.5,38,39,33.2,28,71,62.7,46,9,2.1,1,29.7,29.6,29.6,0.00
2022-02-02,60,58.4,55,40,39.9,39,56,50.2,48,21,10.2,2,29.5,29.5,29.5,0.00
2022-02-03,56,50.8,46,45,43.1,40,91,75.6,58,22,5.5,1,29.6,29.5,29.5,0.00
2022-02-04,40,38.4,37,35,32.6,30,89,80.1,73,26,15.3,12,29.9,29.8,29.8,0.95
2022-02-05,46,43.8,39,33,31.1,27,66,61.0,57,14,3.1,1,29.9,29.9,29.8,0.09
2022-02-06,49,44.8,43,40,39.2,35,90,82.1,64,16,9.3,5,30.0,29.9,29.9,0.00
2022-02-07,64,57.6,48,37,34.2,32,54,42.3,35,20,14.1,9,29.8,29.7,29.6,0.20
2022-02-08,53,50.9,48,46,45.0,44,90,80.1,72,5,1.2,0,29.5,29.5,29.4,0.00
2022-02-09,41,40.2,40,39,37.1,35,93,88.8,80,15,10.9,7,29.9,29.9,29.8,1.13
2022-02-10,47,43.8,39,40,38.2,36,89,81.4,74,14,8.0,1,30.1,30.1,30.1,0.45
2022-02-11,49,45.4,36,38,35.2,30,77,67.5,61,10,2.4,0,30.1,30.0,30.0,0.04
2022-02-12,56,52.1,42,43,37.6,32,73,58.9,42,26,11.0,1,30.1,30.0,30.0,0.00
2022-02-13,46,43.8,43,42,40.3,39,91,87.4,85,37,28.6,0,30.2,30.1,30.1,0.08
2022-02-14,45,43.1,39,40,38.0,35,86,82.2,79,7,2.3,1,30.0,30.0,30.0,0.02
2022-02-15,49,45.8,41,42,40.4,38,88,81.4,77,6,1.1,0,30.0,30.0,30.0,0.00
2022-02-16,52,48.4,38,42,38.6,32,79,69.4,63,12,2.2,0,30.0,30.0,29.9,0.00
2022-02-17,57,53.9,47,42,33.8,29,65,47.8,36,14,2.7,0,29.8,29.7,29.6,0.00
2022-02-18,57,52.8,50,43,39.7,35,74,61.5,46,17,11.9,7,29.6,29.5,29.5,0.00
2022-02-19,51,49.0,40,42,40.8,35,81,73.7,63,13,2.8,1,30.0,29.9,29.9,0.03
2022-02-20,60,55.9,46,35,33.0,31,56,42.6,37,14,2.5,1,29.9,29.8,29.8,0.00
2022-02-21,51,49.4,48,45,44.3,43,84,82.7,81,16,5.2,1,29.8,29.7,29.7,0.00
2022-02-22,64,60.0,51,47,44.7,40,67,57.5,50,17,3.8,0,29.6,29.5,29.5,0.00
2022-02-23,58,54.8,49,49,47.2,45,90,76.4,62,13,6.3,1,29.7,29.7,29.7,0.00
2022-02-24,49,48.0,47,46,45.9,45,93,92.1,90,1,1.0,1,29.8,29.8,29.7,0.17
2022-02-25,47,46.5,46,46,45.3,44,95,95.0,95,23,12.1,2,29.6,29.6,29.6,0.67
2022-02-26,48,47.0,45,42,41.0,40,82,79.7,78,24,17.6,8,29.9,29.9,29.9,0.33
2022-02-27,49,47.5,43,43,42.2,39,86,82.0,80,5,1.3,0,30.0,30.0,29.9,0.00
2022-02-28,50,48.6,46,46,45.1,42,89,87.5,84,12,2.8,1,29.8,29.7,29.7,0.00
2022-03-01,57,50.5,40,43,39.0,36,88,66.0,46,23,12.1,6,29.8,29.8,29.8,0.39
2022-03-02,44,42.0,39,39,37.8,37,91,85.3,80,12,5.6,1,29.9,29.8,29.7,0.03
2022-03-03,45,40.2,35,39,36.3,33,94,86.2,74,17,10.4,3,29.5,29.5,29.5,0.53
2022-03-04,47,42.1,38,41,37.9,35,89,84.7,79,17,8.1,1,29.8,29.8,29.8,0.39
2022-03-05,51,47.4,42,43,40.1,34,83,75.9,72,9,4.8,1,29.8,29.8,29.8,0.06
2022-03-06,45,44.1,43,40,39.1,38,83,81.4,80,7,3.2,2,29.8,29.8,29.8,0.00
2022-03-07,48,46.6,45,45,43.0,39,92,87.7,80,18,6.3,1,29.6,29.6,29.5,0.00
2022-03-08,46,42.4,38,39,36.6,35,93,80.5,74,6,2.4,1,29.8,29.7,29.7,0.57
