dates,Max Temperature (°F),Avg Temperature (°F),Min Temperature (°F),Max Dew Point (°F),Avg Dew Point (°F),Min Dew Point (°F),Max Humidity (%),Avg Humidity (%),Min Humidity (%),Max Wind Speed (mph),Avg Wind Speed (mph),Min Wind Speed (mph),Max Pressure (in),Avg Pressure (in),Min Pressure (in),Precipitation (in)
2022-01-01,50,48.3,43,48,44.7,41,94,87.4,82,12,7.2,2,30.0,29.9,29.9,0.00
2022-01-02,54,50.1,46,50,45.8,43,100,85.4,71,12,4.0,0,30.1,30.1,29.9,0.00
2022-01-03,54,50.2,45,48,44.9,41,100,82.4,67,16,9.5,3,30.1,29.9,29.8,0.00
2022-01-04,55,51.9,46,48,46.3,43,94,82.3,72,13,6.8,0,29.9,29.8,29.8,0.00
2022-01-05,59,55.3,52,50,47.7,45,82,76.5,67,21,10.3,6,29.8,29.7,29.7,0.00
2022-01-06,61,56.6,52,52,49.5,48,94,77.0,72,21,11.3,2,29.8,29.7,29.7,0.00
2022-01-07,54,50.6,46,50,47.2,45,100,89.1,82,18,10.9,1,29.9,29.9,29.8,0.00
2022-01-08,54,50.4,46,50,47.4,45,100,90.7,87,16,7.7,2,29.9,29.8,29.7,0.00
2022-01-09,57,50.4,46,48,46.0,45,100,86.0,63,10,4.5,1,29.7,29.6,29.4,0.00
2022-01-10,54,51.2,50,50,47.1,45,94,87.1,82,16,10.9,3,29.5,29.4,29.4,0.00
2022-01-11,50,48.2,43,46,44.9,41,93,88.7,87,29,21.7,12,29.8,29.6,29.5,0.00
2022-01-12,43,37.7,34,41,33.8,27,93,85.8,70,30,23.2,18,30.2,30.0,29.8,0.00
2022-01-13,36,35.5,34,28,22.6,21,81,60.4,56,26,16.7,7,30.3,30.3,30.2,0.00
2022-01-14,43,36.5,28,34,26.3,19,86,66.9,52,15,10.3,1,30.3,30.1,29.8,0.00
2022-01-15,48,41.6,34,34,28.3,19,93,61.5,37,20,9.6,1,30.1,29.9,29.8,0.00
2022-01-16,45,37.5,28,34,28.4,25,93,71.6,46,16,8.0,1,30.2,30.1,30.0,0.00
2022-01-17,48,42.9,30,37,32.3,25,86,66.1,57,22,14.8,1,30.1,30.0,29.8,0.00
2022-01-18,48,42.4,34,41,28.0,19,87,57.9,42,26,14.0,2,30.1,30.0,29.8,0.00
2022-01-19,39,34.2,28,32,24.5,18,100,69.5,45,25,12.7,0,30.3,30.2,30.1,0.00
2022-01-20,46,41.7,37,37,29.6,21,75,61.8,49,24,18.8,7,30.2,30.1,29.9,0.00
2022-01-21,50,43.1,34,45,38.0,32,100,82.2,66,22,14.8,7,29.9,29.9,29.8,0.00
2022-01-22,36,33.6,28,32,26.0,21,93,75.3,56,14,7.7,0,29.9,29.9,29.8,0.00
2022-01-23,36,30.1,28,30,26.9,21,100,88.0,60,24,12.8,5,30.0,29.9,29.9,0.00
2022-01-24,34,30.3,27,32,28.7,25,100,93.7,81,33,15.1,1,30.2,30.1,30.0,0.00
2022-01-25,34,30.4,25,32,25.1,19,100,79.9,70,15,10.4,6,30.2,30.1,30.1,0.00
2022-01-26,34,29.9,16,25,21.4,12,86,71.4,52,16,7.3,0,30.1,30.0,30.0,0.00
2022-01-27,41,37.9,34,34,28.4,25,81,69.2,61,9,5.6,2,30.1,30.1,30.0,0.00
2022-01-28,45,41.4,39,36,31.8,28,75,68.9,61,18,13.5,9,30.1,30.0,29.9,0.00
2022-01-29,46,43.6,37,39,35.4,34,87,72.5,62,15,7.5,0,30.1,30.0,29.9,0.00
2022-01-30,46,39.3,28,39,33.7,28,100,81.8,61,17,8.1,1,30.0,29.9,29.7,0.00
2022-01-31,48,43.3,36,41,32.4,27,87,66.1,49,15,7.2,0,29.8,29.7,29.7,0.00
2022-02-01,50,45.4,37,41,37.2,32,93,73.4,57,15,7.6,2,29.7,29.6,29.5,0.00
2022-02-02,50,45.3,41,46,42.6,39,100,90.1,76,18,6.8,0,29.6,29.5,29.5,0.00
2022-02-03,43,39.7,36,41,36.5,34,100,88.1,76,18,14.9,9,29.9,29.7,29.5,0.00
2022-02-04,45,40.3,34,34,29.7,25,87,66.6,49,13,8.5,5,30.0,30.0,29.9,0.00
2022-02-05,46,42.0,32,39,32.9,27,87,70.8,57,14,9.3,1,30.0,29.9,29.9,0.00
2022-02-06,52,46.0,41,41,39.5,37,93,79.1,62,9,6.0,2,30.1,30.0,30.0,0.00
2022-02-07,54,49.1,39,45,40.1,37,93,72.0,58,22,13.7,1,30.0,29.7,29.5,0.00
2022-02-08,52,42.9,39,48,39.7,36,94,88.8,82,25,18.7,5,29.8,29.6,29.4,0.00
2022-02-09,46,42.2,39,37,32.5,27,87,69.2,46,22,13.4,5,30.1,30.0,29.8,0.00
2022-02-10,50,42.6,34,39,35.0,30,100,76.3,47,13,6.1,1,30.2,30.2,30.1,0.00
2022-02-11,50,42.1,32,39,35.8,30,100,79.2,57,12,4.9,0,30.1,30.1,30.0,0.00
2022-02-12,54,44.0,34,45,39.2,34,100,83.6,54,23,8.7,0,30.3,30.1,30.0,0.00
2022-02-13,46,44.9,43,39,37.5,36,87,76.8,71,23,18.3,9,30.3,30.2,30.1,0.00
2022-02-14,46,43.5,41,39,35.4,32,87,74.0,57,13,8.5,5,30.1,30.1,30.1,0.00
2022-02-15,48,39.8,30,39,34.5,28,93,82.3,62,8,3.7,0,30.1,30.1,30.1,0.00
2022-02-16,54,44.2,34,41,35.1,32,100,73.6,47,7,2.3,0,30.1,30.0,29.9,0.00
2022-02-17,54,46.8,37,45,38.6,32,93,73.4,51,12,5.5,1,29.9,29.7,29.6,0.00
2022-02-18,55,48.8,39,46,41.5,36,93,76.2,58,16,8.3,0,29.9,29.7,29.6,0.00
2022-02-19,50,42.2,34,43,37.7,34,100,85.2,58,7,3.0,0,30.0,30.0,29.9,0.00
2022-02-20,54,49.0,39,45,40.0,34,87,71.7,54,9,4.8,0,30.0,29.9,29.8,0.00
2022-02-21,61,53.8,48,48,44.1,41,87,70.0,52,7,3.0,0,29.9,29.8,29.6,0.00
2022-02-22,61,55.6,50,52,46.7,45,94,73.8,55,9,4.2,1,29.7,29.6,29.5,0.00
2022-02-23,52,47.7,45,52,46.1,41,100,93.6,87,18,13.1,5,29.9,29.8,29.7,0.00
2022-02-24,45,43.7,43,41,39.2,37,93,85.7,76,26,18.3,13,29.9,29.9,29.8,0.00
2022-02-25,46,45.2,45,41,37.8,36,87,76.4,66,23,12.1,1,29.9,29.9,29.8,0.00
2022-02-26,52,46.8,41,41,37.6,34,87,71.8,54,16,6.1,0,30.0,30.0,29.9,0.00
2022-02-27,50,46.2,45,41,38.0,36,87,74.0,62,23,16.5,13,30.0,30.0,29.8,0.00
2022-02-28,45,42.3,39,43,38.3,32,93,85.9,75,24,13.3,1,30.0,29.9,29.8,0.00
2022-03-01,41,38.5,37,36,31.5,30,87,75.3,70,17,10.8,5,30.1,30.0,30.0,0.00
2022-03-02,45,39.1,36,34,29.5,28,87,69.4,53,15,11.3,7,30.0,29.9,29.7,0.00
2022-03-03,45,39.8,36,36,33.9,32,93,78.9,66,18,9.6,2,29.9,29.8,29.7,0.00
2022-03-04,48,44.5,39,36,32.8,28,87,64.3,50,13,6.9,0,29.9,29.8,29.8,0.00
2022-03-05,50,45.0,36,39,34.3,28,87,67.2,50,17,6.8,0,29.9,29.8,29.8,0.00
2022-03-06,48,45.1,43,39,37.1,36,87,74.5,66,23,19.9,15,29.9,29.8,29.7,0.00
2022-03-07,45,42.3,39,41,38.2,36,93,85.8,71,16,12.0,6,29.8,29.7,29.7,0.00
2022-03-08,41,40.0,37,39,36.7,34,93,87.7,76,21,12.5,6,29.8,29.8,29.7,0.00
2022-03-09,43,39.5,37,36,30.1,23,87,69.2,49,21,14.8,8,29.9,29.8,29.8,0.00
2022-03-10,39,34.5,32,34,29.4,23,100,83.4,56,25,14.6,7,30.0,29.9,29.8,0.00
2022-03-11,34,30.0,27,30,26.6,21,100,87.2,64,25,15.2,6,30.1,30.0,29.9,0.00
